"","...1","state","office_type","question","answer","demographic_pct","answer_pct","lastName","year"
"1",1,"AL","President","Region","North",24,29,"Biden",2020
"2",2,"AL","President","Region","North",24,70,"Trump",2020
"3",3,"AL","President","Region","North Central",26,26,"Biden",2020
"4",4,"AL","President","Region","North Central",26,72,"Trump",2020
"5",5,"AL","President","Region","Birmingham/S. Central",28,56,"Biden",2020
"6",6,"AL","President","Region","Birmingham/S. Central",28,42,"Trump",2020
"7",7,"AL","President","Region","South",22,33,"Biden",2020
"8",8,"AL","President","Region","South",22,66,"Trump",2020
"9",9,"AL","President","Age","18-24",9,54,"Biden",2020
"10",10,"AL","President","Age","18-24",9,44,"Trump",2020
"11",11,"AL","President","Age","25-29",6,-1,"Biden",2020
"12",12,"AL","President","Age","25-29",6,-1,"Trump",2020
"13",13,"AL","President","Age","30-39",15,40,"Biden",2020
"14",14,"AL","President","Age","30-39",15,57,"Trump",2020
"15",15,"AL","President","Age","40-49",15,47,"Biden",2020
"16",16,"AL","President","Age","40-49",15,51,"Trump",2020
"17",17,"AL","President","Age","50-64",29,32,"Biden",2020
"18",18,"AL","President","Age","50-64",29,67,"Trump",2020
"19",19,"AL","President","Age","65 or older",25,23,"Biden",2020
"20",20,"AL","President","Age","65 or older",25,77,"Trump",2020
"21",21,"AL","President","Race","White",74,21,"Biden",2020
"22",22,"AL","President","Race","White",74,77,"Trump",2020
"23",23,"AL","President","Race","Black",22,89,"Biden",2020
"24",24,"AL","President","Race","Black",22,11,"Trump",2020
"25",25,"AL","President","Race","Latino",3,-1,"Biden",2020
"26",26,"AL","President","Race","Latino",3,-1,"Trump",2020
"27",27,"AL","President","Race","Asian",0,-1,"Biden",2020
"28",28,"AL","President","Race","Asian",0,-1,"Trump",2020
"29",29,"AL","President","Race","Other racial/ethnic groups",1,-1,"Biden",2020
"30",30,"AL","President","Race","Other racial/ethnic groups",1,-1,"Trump",2020
"31",31,"AL","President","Gender","Male",45,35,"Biden",2020
"32",32,"AL","President","Gender","Male",45,63,"Trump",2020
"33",33,"AL","President","Gender","Female",55,39,"Biden",2020
"34",34,"AL","President","Gender","Female",55,61,"Trump",2020
"35",35,"AL","President","Area type","Urban",25,58,"Biden",2020
"36",36,"AL","President","Area type","Urban",25,39,"Trump",2020
"37",37,"AL","President","Area type","Suburban",56,27,"Biden",2020
"38",38,"AL","President","Area type","Suburban",56,72,"Trump",2020
"39",39,"AL","President","Area type","Rural",20,37,"Biden",2020
"40",40,"AL","President","Area type","Rural",20,61,"Trump",2020
"41",41,"AL","President","Education","Never attended college",20,26,"Biden",2020
"42",42,"AL","President","Education","Never attended college",20,73,"Trump",2020
"43",43,"AL","President","Education","Some college",25,40,"Biden",2020
"44",44,"AL","President","Education","Some college",25,60,"Trump",2020
