office_type,state,county,district,fips,Democratic_name,Republican_name,Independent_name,Green_name,pct_reporting,Democratic_votes,Republican_votes,Independent_votes,Green_votes,total_votes,Democratic_votes_percent,Republican_votes_percent,Independent_votes_percent,Green_votes_percent,margin_votes,margin_pct,pct_absentee,absentee_margin,swing,democratic_votes_1,democratic_percent_1,republican_votes_1,republican_percent_1,margin_pct_1,margin_votes_1,democratic_votes_2,democratic_percent_2,republican_votes_2,republican_percent_2,margin_pct_2,margin_votes_2,performance_vs_president,votes_remaining,total_votes_estimate,margin_estimate,total_votes_lower,margin_lower,total_votes_upper,margin_upper,expected_pct_in
President,AL,Autauga,0,001,Kamala Harris,Donald J. Trump,Robert F. Kennedy Jr.,Jill Stein,7.5,8476,15461,497,248,24682,34.34081516894903,62.64079085973584,2.013613159387408,1.0047808119277206,-6985,-28.29997569078681,0,NA,16.118461471618666,7503,27,19838,71.4,-44.418437162405475,-12335,5908,24,18110,73.4,-49.47893434978306,-12202,NA,-1255,23427,-43,19154,-111,25548,25,100
President,AL,Baldwin,0,003,Kamala Harris,Donald J. Trump,Robert F. Kennedy Jr.,Jill Stein,35.294117647058826,23091,73210,2006,2005,100312,23.01918015790733,72.98229523885477,1.9997607464710105,1.9987638567668873,-50119,-49.963115080947446,0,NA,3.799227755876373,24578,22.4,83544,76.2,-53.76234283682382,-58966,18409,19.6,72780,77.4,-57.78616218514188,-54371,NA,-8152,92160,-52,75351,-119,100503,16,100
President,AL,Barbour,0,005,Kamala Harris,Donald J. Trump,Robert F. Kennedy Jr.,Jill Stein,14.705882352941176,4101,4558,181,181,9021,45.46059195211174,50.52654916306396,2.0064294424121494,2.0064294424121494,-457,-5.06595721095222,0,NA,2.597096601559664,4816,45.8,5622,53.5,-7.663053812511884,-806,4848,46.7,5431,52.3,-5.6111645813282,-583,NA,-183,8838,-8,7226,-75,9638,60,100
President,AL,Bibb,0,007,Kamala Harris,Donald J. Trump,Robert F. Kennedy Jr.,Jill Stein,22.22222222222222,1472,6762,171,171,8576,17.16417910447761,78.84794776119404,1.993936567164179,1.993936567164179,-5290,-61.683768656716424,0,NA,-3.9557853320681673,1986,20.7,7525,78.4,-57.72798332464826,-5539,1874,21.4,6733,77,-55.544124371284866,-4859,NA,-328,8248,-57,6744,-124,8995,11,100
President,AL,Blount,0,009,Kamala Harris,Donald J. Trump,Robert F. Kennedy Jr.,Jill Stein,13.793103448275861,2036,22375,253,253,24917,8.17112814544287,89.7981297909058,1.0153710318256612,1.0153710318256612,-20339,-81.62700164546294,0,NA,-1.6248267868287485,2640,9.6,24711,89.6,-80.00217485863419,-22071,2150,8.5,22808,89.9,-81.38197289631263,-20658,NA,-1505,23412,-80,19142,-147,25532,-12,100
President,AL,Bullock,0,011,Kamala Harris,Donald J. Trump,Robert F. Kennedy Jr.,Jill Stein,18.75,2781,993,78,78,3930,70.76335877862596,25.267175572519083,1.984732824427481,1.984732824427481,1788,45.49618320610688,0,NA,-4.362910659056787,3446,74.7,1146,24.8,49.859093865163665,2300,3530,75.1,1139,24.2,50.86151882578175,2391,NA,-21,3909,48,3196,-19,4263,116,100
President,AL,Butler,0,013,Kamala Harris,Donald J. Trump,Robert F. Kennedy Jr.,Jill Stein,21.73913043478261,3051,4864,81,81,8077,37.77392596260988,60.220378853534726,1.002847591927696,1.002847591927696,-1813,-22.446452890924846,0,NA,-6.710786786371726,3965,41.8,5458,57.5,-15.73566610455312,-1493,3716,42.8,4891,56.3,-13.529073114565342,-1175,NA,-240,7837,-16,6407,-83,8546,52,100
President,AL,Calhoun,0,015,Kamala Harris,Donald J. Trump,Robert F. Kennedy Jr.,Jill Stein,13.333333333333334,14848,28336,898,898,44980,33.0102267674522,62.99688750555803,1.9964428634948865,1.9964428634948865,-13488,-29.986660738105826,0,NA,9.01653640604026,15216,29.8,35101,68.8,-39.003197144146085,-19885,13197,27.9,32803,69.2,-41.3838230327592,-19606,NA,-1804,43176,-38,35301,-106,47084,29,100
President,AL,Chambers,0,017,Kamala Harris,Donald J. Trump,Robert F. Kennedy Jr.,Jill Stein,20,4879,7729,269,269,13146,37.11395101171459,58.79354936862924,2.0462498098280846,2.0462498098280846,-2850,-21.679598356914653,0,NA,-6.055416205645352,6365,41.6,8753,57.3,-15.6241821512693,-2388,5763,41.8,7803,56.6,-14.806212803019308,-2040,NA,-235,12911,-15,10556,-82,14080,53,100
President,AL,Cherokee,0,019,Kamala Harris,Donald J. Trump,Robert F. Kennedy Jr.,Jill Stein,18.51851851851852,1308,9161,107,217,10793,12.118965996479199,84.87908829797091,0.991383303993329,2.0105624015565646,-7853,-72.7601223014917,0,NA,0.07135481418994516,1624,13.2,10583,86,-72.83147711568165,-8959,1524,14.5,8809,83.9,-69.36113491383415,-7285,NA,-145,10648,-76,8706,-143,11612,-8,100
President,AL,Chilton,0,021,Kamala Harris,Donald J. Trump,Robert F. Kennedy Jr.,Jill Stein,10.526315789473685,3204,13902,176,176,17458,18.352617711078015,79.63111467522053,1.0081338068507275,1.0081338068507275,-10698,-61.27849696414252,0,NA,6.10627776397763,3073,15.9,16085,83.3,-67.38477472812015,-13012,2909,15.9,15068,82.5,-66.60640920295809,-12159,NA,-868,16590,-67,13564,-135,18092,1,100
President,AL,Choctaw,0,023,Kamala Harris,Donald J. Trump,Robert F. Kennedy Jr.,Jill Stein,24.242424242424242,3313,2858,129,129,6429,51.532120080883494,44.45481412350288,2.006532897806813,2.006532897806813,455,7.0773059573806165,0,NA,22.73914947292188,3127,41.9,4296,57.6,-15.661843515541264,-1169,3109,42.8,4102,56.4,-13.662630709961476,-993,NA,-70,6359,-17,5199,-84,6935,51,100
President,AL,Clarke,0,025,Kamala Harris,Donald J. Trump,Robert F. Kennedy Jr.,Jill Stein,40.74074074074074,5732,5381,232,232,11577,49.51196337565863,46.480089833290144,2.003973395525611,2.003973395525611,351,3.031873542368487,0,NA,14.977058163609446,5755,43.8,7324,55.8,-11.945184621240958,-1569,5712,44.2,7109,55,-10.799319727891156,-1397,NA,-551,11026,-11,9015,-79,12024,56,100
President,AL,Clay,0,027,Kamala Harris,Donald J. Trump,Robert F. Kennedy Jr.,Jill Stein,6.818181818181818,1040,4844,60,60,6004,17.3217854763491,80.67954696868755,0.9993337774816788,0.9993337774816788,-3804,-63.35776149233845,0,NA,-0.8180789526559096,1267,18.3,5601,80.8,-62.53968253968254,-4334,1234,18.8,5230,79.6,-60.80340839926963,-3996,NA,-72,5932,-59,4850,-127,6469,9,100
President,AL,Cleburne,0,029,Kamala Harris,Donald J. Trump,Robert F. Kennedy Jr.,Jill Stein,26.666666666666668,636,5416,126,126,6304,10.088832487309645,85.91370558375634,1.998730964467005,1.998730964467005,-4780,-75.8248730964467,0,NA,4.554260707344639,675,9.3,6484,89.7,-80.37913380379133,-5809,684,10.5,5738,87.8,-77.37293325168402,-5054,NA,-69,6235,-81,5098,-148,6799,-13,100
President,AL,Coffee,0,031,Kamala Harris,Donald J. Trump,Robert F. Kennedy Jr.,Jill Stein,6.666666666666667,4100,14451,388,388,19327,21.213845915041134,74.77104568738035,2.0075541987892587,2.0075541987892587,-10351,-53.55719977233922,0,NA,-0.4797586948981376,5076,22.8,16899,75.9,-53.07744107744108,-11823,4194,20.4,15825,77.1,-56.70062886949739,-11631,NA,-609,18718,-53,15304,-120,20412,15,100
President,AL,Colbert,0,033,Kamala Harris,Donald J. Trump,Robert F. Kennedy Jr.,Jill Stein,44.44444444444444,9321,14613,502,502,24938,37.37669420162002,58.597321356965274,2.0129922207073543,2.0129922207073543,-5292,-21.220627155345255,0,NA,17.723645956610568,8343,29.9,19203,68.9,-38.94427311195582,-10860,7296,29.6,16718,67.9,-38.26037521318931,-9422,NA,-1363,23575,-38,19275,-106,25709,29,100
President,AL,Conecuh,0,035,Kamala Harris,Donald J. Trump,Robert F. Kennedy Jr.,Jill Stein,10.714285714285714,1886,2877,48,48,4859,38.81457089936201,59.209713932908,0.9878575838649928,0.9878575838649928,-991,-20.395143033545992,0,NA,-13.004986225596916,2966,46,3442,53.4,-7.390156807949076,-476,3069,46.9,3413,52.2,-5.2575271282286415,-344,NA,513,5372,-8,4392,-75,5858,60,95
President,AL,Coosa,0,037,Kamala Harris,Donald J. Trump,Robert F. Kennedy Jr.,Jill Stein,46.15384615384615,1506,3315,48,98,4967,30.320112744111132,66.74048721562312,0.9663780954298369,1.973021944835917,-1809,-36.42037447151199,0,NA,-2.928861421685383,1796,32.8,3631,66.3,-33.49151304982661,-1835,1780,34.1,3376,64.6,-30.557151062607694,-1596,NA,-278,4689,-33,3834,-100,5114,35,100
President,AL,Covington,0,039,Kamala Harris,Donald J. Trump,Robert F. Kennedy Jr.,Jill Stein,50,1691,13080,152,152,15075,11.217247097844112,86.76616915422886,1.0082918739635158,1.0082918739635158,-11389,-75.54892205638475,0,NA,-7.476632899758243,2721,15.6,14586,83.7,-68.07228915662651,-11865,2379,15,13222,83.6,-68.54848906309267,-10843,NA,-300,14775,-66,12080,-134,16112,1,100
President,AL,Crenshaw,0,041,Kamala Harris,Donald J. Trump,Robert F. Kennedy Jr.,Jill Stein,15.789473684210526,1360,4261,117,117,5855,23.22801024765158,72.77540563620838,1.9982920580700256,1.9982920580700256,-2901,-49.547395388556794,0,NA,-1.7311644682001344,1700,25.7,4864,73.5,-47.81623092035666,-3164,1663,26.6,4511,72.2,-45.553422904670505,-2848,NA,-200,5655,-47,4624,-114,6167,21,100
President,AL,Cullman,0,043,Kamala Harris,Donald J. Trump,Robert F. Kennedy Jr.,Jill Stein,12,4275,32563,776,775,38389,11.136002500716351,84.82377764463779,2.0214123837557634,2.0188074708900987,-28288,-73.68777514392144,0,NA,3.734508672474817,4478,10.7,36880,88.1,-77.42228381639626,-32402,3730,10,32734,87.8,-77.80460325124739,-29004,NA,-2558,35831,-77,29296,-145,39075,-9,100
President,AL,Dale,0,045,Kamala Harris,Donald J. Trump,Robert F. Kennedy Jr.,Jill Stein,25,4542,10921,161,324,15948,28.480060195635815,68.47880611988964,1.0095309756709305,2.0316027088036117,-6379,-39.998745924253825,0,NA,6.272406168156756,5170,26.2,14303,72.5,-46.27115209241058,-9133,4408,23.7,13798,74.1,-50.437771928882206,-9390,NA,583,16531,-45,13516,-112,18028,23,100
