ddhq_id,year,office_type,state,district
52793,2024,President,AL,0
52794,2024,President,AK,0
52795,2024,President,AZ,0
52796,2024,President,AR,0
52797,2024,President,CA,0
52798,2024,President,CO,0
52799,2024,President,CT,0
52800,2024,President,DE,0
52801,2024,President,DC,0
52802,2024,President,FL,0
52803,2024,President,GA,0
52804,2024,President,HI,0
52805,2024,President,ID,0
52806,2024,President,IL,0
52807,2024,President,IN,0
52808,2024,President,IA,0
52809,2024,President,KS,0
52810,2024,President,KY,0
52811,2024,President,LA,0
52812,2024,President,ME,0
52813,2024,President,MD,0
52814,2024,President,MA,0
52815,2024,President,MI,0
52816,2024,President,MN,0
52817,2024,President,MS,0
52818,2024,President,MO,0
52819,2024,President,MT,0
52820,2024,President,NE,0
52821,2024,President,NV,0
52822,2024,President,NH,0
52823,2024,President,NJ,0
52824,2024,President,NM,0
52825,2024,President,NY,0
52826,2024,President,NC,0
52827,2024,President,ND,0
52828,2024,President,OH,0
52829,2024,President,OK,0
52830,2024,President,OR,0
52831,2024,President,PA,0
52832,2024,President,RI,0
52833,2024,President,SC,0
52834,2024,President,SD,0
52835,2024,President,TN,0
52836,2024,President,TX,0
52837,2024,President,UT,0
52838,2024,President,VT,0
52839,2024,President,VA,0
52840,2024,President,WA,0
52841,2024,President,WV,0
52842,2024,President,WI,0
52843,2024,President,WY,0
52844,2024,US Senate,AZ,0
52845,2024,US Senate,CA,0
52847,2024,US Senate,DE,0
52848,2024,US Senate,FL,0
52849,2024,US Senate,HI,0
52850,2024,US Senate,IN,0
52851,2024,Governor,IN,0
52852,2024,US Senate,ME,0
52853,2024,US Senate,MD,0
52854,2024,US Senate,MA,0
52855,2024,US Senate,MI,0
52856,2024,US Senate,MN,0
52857,2024,US Senate,MS,0
52858,2024,US Senate,MO,0
52859,2024,Governor,MO,0
52860,2024,US Senate,MT,0
52861,2024,Governor,MT,0
52862,2024,US Senate,NE,0
52864,2024,US Senate,NV,0
52865,2024,US Senate,NJ,0
52866,2024,US Senate,NM,0
52867,2024,US Senate,NY,0
52868,2024,Governor,NC,0
52869,2024,US Senate,ND,0
52870,2024,Governor,ND,0
52871,2024,US Senate,OH,0
52872,2024,US Senate,PA,0
52873,2024,US Senate,RI,0
52874,2024,US Senate,TN,0
52875,2024,US Senate,TX,0
52876,2024,US Senate,UT,0
52877,2024,Governor,UT,0
52878,2024,US Senate,VT,0
52879,2024,Governor,VT,0
52880,2024,US Senate,VA,0
52881,2024,US Senate,WA,0
52882,2024,US Senate,WV,0
52883,2024,Governor,WV,0
52884,2024,US Senate,WI,0
52885,2024,US Senate,WY,0
52886,2024,US House,AL,1
52887,2024,US House,AL,2
52888,2024,US House,AL,3
52889,2024,US House,AL,4
52890,2024,US House,AL,5
52891,2024,US House,AL,6
52892,2024,US House,AL,7
52893,2024,US House,AK,1
52894,2024,US House,AZ,1
52895,2024,US House,AZ,2
52896,2024,US House,AZ,3
52897,2024,US House,AZ,4
52898,2024,US House,AZ,5
52899,2024,US House,AZ,6
52900,2024,US House,AZ,7
52901,2024,US House,AZ,8
52902,2024,US House,AZ,9
52903,2024,US House,AR,1
52904,2024,US House,AR,2
52905,2024,US House,AR,3
52906,2024,US House,AR,4
52907,2024,US House,CA,1
52908,2024,US House,CA,2
52909,2024,US House,CA,3
52910,2024,US House,CA,4
52911,2024,US House,CA,5
52912,2024,US House,CA,6
52913,2024,US House,CA,7
52914,2024,US House,CA,8
52915,2024,US House,CA,9
52916,2024,US House,CA,10
52917,2024,US House,CA,11
52918,2024,US House,CA,12
52919,2024,US House,CA,13
52920,2024,US House,CA,14
52921,2024,US House,CA,15
52922,2024,US House,CA,16
52923,2024,US House,CA,17
52924,2024,US House,CA,18
52925,2024,US House,CA,19
52926,2024,US House,CA,20
52927,2024,US House,CA,21
52928,2024,US House,CA,22
52929,2024,US House,CA,23
52930,2024,US House,CA,24
52931,2024,US House,CA,25
52932,2024,US House,CA,26
52933,2024,US House,CA,27
52934,2024,US House,CA,28
52935,2024,US House,CA,29
52936,2024,US House,CA,30
52937,2024,US House,CA,31
52938,2024,US House,CA,32
52939,2024,US House,CA,33
52940,2024,US House,CA,34
52941,2024,US House,CA,35
52942,2024,US House,CA,36
52943,2024,US House,CA,37
52944,2024,US House,CA,38
52945,2024,US House,CA,39
52946,2024,US House,CA,40
52947,2024,US House,CA,41
52948,2024,US House,CA,42
52949,2024,US House,CA,43
52950,2024,US House,CA,44
52951,2024,US House,CA,45
52952,2024,US House,CA,46
52953,2024,US House,CA,47
52954,2024,US House,CA,48
52955,2024,US House,CA,49
52956,2024,US House,CA,50
52957,2024,US House,CA,51
52958,2024,US House,CA,52
52959,2024,US House,CO,1
52960,2024,US House,CO,2
52961,2024,US House,CO,3
52962,2024,US House,CO,4
52963,2024,US House,CO,5
52964,2024,US House,CO,6
52965,2024,US House,CO,7
52966,2024,US House,CO,8
52967,2024,US House,CT,1
52968,2024,US House,CT,2
52969,2024,US House,CT,3
52970,2024,US House,CT,4
52971,2024,US House,CT,5
52972,2024,US House,DE,1
52973,2024,US House,FL,1
52974,2024,US House,FL,2
52975,2024,US House,FL,3
52976,2024,US House,FL,4
52977,2024,US House,FL,5
52978,2024,US House,FL,6
52979,2024,US House,FL,7
52980,2024,US House,FL,8
52981,2024,US House,FL,9
52982,2024,US House,FL,10
52983,2024,US House,FL,11
52984,2024,US House,FL,12
52985,2024,US House,FL,13
52986,2024,US House,FL,14
52987,2024,US House,FL,15
52988,2024,US House,FL,16
52989,2024,US House,FL,17
52990,2024,US House,FL,18
52991,2024,US House,FL,19
52992,2024,US House,FL,20
52993,2024,US House,FL,21
52994,2024,US House,FL,22
52995,2024,US House,FL,23
52996,2024,US House,FL,24
52997,2024,US House,FL,25
52998,2024,US House,FL,26
52999,2024,US House,FL,27
53000,2024,US House,FL,28
53001,2024,US House,GA,1
53002,2024,US House,GA,2
53003,2024,US House,GA,3
53004,2024,US House,GA,4
53005,2024,US House,GA,5
53006,2024,US House,GA,6
53007,2024,US House,GA,7
53008,2024,US House,GA,8
53009,2024,US House,GA,9
53010,2024,US House,GA,10
53011,2024,US House,GA,11
53012,2024,US House,GA,12
53013,2024,US House,GA,13
53014,2024,US House,GA,14
53015,2024,US House,HI,1
53016,2024,US House,HI,2
53017,2024,US House,ID,1
53018,2024,US House,ID,2
53019,2024,US House,IL,1
53020,2024,US House,IL,2
53021,2024,US House,IL,3
53022,2024,US House,IL,4
53023,2024,US House,IL,5
53024,2024,US House,IL,6
53025,2024,US House,IL,7
53026,2024,US House,IL,8
53027,2024,US House,IL,9
53028,2024,US House,IL,10
53029,2024,US House,IL,11
53030,2024,US House,IL,12
53031,2024,US House,IL,13
53032,2024,US House,IL,14
53033,2024,US House,IL,15
53034,2024,US House,IL,16
53035,2024,US House,IL,17
53036,2024,US House,IN,1
53037,2024,US House,IN,2
53038,2024,US House,IN,3
53039,2024,US House,IN,4
53040,2024,US House,IN,5
