test_data,ddhq_id,year,office_type,state,county,district,fips,dem_name,rep_name,ind_name,green_name,percent_precincts_reporting,dem_votes,rep_votes,ind_votes,green_votes,dem_votes_percent,rep_votes_percent,ind_votes_percent,green_votes_percent,margin_votes,margin_percent,absentee_percent,absentee_margin
,,2016,Governor,DE,Kent,0,10001,,,,,100,35955,34777,,,49.7,48.0,,,1178,1.7,,
,,2016,Governor,DE,New Castle,0,10003,,,,,100,165973,77839,,,66.2,31.0,,,88134,35.2,,
,,2016,Governor,DE,Sussex,0,10005,,,,,100,46476,54236,,,45.2,52.8,,,-7760,-7.6,,
,,2016,Governor,IN,Adams,0,18001,,,,,100,4272,8408,,,32.7,64.4,,,-4136,-31.7,,
,,2016,Governor,IN,Allen,0,18003,,,,,100,61879,80458,,,42.1,54.8,,,-18579,-12.7,,
,,2016,Governor,IN,Bartholomew,0,18005,,,,,100,11869,19063,,,37.0,59.5,,,-7194,-22.5,,
,,2016,Governor,IN,Benton,0,18007,,,,,100,1201,2318,,,32.7,63.2,,,-1117,-30.5,,
,,2016,Governor,IN,Blackford,0,18009,,,,,100,1857,2719,,,38.8,56.8,,,-862,-18.0,,
,,2016,Governor,IN,Boone,0,18011,,,,,100,11868,19269,,,36.9,59.9,,,-7401,-23.0,,
,,2016,Governor,IN,Brown,0,18013,,,,,100,3201,4488,,,40.2,56.4,,,-1287,-16.2,,
,,2016,Governor,IN,Carroll,0,18015,,,,,100,2923,5381,,,33.8,62.2,,,-2458,-28.4,,
,,2016,Governor,IN,Cass,0,18017,,,,,100,5662,8059,,,39.8,56.6,,,-2397,-16.8,,
,,2016,Governor,IN,Clark,0,18019,,,,,100,20293,28440,,,40.3,56.5,,,-8147,-16.2,,
,,2016,Governor,IN,Clay,0,18021,,,,,100,4260,6457,,,38.5,58.4,,,-2197,-19.9,,
,,2016,Governor,IN,Clinton,0,18023,,,,,100,4120,7126,,,35.3,61.1,,,-3006,-25.8,,
,,2016,Governor,IN,Crawford,0,18025,,,,,100,1924,2381,,,43.1,53.4,,,-457,-10.3,,
