state,office_type,district,margin_pct_1,margin_votes_1
MI,House,1,-22.565935578835767,-87691
WI,House,2,44.077593471708184,166850
WI,House,5,-28.838406120632037,-109160
MI,House,9,-30.729750457200165,-114598
MI,House,7,5.415767839702931,20185
PA,House,1,-9.734335020959225,-35762
MI,House,6,31.77525774881652,116592
PA,House,4,22.578077075125755,82813
MI,House,11,22.637835594067383,82895
CO,House,7,14.981806980728877,54474
PA,House,17,6.784363038706332,24602
AZ,House,1,-0.8838736627779914,-3195
ME,House,1,25.266796597959445,90490
CO,House,4,-24.37287208085458,-86405
OR,House,5,-2.0781076948919948,-7299
AZ,House,6,-1.4979257507522554,-5232
CO,House,2,41.9697912217384,146407
FL,House,17,-28.31658565419247,-98685
WA,House,6,20.109637712613512,69956
WA,House,7,71.19375041468699,246791
VA,House,1,-13.012411668251922,-44599
MA,House,9,17.951555678848315,61476
FL,House,8,-29.820460071067888,-102048
FL,House,13,-8.084123368448173,-27611
MI,House,2,-29.385516654345388,-99770
OR,House,4,7.46644567458129,25317
MI,House,3,12.909011528431686,43760
MI,House,4,-11.894853819144785,-40246
WI,House,7,-23.75246845696312,-80347
CA,House,3,-7.296591651660709,-24677
WA,House,2,20.313799297473093,68645
WA,House,8,6.852498824537701,23027
MI,House,8,10.26474783297452,34472
MN,House,3,19.191964566469316,64086
GA,House,6,-24.44345529897924,-81274
TX,House,21,-25.681878084470174,-84771
MN,House,8,NA,NA
PA,House,12,12.393646156655103,40728
FL,House,21,-27.00811250970305,-88723
SD,House,0,NA,NA
CO,House,3,-0.16682707731793392,-546
NY,House,1,-5.771559262747209,-18876
FL,House,11,-27.662434286869008,-90348
PA,House,6,16.62843088307814,54289
MI,House,10,-0.4904409984152625,-1600
MN,House,2,5.225334283747911,17007
NC,House,11,-9.282459433426363,-30067
AZ,House,2,-7.736026419621764,-25018
MA,House,6,27.040355135094973,87349
FL,House,12,-40.749390518486315,-131211
DE,House,0,12.502759218900106,40215
AZ,House,5,-19.34792748530738,-62221
IA,House,2,-8.1618751691254,-26241
PA,House,16,-18.724317655745214,-60103
MN,House,6,NA,NA
WA,House,3,0.8221817055970277,2629
WI,House,3,-3.700907769830336,-11766
MI,House,5,-27.445801209110567,-87074
WA,House,5,-19.2624114370075,-61063
PA,House,11,-23.09027668183798,-73156
ME,House,2,6.003502095568016,18994
MO,House,2,-11.842263658423777,-37382
PA,House,5,30.163141763910833,95070
IA,House,3,-0.6808680829992477,-2145
PA,House,10,-7.666923120942565,-24116
FL,House,19,-36.009691196843654,-112809
ID,House,1,-45.01315444146434,-140640
GA,House,3,-37.49971826995212,-116467
NV,House,2,-21.931220168889975,-68096
OR,House,1,35.98469586743295,111640
WI,House,8,NA,NA
NJ,House,7,-2.802707574824327,-8691
NH,House,1,8.117769274943381,25162
IA,House,1,-6.7070020921042435,-20774
CA,House,2,48.80695969865489,150691
OR,House,2,-35.14591351449416,-108487
VA,House,5,-15.333506611650801,-47195
GA,House,10,-29.066085882391185,-89416
NH,House,2,11.722651373283396,36057
NY,House,23,-19.235870197239045,-58886
MN,House,7,NA,NA
FL,House,16,-24.29508969799383,-74187
PA,House,15,-39.878615482424806,-121688
FL,House,7,-17.065004686652085,-51887
GA,House,11,-25.197838350507315,-76515
OH,House,7,-10.711426905554841,-32517
OR,House,3,43.63276124667858,132353
PA,House,9,-38.62170194859629,-116563
FL,House,2,-19.603568809744218,-59083
KS,House,3,12.176810689890937,36688
WI,House,1,-8.902604805445595,-26785
FL,House,6,NA,NA
IL,House,15,-42.28781942732705,-126611
IL,House,16,-32.65558188396555,-97296
TX,House,24,-19.49769159741459,-58069
OH,House,14,-23.4826346337719,-69750
VA,House,2,-3.4037495454484237,-10109
PA,House,7,1.9660414091366865,5837
MN,House,1,NA,NA
OH,House,1,5.5175158698570534,16358
VA,House,10,6.497492782251937,19242
MN,House,4,35.328222506782716,104562
NY,House,20,11.843893927404793,35025
GA,House,5,64.95654175240983,191918
NC,House,2,29.355069539354766,86559
OR,House,6,2.449240259938786,7210
GA,House,9,-44.70758623503254,-131502
MD,House,1,-11.304276685824147,-33162
NY,House,19,-1.9017215980750366,-5564
VT,House,0,33.60004110222466,98097
CA,House,49,5.260596088916311,15347
MD,House,3,20.47756874095514,59713
MA,House,4,NA,NA
NC,House,4,33.81350261645363,98541
NY,House,17,2.6497727491177723,7719
IL,House,12,-50.0008586019899,-145588
FL,House,1,-35.720868177816904,-103882
OH,House,4,-38.38969381987621,-111390
VA,House,11,33.67762603736588,97556
NY,House,21,-13.10351257004941,-37950
MN,House,5,49.79840808310722,143522
PA,House,8,2.4490564196231257,7026
WA,House,1,27.09010617962635,77663
TX,House,37,55.78766152651082,159435
NY,House,24,-21.475877769021977,-61319
CT,House,2,18.047159782620135,51440
NY,House,25,11.181094073476263,31865
FL,House,3,-26.227039625403222,-74719
MA,House,5,46.51170137706622,132503
MA,House,8,37.90142067516331,107861
OH,House,13,5.352502909542244,15223
CA,House,40,-13.670593118099546,-38867
NC,House,7,-15.416735556814144,-43825
IA,House,4,-35.98196625535839,-102237
UT,House,3,-34.86837462065072,-98810
CA,House,19,37.30118950972433,105678
CA,House,5,-22.618803660389357,-64018
CO,House,1,62.77033147450958,177399
CO,House,6,23.17180459831526,65056
NM,House,1,11.512055039530269,32311
OH,House,6,-35.445444267305795,-99383
MA,House,2,31.66447079490558,88683
OH,House,5,-33.81796618524882,-94669
NY,House,3,-4.937592039231946,-13814
FL,House,23,4.755437217119574,13270
OH,House,8,-29.276914913450646,-81658
CA,House,36,39.500938746351814,110035
NY,House,4,0.5449689102057814,1518
CO,House,5,-15.667496510339468,-43550
MO,House,3,-30.22186839194948,-83895
MI,House,12,44.584025333511065,123755
NC,House,5,-26.305359793621285,-73010
NC,House,13,3.1851910609851952,8834
MD,House,5,31.950743897154414,88478
IL,House,6,8.721045730859391,24145
OH,House,12,-38.53611210663307,-106451
GA,House,4,56.970475340487745,157030
VA,House,7,4.650934119960668,12771
IL,House,5,40.752868329994534,111887
FL,House,4,-20.902361521034063,-57294
NY,House,22,5.979976713713724,16384
NJ,House,11,18.812850795135642,51484
OH,House,10,-23.334102674008374,-63693
SC,House,1,-13.921395330074336,-37961
NY,House,18,2.2727856296562576,6196
FL,House,22,10.218806483372765,27816
NJ,House,3,11.822342432639585,32083
TX,House,3,-23.637818149644616,-64119
ID,House,2,-27.182081670882717,-73714
VA,House,6,-28.949538319825876,-77942
VA,House,8,48.774057768390996,131171
CA,House,50,25.684292813669106,68997
MD,House,2,18.59786763226715,49923
NC,House,10,-45.30344099892993,-121507
WA,House,10,14.105427491521878,37767
UT,House,1,-33.94940319795811,-90448
OH,House,9,13.267197209200916,35293
NJ,House,5,10.410501498441395,27686
CA,House,47,3.4306473168068967,9113
AZ,House,4,12.21101477223934,32420
GA,House,12,-19.19304662606761,-50899
TX,House,26,NA,NA
GA,House,13,63.548689421652504,168160
IL,House,11,12.906021397133678,34103
MD,House,8,62.026221963165106,163877
GA,House,1,-18.294470857878885,-48291
PA,House,3,NA,NA
MA,House,1,22.472511008871578,59249
AK,House,0,23.02150904745647,60687
