State,FIPS,Benchmark
PA,1,-35.30
PA,3,19.20
PA,5,-53.30
PA,7,-18.80
PA,9,-68.30
PA,11,-9.40
PA,13,-44.50
PA,15,-46.20
PA,17,3.20
PA,19,-33.60
PA,21,-38.40
PA,23,-47.70
PA,25,-33.10
PA,27,3.60
PA,29,15.90
PA,31,-51.80
PA,33,-50.70
PA,35,-37.40
PA,37,-31.90
PA,39,-38.30
PA,41,-11.70
PA,43,7.30
PA,45,25.50
PA,47,-46.20
PA,49,-0.10
PA,51,-34.40
PA,53,-44.70
PA,55,-44.20
PA,57,-72.70
PA,59,-44.40
PA,61,-52.00
PA,63,-38.60
PA,65,-60.00
PA,67,-62.40
PA,69,7.10
PA,71,-17.00
PA,73,-30.60
PA,75,-33.00
PA,77,6.40
PA,79,-15.50
PA,81,-42.50
PA,83,-47.30
PA,85,-27.10
PA,87,-57.10
PA,89,5.20
PA,91,25.00
PA,93,-22.40
PA,95,-0.50
PA,97,-39.70
PA,99,-51.30
PA,101,61.80
PA,103,-20.10
PA,105,-61.70
PA,107,-41.00
PA,109,-48.50
PA,111,-57.20
PA,113,-48.40
PA,115,-42.40
PA,117,-52.50
PA,119,-25.40
PA,121,-42.50
PA,123,-40.80
PA,125,-23.90
PA,127,-34.60
PA,129,-29.50
PA,131,-36.40
PA,133,-25.80
MI,1,-40.50
MI,3,-21.20
MI,5,-27.80
MI,7,-30.10
MI,9,-26.30
MI,11,-38.10
MI,13,-28.00
MI,15,-35.00
MI,17,-14.20
MI,19,-11.80
MI,21,-10.10
MI,23,-40.90
MI,25,-13.80
MI,27,-31.30
MI,29,-19.60
MI,31,-32.40
MI,33,-25.40
MI,35,-37.10
MI,37,-9.20
MI,39,-33.10
MI,41,-29.00
MI,43,-35.80
MI,45,-3.50
MI,47,-13.80
MI,49,6.50
MI,51,-39.10
MI,53,-15.00
MI,55,-5.80
MI,57,-30.80
MI,59,-50.20
MI,61,-16.90
MI,63,-41.50
MI,65,29.30
MI,67,-32.90
MI,69,-31.00
MI,71,-27.80
MI,73,-5.30
MI,75,-21.60
MI,77,15.90
MI,79,-44.20
MI,81,3.40
MI,83,-14.80
MI,85,-28.70
MI,87,-38.70
MI,89,2.40
MI,91,-22.50
MI,93,-25.20
MI,95,-44.60
MI,97,-26.30
MI,99,-10.70
MI,101,-17.70
MI,103,8.30
MI,105,-22.30
MI,107,-30.60
MI,109,-32.60
MI,111,-17.30
MI,113,-55.70
MI,115,-25.20
MI,117,-40.20
MI,119,-45.50
MI,121,-2.20
MI,123,-42.80
MI,125,11.10
MI,127,-30.60
MI,129,-42.50
MI,131,-27.90
MI,133,-48.60
MI,135,-45.80
MI,137,-36.60
MI,139,-24.10
MI,141,-31.50
MI,143,-32.40
MI,145,-2.50
MI,147,-32.70
MI,149,-34.30
MI,151,-47.80
MI,153,-34.00
MI,155,-22.50
MI,157,-41.70
MI,159,-14.90
MI,161,43.30
MI,163,34.90
MI,165,-36.80
WI,1,-26.10
WI,3,10.30
WI,5,-26.50
WI,7,13.30
WI,9,-7.80
WI,11,-25.80
WI,13,-28.90
WI,15,-20.20
WI,17,-21.00
WI,19,-37.60
WI,21,-2.10
WI,23,-8.30
WI,25,51.80
WI,27,-31.40
WI,29,0.80
WI,31,8.70
WI,33,-14.50
WI,35,10.20
WI,37,-46.10
WI,39,-27.00
WI,41,-31.20
WI,43,-12.90
WI,45,2.60
WI,47,-36.30
WI,49,13.10
WI,51,-23.00
WI,53,-15.60
WI,55,-15.80
WI,57,-29.70
WI,59,-3.80
WI,61,-33.20
WI,63,12.90
WI,65,-14.20
WI,67,-32.80
WI,69,-23.20
WI,71,-23.80
WI,73,-18.60
WI,75,-34.90
WI,77,-27.80
WI,78,62.90
WI,79,39.10
WI,81,-24.20
WI,83,-41.30
WI,85,-15.30
WI,87,-10.50
WI,89,-12.60
WI,91,-27.00
WI,93,-13.70
WI,95,-27.90
WI,97,2.20
WI,99,-28.10
WI,101,-4.70
WI,103,-10.30
WI,105,10.50
WI,107,-35.20
WI,109,-16.60
WI,111,1.10
WI,113,-13.90
WI,115,-36.00
WI,117,-16.50
WI,119,-47.60
WI,121,-17.10
WI,123,-5.40
WI,125,-22.30
WI,127,-19.80
WI,129,-24.30
WI,131,-38.50
WI,133,-21.40
WI,135,-32.30
WI,137,-34.50
WI,139,-4.60
WI,141,-19.80
NC,1,-7.00
NC,3,-56.40
NC,5,-48.50
NC,7,5.50
NC,9,-44.60
NC,11,-51.10
NC,13,-24.40
NC,15,22.80
NC,17,-12.30
NC,19,-23.60
NC,21,22.50
NC,23,-38.60
NC,25,-8.10
NC,27,-49.50
NC,29,-45.40
NC,31,-40.60
NC,33,-17.00
NC,35,-35.60
NC,37,12.80
NC,39,-53.60
NC,41,-14.30
NC,43,-48.00
NC,45,-31.30
NC,47,-26.30
NC,49,-17.30
NC,51,18.00
NC,53,-45.00
NC,55,-15.20
NC,57,-46.10
NC,59,-44.10
NC,61,-20.60
NC,63,63.80
NC,65,28.20
NC,67,15.30
NC,69,-12.10
NC,71,-26.40
NC,73,-12.30
NC,75,-58.50
NC,77,-5.20
NC,79,-10.40
NC,81,24.50
NC,83,22.40
NC,85,-21.20
NC,87,-25.20
NC,89,-17.40
NC,91,35.00
NC,93,12.20
NC,95,-13.50
NC,97,-31.00
NC,99,-7.00
NC,101,-23.00
NC,103,-18.10
NC,105,-13.50
NC,107,-2.10
NC,109,-44.40
NC,111,-46.60
NC,113,-37.10
NC,115,-22.20
NC,117,-3.60
NC,119,36.50
NC,121,-56.10
NC,123,-30.20
NC,125,-26.00
NC,127,1.60
NC,129,3.50
NC,131,21.70
NC,133,-29.20
NC,135,52.40
NC,137,-26.50
NC,139,1.70
NC,141,-28.60
NC,143,-30.80
NC,145,-20.10
NC,147,10.80
NC,149,-24.20
NC,151,-54.70
NC,153,-13.40
NC,155,-17.10
NC,157,-30.50
NC,159,-34.30
NC,161,-44.30
NC,163,-21.00
NC,165,-0.60
NC,167,-49.50
NC,169,-56.20
NC,171,-49.80
NC,173,-18.30
NC,175,-14.30
NC,177,-14.30
NC,179,-22.80
NC,181,20.50
NC,183,27.90
NC,185,27.00
NC,187,11.20
NC,189,9.70
NC,191,-10.30
NC,193,-55.00
NC,195,4.20
NC,197,-59.50
NC,199,-32.30
GA,1,-56.70
GA,3,-46.70
GA,5,-72.20
GA,7,-15.80
GA,9,1.10
GA,11,-77.70
GA,13,-43.50
GA,15,-50.90
GA,17,-26.30
GA,19,-66.20
GA,21,23.50
GA,23,-52.90
GA,25,-80.80
GA,27,-20.80
GA,29,-35.50
GA,31,-24.00
GA,33,-2.00
GA,35,-43.50
GA,37,15.10
GA,39,-31.10
GA,43,-41.90
GA,45,-39.20
GA,47,-56.20
GA,49,-50.60
