town,county,fips
Acton,York,31
Albion,Kennebec,11
Alfred,York,31
Alna,Lincoln,15
Appleton,Knox,13
Arrowsic,Sagadahoc,23
Arundel,York,31
Baldwin,Cumberland,5
Bath,Sagadahoc,23
Benton,Kennebec,11
Berwick,York,31
Biddeford,York,31
Boothbay,Lincoln,15
Boothbay Harbor,Lincoln,15
Bowdoin,Sagadahoc,23
Bowdoinham,Sagadahoc,23
Bremen,Lincoln,15
Bridgton,Cumberland,5
Bristol,Lincoln,15
Brunswick,Cumberland,5
Buxton,York,31
Camden,Knox,13
Cape Elizabeth,Cumberland,5
Casco,Cumberland,5
Chebeague Island,Cumberland,5
China,Kennebec,11
Clinton,Kennebec,11
Cornish,York,31
Cumberland,Cumberland,5
Cushing,Knox,13
Damariscotta,Lincoln,15
Dayton,York,31
Dresden,Lincoln,15
Edgecomb,Lincoln,15
Eliot,York,31
Falmouth,Cumberland,5
Freeport,Cumberland,5
Friendship,Knox,13
Frye Island,Cumberland,5
Georgetown,Sagadahoc,23
Gorham,Cumberland,5
Gray,Cumberland,5
Harpswell,Cumberland,5
Harrison,Cumberland,5
Hollis,York,31
Hope,Knox,13
Isle au Haut,Knox,13
Jefferson,Lincoln,15
Kennebunk,York,31
Kennebunkport,York,31
Kittery,York,31
Lebanon,York,31
Limerick,York,31
Limington,York,31
Litchfield,Kennebec,11
Long Island,Cumberland,5
Lyman,York,31
Matinicus Isle Plt,Knox,13
Monhegan Plt,Lincoln,15
Naples,Cumberland,5
New Gloucester,Cumberland,5
Newcastle,Lincoln,15
Newfield,York,31
Nobleboro,Lincoln,15
North Berwick,York,31
North Haven,Knox,13
North Yarmouth,Cumberland,5
Ogunquit,York,31
Old Orchard Beach,York,31
Owls Head,Knox,13
Parsonsfield,York,31
Phippsburg,Sagadahoc,23
Pittston,Kennebec,11
Portland,Cumberland,5
Pownal,Cumberland,5
Raymond,Cumberland,5
Richmond,Sagadahoc,23
Rockland,Knox,13
Rockport,Knox,13
Saco,York,31
Saint George,Knox,13
Sanford,York,31
Scarborough,Cumberland,5
Sebago,Cumberland,5
Shapleigh,York,31
Somerville,Lincoln,15
South Berwick,York,31
South Bristol,Lincoln,15
South Portland,Cumberland,5
South Thomaston,Knox,13
Southport,Lincoln,15
Standish,Cumberland,5
Thomaston,Knox,13
Topsham,Sagadahoc,23
Union,Knox,13
Vassalboro,Kennebec,11
Vinalhaven,Knox,13
Waldoboro,Lincoln,15
Warren,Knox,13
Washington,Knox,13
Waterboro,York,31
Waterville,Kennebec,11
Wells,York,31
West Bath,Sagadahoc,23
West Gardiner,Kennebec,11
Westbrook,Cumberland,5
Westport Island,Lincoln,15
Whitefield,Lincoln,15
Windham,Cumberland,5
Windsor,Kennebec,11
Winslow,Kennebec,11
Wiscasset,Lincoln,15
Woolwich,Sagadahoc,23
Yarmouth,Cumberland,5
York,York,31
Abbot,Piscataquis,21
Addison,Washington,29
Albany Twp,Oxford,17
Alexander,Washington,29
Allagash,Aroostook,3
Alton,Penobscot,19
Amherst,Hancock,9
Amity,Aroostook,3
Andover,Oxford,17
Anson,Somerset,25
Ashland,Aroostook,3
Athens,Somerset,25
Atkinson,Piscataquis,21
Auburn,Androscoggin,1
Augusta,Kennebec,11
Aurora,Hancock,9
Avon,Franklin,7
Baileyville,Washington,29
Bangor,Penobscot,19
Bar Harbor,Hancock,9
Baring Plt,Washington,29
Beals,Washington,29
Beaver Cove,Piscataquis,21
Beddington,Washington,29
Belfast,Waldo,27
Belgrade,Kennebec,11
Belmont,Waldo,27
Bethel,Oxford,17
Bingham,Somerset,25
Blaine,Aroostook,3
Blue Hill,Hancock,9
Bowerbank,Piscataquis,21
Bradford,Penobscot,19
Bradley,Penobscot,19
Brewer,Penobscot,19
Bridgewater,Aroostook,3
Brighton Plt,Somerset,25
Brooklin,Hancock,9
Brooks,Waldo,27
Brooksville,Hancock,9
Brownfield,Oxford,17
Brownville,Piscataquis,21
Buckfield,Oxford,17
Bucksport,Hancock,9
Burlington,Penobscot,19
Burnham,Waldo,27
Byron,Oxford,17
Calais,Washington,29
Cambridge,Somerset,25
Canaan,Somerset,25
Canton,Oxford,17
Caratunk,Somerset,25
Caribou,Aroostook,3
Carmel,Penobscot,19
Carrabassett Valley,Franklin,7
Carroll Plt,Penobscot,19
Carthage,Franklin,7
Castine,Hancock,9
Castle Hill,Aroostook,3
Caswell,Aroostook,3
Chapman,Aroostook,3
Charleston,Penobscot,19
Charlotte,Washington,29
Chelsea,Kennebec,11
Cherryfield,Washington,29
Chester,Penobscot,19
Chesterville,Franklin,7
Clifton,Penobscot,19
Columbia,Washington,29
Columbia Falls,Washington,29
Cooper,Washington,29
Coplin Plt,Franklin,7
Corinna,Penobscot,19
Corinth,Penobscot,19
Cornville,Somerset,25
Cranberry Isles,Hancock,9
Crawford,Washington,29
Crystal,Aroostook,3
Cutler,Washington,29
Cyr Plt,Aroostook,3
Dallas Plt,Franklin,7
Danforth,Washington,29
Deblois,Washington,29
Dedham,Hancock,9
Deer Isle,Hancock,9
Denmark,Oxford,17
Dennistown Plt,Somerset,25
Dennysville,Washington,29
Detroit,Somerset,25
Dexter,Penobscot,19
Dixfield,Oxford,17
Dixmont,Penobscot,19
Dover-Foxcroft,Piscataquis,21
Drew Plt,Penobscot,19
Durham,Androscoggin,1
Dyer Brook,Aroostook,3
Eagle Lake,Aroostook,3
East Machias,Washington,29
East Millinocket,Penobscot,19
Eastbrook,Hancock,9
Easton,Aroostook,3
Eastport,Washington,29
Eddington,Penobscot,19
Edinburg,Penobscot,19
Ellsworth,Hancock,9
Embden,Somerset,25
Enfield,Penobscot,19
Etna,Penobscot,19
Eustis,Franklin,7
Exeter,Penobscot,19
Fairfield,Somerset,25
Farmingdale,Kennebec,11
Farmington,Franklin,7
Fayette,Kennebec,11
Fort Fairfield,Aroostook,3
Fort Kent,Aroostook,3
Frankfort,Waldo,27
Franklin,Hancock,9
Freedom,Waldo,27
Frenchboro,Hancock,9
Frenchville,Aroostook,3
Fryeburg,Oxford,17
Gardiner,Kennebec,11
Garfield Plt,Aroostook,3
Garland,Penobscot,19
Gilead,Oxford,17
Glenburn,Penobscot,19
Glenwood Plt,Aroostook,3
Gouldsboro,Hancock,9
Grand Isle,Aroostook,3
Grand Lake Stream Plt,Washington,29
Great Pond,Hancock,9
Greenbush,Penobscot,19
Greene,Androscoggin,1
Greenville,Piscataquis,21
Greenwood,Oxford,17
Guilford,Piscataquis,21
Hallowell,Kennebec,11
Hamlin,Aroostook,3
Hammond,Aroostook,3
Hampden,Penobscot,19
Hancock,Hancock,9
Hanover,Oxford,17
Harmony,Somerset,25
Harrington,Washington,29
Hartford,Oxford,17
Hartland,Somerset,25
Haynesville,Aroostook,3
Hebron,Oxford,17
Hermon,Penobscot,19
Hersey,Aroostook,3
Highland Plt,Somerset,25
Hiram,Oxford,17
Hodgdon,Aroostook,3
Holden,Penobscot,19
Houlton,Aroostook,3
Howland,Penobscot,19
Hudson,Penobscot,19
Indian Township,Washington,29
Industry,Franklin,7
Island Falls,Aroostook,3
Islesboro,Waldo,27
Jackman,Somerset,25
Jackson,Waldo,27
Jay,Franklin,7
Jonesboro,Washington,29
Jonesport,Washington,29
Kenduskeag,Penobscot,19
Kingfield,Franklin,7
Kingsbury Plt,Piscataquis,21
Knox,Waldo,27
Lagrange,Penobscot,19
Lake View Plt,Piscataquis,21
Lakeville,Penobscot,19
Lamoine,Hancock,9
Lee,Penobscot,19
Leeds,Androscoggin,1
Levant,Penobscot,19
Lewiston,Androscoggin,1
Liberty,Waldo,27
