state,biden_pct,trump_pct,margin,eevp,votes,timestamp
AK,35.199999999999996,60.5,-25.300000000000004,31,113744,2020-11-04T07:47:41Z
AK,34.699999999999996,61.4,-26.700000000000003,36,132475,2020-11-04T08:57:55Z
AK,33,62.9,-29.9,56,172031,2020-11-04T18:34:58Z
AK,33.6,62.2,-28.6,61,190970,2020-11-09T19:09:13Z
AK,38.1,57.99999999999999,-19.89999999999999,75,240234,2020-11-11T02:46:15Z
AK,39.1,56.89999999999999,-17.79999999999999,75,260983,2020-11-11T13:18:28Z
AK,40.300000000000004,55.900000000000006,-15.600000000000001,78,286788,2020-11-12T16:41:43Z
AK,42.1,54.1,-12,99,312033,2020-11-13T02:25:15Z
AK,42.5,53.300000000000004,-10.800000000000004,99,325194,2020-11-13T13:55:46Z
AK,42.699999999999996,53.5,-10.800000000000004,99,334789,2020-11-14T02:43:02Z
AK,42.699999999999996,53.5,-10.800000000000004,99,339523,2020-11-15T18:48:47Z
AK,43,53.2,-10.200000000000003,99,349473,2020-11-16T17:01:35Z
AK,43,53.1,-10.100000000000001,99,356796,2020-11-19T13:17:03Z
AK,43,53.1,-10.100000000000001,99,356845,2020-11-19T00:39:05Z
AK,43,53.2,-10.200000000000003,99,356488,2020-11-25T01:55:49Z
AK,42.8,52.800000000000004,-10.000000000000007,99,358802,2020-11-25T02:13:33Z
AK,42.9,53.2,-10.300000000000004,99,357114,2020-12-01T14:01:35Z
AK,42.9,53.1,-10.200000000000003,99,357168,2020-12-01T17:29:44Z
AK,42.9,53.1,-10.200000000000003,99,357226,2020-12-01T17:33:59Z
AK,42.8,52.800000000000004,-10.000000000000007,99,359530,2020-12-02T14:51:36Z
AK,43,53.1,-10.100000000000001,100,357569,2020-12-01T01:26:11Z
AK,42.8,52.800000000000004,-10.000000000000007,99,359530,2020-12-02T14:51:36Z
AL,58.5,40.699999999999996,17.800000000000004,0,1053,2020-11-04T01:23:07Z
AL,60.199999999999996,39.5,20.699999999999996,0,2190,2020-11-04T01:28:39Z
AL,48.9,50.6,-1.7000000000000028,0,3709,2020-11-04T01:29:35Z
AL,47.4,52,-4.600000000000001,0,4280,2020-11-04T01:32:46Z
AL,47.599999999999994,51.6,-4.000000000000007,0,5249,2020-11-04T01:40:51Z
AL,52,47.199999999999996,4.800000000000004,0,8971,2020-11-04T01:41:31Z
AL,53,46.300000000000004,6.699999999999996,0,9234,2020-11-04T01:42:13Z
AL,55.1,43.9,11.200000000000003,0,10648,2020-11-04T01:43:04Z
AL,51.5,47.5,4,0,11670,2020-11-04T01:45:58Z
AL,51.5,47.5,4,0,11672,2020-11-04T01:46:29Z
AL,59.199999999999996,39.800000000000004,19.39999999999999,1,18631,2020-11-04T01:49:11Z
AL,57.99999999999999,40.6,17.39999999999999,1,21290,2020-11-04T01:52:02Z
AL,56.39999999999999,42.3,14.099999999999994,1,23626,2020-11-04T01:55:09Z
AL,53.300000000000004,45.2,8.100000000000001,1,30815,2020-11-04T01:56:07Z
AL,53,45.4,7.600000000000001,1,32278,2020-11-04T01:57:36Z
AL,51.9,46.800000000000004,5.099999999999994,2,40640,2020-11-04T02:00:03Z
AL,52.6,46.2,6.399999999999999,2,57276,2020-11-04T02:02:35Z
AL,52.300000000000004,46.5,5.800000000000004,2,57720,2020-11-04T02:02:42Z
AL,49.9,48.9,1,3,60973,2020-11-04T02:03:00Z
AL,49.7,49.1,0.6000000000000014,3,61798,2020-11-04T02:04:16Z
AL,49,49.8,-0.7999999999999972,3,64748,2020-11-04T02:06:06Z
AL,49,49.7,-0.7000000000000028,3,66834,2020-11-04T02:08:52Z
AL,44.9,53.800000000000004,-8.900000000000006,4,87270,2020-11-04T02:09:29Z
AL,44.7,54,-9.299999999999997,4,87819,2020-11-04T02:09:46Z
AL,48.5,50.1,-1.6000000000000014,4,96685,2020-11-04T02:10:50Z
AL,47.3,51.4,-4.100000000000001,4,102521,2020-11-04T02:12:20Z
AL,47,51.7,-4.700000000000003,4,106641,2020-11-04T02:12:31Z
AL,46.6,52.2,-5.600000000000001,5,110254,2020-11-04T02:16:36Z
AL,44.9,53.900000000000006,-9.000000000000007,5,115261,2020-11-04T02:16:48Z
AL,44.4,54.400000000000006,-10.000000000000007,5,117598,2020-11-04T02:17:24Z
AL,48.5,50.3,-1.7999999999999972,6,150325,2020-11-04T02:18:14Z
AL,49.9,48.9,1,7,167645,2020-11-04T02:19:55Z
AL,48.699999999999996,50.2,-1.500000000000007,7,177093,2020-11-04T02:22:05Z
AL,47.699999999999996,51,-3.3000000000000043,8,193780,2020-11-04T02:22:13Z
AL,46.5,52.300000000000004,-5.800000000000004,8,200496,2020-11-04T02:22:55Z
AL,45.7,53.1,-7.399999999999999,9,210956,2020-11-04T02:23:15Z
AL,44.7,54,-9.299999999999997,9,218259,2020-11-04T02:23:54Z
AL,44.7,54.1,-9.399999999999999,9,218829,2020-11-04T02:25:01Z
AL,44,54.7,-10.700000000000003,10,233304,2020-11-04T02:26:10Z
AL,43.2,55.50000000000001,-12.300000000000004,10,242977,2020-11-04T02:26:59Z
AL,42.8,56.00000000000001,-13.20000000000001,11,252138,2020-11-04T02:27:21Z
AL,42.9,55.900000000000006,-13.000000000000007,11,255016,2020-11-04T02:27:48Z
AL,42.5,56.2,-13.700000000000003,11,257678,2020-11-04T02:28:17Z
AL,42,56.8,-14.799999999999997,11,264984,2020-11-04T02:29:00Z
AL,41.9,56.89999999999999,-14.999999999999993,11,269473,2020-11-04T02:31:33Z
AL,41.8,56.99999999999999,-15.199999999999996,11,270553,2020-11-04T02:31:58Z
AL,41.6,57.199999999999996,-15.599999999999994,11,273485,2020-11-04T02:32:19Z
AL,39.7,59.099999999999994,-19.39999999999999,12,289656,2020-11-04T02:32:33Z
AL,38.6,60.3,-21.699999999999996,13,303052,2020-11-04T02:33:33Z
AL,38.800000000000004,60,-21.199999999999996,13,307778,2020-11-04T02:33:39Z
AL,38.6,60.199999999999996,-21.599999999999994,13,310028,2020-11-04T02:34:46Z
AL,38.4,60.5,-22.1,13,316226,2020-11-04T02:35:38Z
AL,42,56.8,-14.799999999999997,15,351230,2020-11-04T02:35:52Z
AL,41.9,56.89999999999999,-14.999999999999993,16,382216,2020-11-04T02:38:15Z
AL,41.4,57.3,-15.899999999999999,16,387164,2020-11-04T02:38:29Z
AL,41.5,57.3,-15.799999999999997,16,388800,2020-11-04T02:38:46Z
AL,41,57.8,-16.799999999999997,17,394235,2020-11-04T02:39:23Z
AL,41,57.8,-16.799999999999997,17,398903,2020-11-04T02:39:35Z
AL,41,57.8,-16.799999999999997,17,401116,2020-11-04T02:40:43Z
AL,40.9,57.9,-17,17,402460,2020-11-04T02:42:18Z
AL,40.699999999999996,58.099999999999994,-17.4,17,406849,2020-11-04T02:43:53Z
AL,41.9,56.99999999999999,-15.099999999999994,18,422048,2020-11-04T02:45:28Z
AL,41.699999999999996,57.099999999999994,-15.399999999999999,18,426538,2020-11-04T02:45:43Z
AL,40.6,58.199999999999996,-17.599999999999994,19,440871,2020-11-04T02:45:54Z
AL,40.2,58.599999999999994,-18.39999999999999,19,452145,2020-11-04T02:50:20Z
AL,40.1,58.699999999999996,-18.599999999999994,19,454854,2020-11-04T02:50:58Z
AL,40.1,58.699999999999996,-18.599999999999994,19,459786,2020-11-04T02:51:56Z
AL,39.5,59.3,-19.799999999999997,20,473200,2020-11-04T02:52:39Z
AL,39.2,59.599999999999994,-20.39999999999999,20,480531,2020-11-04T02:52:42Z
AL,39.6,59.199999999999996,-19.599999999999994,22,514594,2020-11-04T02:54:26Z
AL,39.6,59.199999999999996,-19.599999999999994,22,516083,2020-11-04T02:55:57Z
AL,39.300000000000004,59.5,-20.199999999999996,23,554303,2020-11-04T02:56:15Z
AL,39.1,59.699999999999996,-20.599999999999994,24,566449,2020-11-04T02:56:28Z
AL,39.4,59.4,-20,24,573225,2020-11-04T02:57:53Z
AL,39.300000000000004,59.5,-20.199999999999996,25,583921,2020-11-04T02:58:08Z
AL,39.6,59.199999999999996,-19.599999999999994,25,589136,2020-11-04T02:58:42Z
AL,39.6,59.199999999999996,-19.599999999999994,25,590341,2020-11-04T02:59:22Z
AL,39.6,59.199999999999996,-19.599999999999994,25,593003,2020-11-04T03:01:01Z
AL,39,59.8,-20.799999999999997,25,605794,2020-11-04T03:03:29Z
AL,38.1,60.699999999999996,-22.599999999999994,27,635162,2020-11-04T03:06:21Z
AL,38.2,60.6,-22.4,27,642315,2020-11-04T03:06:59Z
AL,37.8,61,-23.200000000000003,27,652784,2020-11-04T03:08:18Z
AL,37.5,61.3,-23.799999999999997,28,661443,2020-11-04T03:09:05Z
AL,40.1,58.599999999999994,-18.499999999999993,31,743828,2020-11-04T03:09:25Z
AL,39.7,59,-19.299999999999997,32,753131,2020-11-04T03:12:01Z
AL,39.7,59.099999999999994,-19.39999999999999,32,754766,2020-11-04T03:14:02Z
AL,39.4,59.3,-19.9,32,761603,2020-11-04T03:14:47Z
AL,39.5,59.3,-19.799999999999997,32,769023,2020-11-04T03:15:22Z
AL,39.2,59.599999999999994,-20.39999999999999,34,804036,2020-11-04T03:16:18Z
AL,38.3,60.5,-22.200000000000003,35,832953,2020-11-04T03:16:42Z
AL,37.9,60.9,-23,36,845228,2020-11-04T03:17:36Z
AL,38,60.8,-22.799999999999997,36,854682,2020-11-04T03:18:38Z
AL,38.2,60.6,-22.4,37,887955,2020-11-04T03:19:26Z
AL,37.8,61,-23.200000000000003,38,905303,2020-11-04T03:20:10Z
AL,37.6,61.199999999999996,-23.599999999999994,39,917962,2020-11-04T03:20:36Z
AL,37.4,61.4,-24,39,926122,2020-11-04T03:21:04Z
AL,37.4,61.4,-24,39,927741,2020-11-04T03:22:41Z
AL,36.8,62,-25.200000000000003,40,961095,2020-11-04T03:23:35Z
AL,36.7,62.1,-25.4,41,970877,2020-11-04T03:24:12Z
AL,36.199999999999996,62.5,-26.300000000000004,43,1019460,2020-11-04T03:25:19Z
AL,36.199999999999996,62.6,-26.400000000000006,43,1020191,2020-11-04T03:25:56Z
AL,36.3,62.4,-26.1,44,1036595,2020-11-04T03:26:28Z
AL,36.6,62.2,-25.6,44,1042877,2020-11-04T03:26:41Z
AL,36.5,62.3,-25.799999999999997,44,1045742,2020-11-04T03:28:28Z
AL,36.5,62.3,-25.799999999999997,44,1053693,2020-11-04T03:30:56Z
AL,36.5,62.3,-25.799999999999997,46,1091758,2020-11-04T03:32:55Z
AL,36.5,62.3,-25.799999999999997,46,1093509,2020-11-04T03:33:16Z
AL,36.3,62.5,-26.200000000000003,47,1109466,2020-11-04T03:33:50Z
AL,36.1,62.7,-26.6,47,1118645,2020-11-04T03:34:12Z
AL,35.9,62.9,-27,48,1131209,2020-11-04T03:35:23Z
AL,35.8,63.1,-27.300000000000004,48,1139283,2020-11-04T03:36:04Z
AL,35.6,63.2,-27.6,49,1163951,2020-11-04T03:36:19Z
AL,35.6,63.2,-27.6,49,1169348,2020-11-04T03:36:41Z
AL,36.1,62.7,-26.6,50,1181775,2020-11-04T03:39:21Z
AL,36.1,62.7,-26.6,52,1230361,2020-11-04T03:41:28Z
AL,36.4,62.4,-26,54,1274884,2020-11-04T03:44:11Z
AL,36.4,62.4,-26,54,1275671,2020-11-04T03:44:37Z
AL,36.5,62.2,-25.700000000000003,54,1281555,2020-11-04T03:44:58Z
AL,36.6,62.1,-25.5,54,1286158,2020-11-04T03:46:24Z
AL,36.7,62,-25.299999999999997,54,1291940,2020-11-04T03:48:07Z
AL,36.6,62.1,-25.5,55,1310559,2020-11-04T03:49:33Z
AL,36.3,62.4,-26.1,56,1326406,2020-11-04T03:49:58Z
AL,36.3,62.4,-26.1,57,1355319,2020-11-04T03:50:06Z
AL,35.6,63.1,-27.5,61,1441203,2020-11-04T03:51:49Z
