state,town,county,fips

ME,Acton,York,031

ME,Albion,Kennebec,011

ME,Alfred,York,031

ME,Alna,Lincoln,015

ME,Appleton,Knox,013

ME,Arrowsic,Sagadahoc,023

ME,Arundel,York,031

ME,Baldwin,Cumberland,005

ME,Bath,Sagadahoc,023

ME,Benton,Kennebec,011

ME,Berwick,York,031

ME,Biddeford,York,031

ME,Boothbay,Lincoln,015

ME,Boothbay Harbor,Lincoln,015

ME,Bowdoin,Sagadahoc,023

ME,Bowdoinham,Sagadahoc,023

ME,Bremen,Lincoln,015

ME,Bridgton,Cumberland,005

ME,Bristol,Lincoln,015

ME,Brunswick,Cumberland,005

ME,Buxton,York,031

ME,Camden,Knox,013

ME,Cape Elizabeth,Cumberland,005

ME,Casco,Cumberland,005

ME,Chebeague Island,Cumberland,005

ME,China,Kennebec,011

ME,Clinton,Kennebec,011

ME,Cornish,York,031

ME,Cumberland,Cumberland,005

ME,Cushing,Knox,013

ME,Damariscotta,Lincoln,015

ME,Dayton,York,031

ME,Dresden,Lincoln,015

ME,Edgecomb,Lincoln,015

ME,Eliot,York,031

ME,Falmouth,Cumberland,005

ME,Freeport,Cumberland,005

ME,Friendship,Knox,013

ME,Frye Island,Cumberland,005

ME,Georgetown,Sagadahoc,023

ME,Gorham,Cumberland,005

ME,Gray,Cumberland,005

ME,Harpswell,Cumberland,005

ME,Harrison,Cumberland,005

ME,Hollis,York,031

ME,Hope,Knox,013

ME,Isle au Haut,Knox,013

ME,Jefferson,Lincoln,015

ME,Kennebunk,York,031

ME,Kennebunkport,York,031

ME,Kittery,York,031

ME,Lebanon,York,031

ME,Limerick,York,031

ME,Limington,York,031

ME,Litchfield,Kennebec,011

ME,Long Island,Cumberland,005

ME,Lyman,York,031

ME,Matinicus Isle Plt,Knox,013

ME,Monhegan Plt,Lincoln,015

ME,Naples,Cumberland,005

ME,New Gloucester,Cumberland,005

ME,Newcastle,Lincoln,015

ME,Newfield,York,031

ME,Nobleboro,Lincoln,015

ME,North Berwick,York,031

ME,North Haven,Knox,013

ME,North Yarmouth,Cumberland,005

ME,Ogunquit,York,031

ME,Old Orchard Beach,York,031

ME,Owls Head,Knox,013

ME,Parsonsfield,York,031

