State,Abbreviate,District,Office_type,When to call,Last Poll Close,,Estimated call time,Race to watch,,,
Alabama,AL,1,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,Poll Closing,298
Alabama,AL,2,House,Lots of results,8:00 PM,7,11:30:00 PM,TRUE,,Exit Poll,84
Alabama,AL,3,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,Early results,63
Alabama,AL,4,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,Lots of results,45
Alabama,AL,5,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,Almost all results,40
Alabama,AL,6,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,No Call,6
Alabama,AL,7,House,Poll Closing,8:00 PM,#N/A,8:00:00 PM,,,,
Alaska,AK,1,House,No Call,12:00 AM,#N/A,n/a,TRUE,,,
Arizona,AZ,1,House,Almost all results,9:00 PM,8,n/a,TRUE,,,
Arizona,AZ,2,House,Lots of results,9:00 PM,7,next day,TRUE,,,
Arizona,AZ,3,House,Early results,9:00 PM,6,10:45:00 PM,TRUE,,,
Arizona,AZ,4,House,Almost all results,9:00 PM,8,n/a,TRUE,,,
Arizona,AZ,5,House,Early results,9:00 PM,6,10:45:00 PM,TRUE,,,
Arizona,AZ,6,House,Almost all results,9:00 PM,8,n/a,TRUE,,,
Arizona,AZ,7,House,Poll Closing,9:00 PM,#N/A,9:00:00 PM,,,,
Arizona,AZ,8,House,Early results,9:00 PM,6,10:45:00 PM,TRUE,,,
Arizona,AZ,9,House,Exit Poll,9:00 PM,#N/A,9:05:00 PM,,,,
Arkansas,AR,1,House,Poll Closing,8:30 PM,#N/A,8:30:00 PM,,,,
Arkansas,AR,2,House,Poll Closing,8:30 PM,#N/A,8:30:00 PM,,,,
Arkansas,AR,3,House,Poll Closing,8:30 PM,#N/A,8:30:00 PM,,,,
Arkansas,AR,4,House,Poll Closing,8:30 PM,#N/A,8:30:00 PM,,,,
California,CA,1,House,Poll Closing,11:00 PM,#N/A,11:00:00 PM,,,,
California,CA,2,House,Poll Closing,11:00 PM,#N/A,11:00:00 PM,,,,
California,CA,3,House,Almost all results,11:00 PM,8,n/a,TRUE,,,
California,CA,4,House,Poll Closing,11:00 PM,#N/A,11:00:00 PM,,,,
California,CA,5,House,Exit Poll,11:00 PM,#N/A,11:05:00 PM,,,,
California,CA,6,House,Exit Poll,11:00 PM,#N/A,11:05:00 PM,,,,
California,CA,7,House,Poll Closing,11:00 PM,#N/A,11:00:00 PM,,,,
California,CA,8,House,Poll Closing,11:00 PM,#N/A,11:00:00 PM,,,,
California,CA,9,House,Lots of results,11:00 PM,7,n/a,TRUE,,,
California,CA,10,House,Poll Closing,11:00 PM,#N/A,11:00:00 PM,,,,
California,CA,11,House,Poll Closing,11:00 PM,#N/A,11:00:00 PM,,,,
California,CA,12,House,Poll Closing,11:00 PM,#N/A,11:00:00 PM,,,,
California,CA,13,House,Almost all results,11:00 PM,8,n/a,TRUE,,,
California,CA,14,House,Poll Closing,11:00 PM,#N/A,11:00:00 PM,,,,
California,CA,15,House,Poll Closing,11:00 PM,#N/A,11:00:00 PM,,,,
California,CA,16,House,Poll Closing,11:00 PM,#N/A,11:00:00 PM,,,,
California,CA,17,House,Poll Closing,11:00 PM,#N/A,11:00:00 PM,,,,
California,CA,18,House,Poll Closing,11:00 PM,#N/A,11:00:00 PM,,,,
California,CA,19,House,Poll Closing,11:00 PM,#N/A,11:00:00 PM,,,,
California,CA,20,House,Poll Closing,11:00 PM,#N/A,11:00:00 PM,,,,
California,CA,21,House,Early results,11:00 PM,6,next day,TRUE,,,
California,CA,22,House,Almost all results,11:00 PM,8,n/a,TRUE,,,
California,CA,23,House,Early results,11:00 PM,6,next day,TRUE,,,
California,CA,24,House,Poll Closing,11:00 PM,#N/A,11:00:00 PM,,,,
California,CA,25,House,Poll Closing,11:00 PM,#N/A,11:00:00 PM,,,,
California,CA,26,House,Exit Poll,11:00 PM,#N/A,11:05:00 PM,,,,
California,CA,27,House,Almost all results,11:00 PM,8,n/a,TRUE,,,
