county,office_type,district,state,fips,margin_votes_1,margin_pct_1,democratic_percent_1,republican_percent_1,democratic_votes_1,republican_votes_1,margin_votes_2,margin_pct_2,democratic_percent_2,republican_percent_2,democratic_votes_2,republican_votes_2
Autauga,President,0,AL,001,-12335,-44.418437162405475,27,71.4,7503,19838,-12202,-49.47893434978306,24,73.4,5908,18110
Baldwin,President,0,AL,003,-58966,-53.76234283682382,22.4,76.2,24578,83544,-54371,-57.78616218514188,19.6,77.4,18409,72780
Barbour,President,0,AL,005,-806,-7.663053812511884,45.8,53.5,4816,5622,-583,-5.6111645813282,46.7,52.3,4848,5431
Bibb,President,0,AL,007,-5539,-57.72798332464826,20.7,78.4,1986,7525,-4859,-55.544124371284866,21.4,77,1874,6733
Blount,President,0,AL,009,-22071,-80.00217485863419,9.6,89.6,2640,24711,-20658,-81.38197289631263,8.5,89.9,2150,22808
Bullock,President,0,AL,011,2300,49.859093865163665,74.7,24.8,3446,1146,2391,50.86151882578175,75.1,24.2,3530,1139
Butler,President,0,AL,013,-1493,-15.73566610455312,41.8,57.5,3965,5458,-1175,-13.529073114565342,42.8,56.3,3716,4891
Calhoun,President,0,AL,015,-19885,-39.003197144146085,29.8,68.8,15216,35101,-19606,-41.3838230327592,27.9,69.2,13197,32803
Chambers,President,0,AL,017,-2388,-15.6241821512693,41.6,57.3,6365,8753,-2040,-14.806212803019307,41.8,56.6,5763,7803
Cherokee,President,0,AL,019,-8959,-72.83147711568165,13.2,86,1624,10583,-7285,-69.36113491383415,14.5,83.9,1524,8809
Chilton,President,0,AL,021,-13012,-67.38477472812015,15.9,83.3,3073,16085,-12159,-66.60640920295809,15.9,82.5,2909,15068
Choctaw,President,0,AL,023,-1169,-15.661843515541264,41.9,57.6,3127,4296,-993,-13.662630709961475,42.8,56.4,3109,4102
Clarke,President,0,AL,025,-1569,-11.945184621240958,43.8,55.8,5755,7324,-1397,-10.799319727891156,44.2,55,5712,7109
Clay,President,0,AL,027,-4334,-62.53968253968254,18.3,80.8,1267,5601,-3996,-60.80340839926963,18.8,79.6,1234,5230
Cleburne,President,0,AL,029,-5809,-80.37913380379133,9.3,89.7,675,6484,-5054,-77.37293325168402,10.5,87.8,684,5738
Coffee,President,0,AL,031,-11823,-53.07744107744108,22.8,75.9,5076,16899,-11631,-56.70062886949739,20.4,77.1,4194,15825
Colbert,President,0,AL,033,-10860,-38.94427311195582,29.9,68.9,8343,19203,-9422,-38.26037521318931,29.6,67.9,7296,16718
Conecuh,President,0,AL,035,-476,-7.390156807949076,46,53.4,2966,3442,-344,-5.2575271282286415,46.9,52.2,3069,3413
Coosa,President,0,AL,037,-1835,-33.49151304982661,32.8,66.3,1796,3631,-1596,-30.557151062607698,34.1,64.6,1780,3376
