office_type,state,district,democratic_votes_1,democratic_votes_2,republican_votes_1,republican_votes_2,margin_pct_1,margin_votes_1,margin_pct_2,margin_votes_2,democratic_percent_1,republican_percent_1,democratic_percent_2,republican_percent_2
Governor,DE,0,292903,248404,190312,166852,20.822743084864523,102591,19.335195573923443,81552,59.45008741299016,38.62734432812564,58.89420150756424,39.5590059336408
Governor,IN,0,968092,1235503,1706724,1397396,-24.4456595532437,-738632,-5.8837835328179215,-161893,32.03983505753718,56.48549461078088,44.90269626325499,50.78647979607291
Governor,MO,0,1225771,1179024,1720202,1408113,-16.40807932482217,-494431,-8.568184031398301,-229089,40.678169051023495,57.08624837584566,44.096812197160716,52.66499622855901
Governor,MT,0,250860,255933,328548,236115,-12.834429753189937,-77688,3.896596622534012,19818,41.443273708748166,54.2777034619381,50.32130706403256,46.42471044149855
Governor,NC,0,2834790,2309157,2586604,2298880,4.512014048656111,248186,0.21794066178397045,10277,51.5363973189054,47.024383270249295,48.96946625893625,48.75152559715228
Governor,ND,0,90789,65855,235479,259863,-40.43402673119381,-144690,-57.127186460829996,-194008,25.37124094891392,65.80526768010772,19.391524392694937,76.51871085352494
Governor,NH,0,264639,337589,516609,354040,-31.767168255960286,-251970,-2.272705759402333,-16451,33.364414970389625,65.1315832263499,46.63792259503217,48.91062835443451
Governor,UT,0,442754,323349,918754,750850,-32.670361406657996,-476000,-37.999151928894555,-427501,30.388515113956835,63.05887652061483,28.741424644752005,66.74057657364656
Governor,VT,0,99214,139253,248412,166817,-41.120037607442825,-149198,-8.775073516372291,-27564,27.344089137822444,68.46412674526528,44.33156698503087,53.106640501403156
Governor,WA,0,2294243,1760520,1749066,1476346,13.57745966093568,545177,8.2905654213308,284174,57.13739168175484,43.55993202081916,51.36186363130089,43.07129820997009
Governor,WV,0,237024,350408,497944,301987,-33.993572946549115,-260920,6.784406966913162,48421,30.880318235792036,64.87389118234115,49.09668277115523,42.31227580424206
President,AK,0,153405,2697087,189892,3781977,-9.323463124702949,-36487,-15.17105455253297,-1084890,39.199327449367054,48.52279057407001,37.71594724804127,52.88700180057424
President,AL,0,849648,718084,1441168,1306925,-25.460292755489597,-591520,-28.33466062608118,-588841,36.570676932506466,62.03096968799606,34.55375295031915,62.88841357640033
President,AR,0,423932,378729,760647,677904,-27.620667903129355,-336715,-26.986374891193066,-299175,34.77506195301496,62.39572985614432,34.16235573215228,61.148730623345344
President,AZ,0,1672143,936250,1661686,1021154,0.3087095839018742,10457,-4.115938937662703,-84904,49.364690614366616,49.055981030464736,45.38711757263151,49.50305651029421
President,CA,0,11109764,7362490,6005961,3916209,29.171413015136228,5103803,28.828757008869683,3446281,63.499220903450215,34.327807888313984,61.5885457947953,32.75978878592562
President,CO,0,1804352,1212209,1364607,1137455,13.501729991191153,439745,2.915312272710432,74754,55.400001166734675,41.89827117554352,47.27463112060947,44.35931884789904
President,CT,0,1080680,884432,715291,668266,20.029217006161335,365389,13.314469228390765,216166,59.23871335540597,39.20949634924463,54.475461675768166,41.1609924473774
President,DE,0,296268,235581,200603,185103,18.980774190988274,95665,11.432389278313158,50478,58.78216702049563,39.80139282950735,53.35500016986196,41.9226108915488
President,FL,0,5297045,4485745,5668731,4605515,-3.3583688970618,-371686,-1.2759474791594534,-119770,47.86145072544223,51.21981962250403,47.78805230777426,49.06399978693371
President,GA,0,2473633,1837300,2461854,2068623,0.23568766212405828,11779,-5.740645886254692,-231323,49.49526943907977,49.25958177695571,45.595503632651074,51.33614951890577
President,HI,0,366130,266827,196864,128815,29.464775296839342,169266,32.18375794321693,138012,63.73363923901899,34.26886394217965,62.2228181659185,30.03906022270157
President,IA,0,759061,650790,897672,798923,-8.19760939776009,-138611,-9.60107072487815,-148133,44.89171557144218,53.089324969202266,42.18020844135643,51.781279166234576
President,ID,0,287021,189677,554118,407199,-30.767821864866576,-267097,-31.60577419050179,-217522,33.062935935169136,63.83075780003571,27.559917760648617,59.16569195115041
President,IL,0,3471915,2977498,2446891,2118179,16.973827798339087,1025024,15.989472078120231,859319,57.492982935492684,40.5191551371536,55.40273301725998,39.413260939139754
