office_type,state,county,margin_pct_1,margin_votes_1,margin_pct_2,margin_votes_2
President,AL,Autauga,-44.418437162405475,-12335,-49.47893434978306,-12202
President,AL,Baldwin,-53.76234283682382,-58966,-57.78616218514188,-54371
President,AL,Barbour,-7.663053812511884,-806,-5.6111645813282,-583
President,AL,Bibb,-57.72798332464826,-5539,-55.544124371284866,-4859
President,AL,Blount,-80.00217485863419,-22071,-81.38197289631263,-20658
President,AL,Bullock,49.859093865163665,2300,50.86151882578175,2391
President,AL,Butler,-15.73566610455312,-1493,-13.529073114565342,-1175
President,AL,Calhoun,-39.003197144146085,-19885,-41.3838230327592,-19606
President,AL,Chambers,-15.6241821512693,-2388,-14.806212803019307,-2040
President,AL,Cherokee,-72.83147711568165,-8959,-69.36113491383415,-7285
President,AL,Chilton,-67.38477472812015,-13012,-66.60640920295809,-12159
President,AL,Choctaw,-15.661843515541264,-1169,-13.662630709961475,-993
President,AL,Clarke,-11.945184621240958,-1569,-10.799319727891156,-1397
President,AL,Clay,-62.53968253968254,-4334,-60.80340839926963,-3996
President,AL,Cleburne,-80.37913380379133,-5809,-77.37293325168402,-5054
President,AL,Coffee,-53.07744107744108,-11823,-56.70062886949739,-11631
President,AL,Colbert,-38.94427311195582,-10860,-38.26037521318931,-9422
President,AL,Conecuh,-7.390156807949076,-476,-5.2575271282286415,-344
President,AL,Coosa,-33.49151304982661,-1835,-30.557151062607698,-1596
President,AL,Covington,-68.07228915662651,-11865,-68.54848906309267,-10843
President,AL,Crenshaw,-47.81623092035666,-3164,-45.553422904670505,-2848
President,AL,Cullman,-77.42228381639626,-32402,-77.80460325124739,-29004
President,AL,Dale,-46.27115209241058,-9133,-50.437771928882206,-9390
President,AL,Dallas,37.539184952978054,6706,37.597437266417515,7042
President,AL,DeKalb,-69.78471181359858,-20486,-69.37437706049222,-18097
President,AL,Elmore,-48.25006093102608,-19797,-51.97940658447365,-19183
President,AL,Escambia,-37.40414833438089,-5951,-36.70544928679419,-5584
President,AL,Etowah,-50.203234998323836,-23961,-50.103510143994114,-21782
President,AL,Fayette,-67.36253707506275,-5905,-65.23914104441191,-5347
President,AL,Franklin,-65.90872952774686,-8290,-60.8030112923463,-7269
President,AL,Geneva,-73.75846950976485,-9253,-72.43331332018184,-8445
President,AL,Greene,63.01570680628272,3009,65.15837104072398,3168
President,AL,Hale,18.896743246654886,1497,19.975031210986266,1600
President,AL,Henry,-43.03075930307593,-4001,-41.62404889609579,-3337
President,AL,Houston,-42.66779286596063,-19701,-47.6326433499881,-20020
President,AL,Jackson,-67.49449991538332,-15953,-62.44888140485927,-12980
President,AL,Jefferson,13.14876875107412,42845,7.227233713992231,20967
President,AL,Lamar,-72.23689698317808,-5196,-69.02322897128842,-4784
President,AL,Lauderdale,-44.66947833735538,-19806,-46.01035735449463,-17858
President,AL,Lawrence,-54.64412700392989,-8760,-48.697257744648844,-7121
President,AL,Lee,-20.099651499671094,-14361,-23.122008739682318,-13334
President,AL,Limestone,-42.58759012897329,-20968,-49.45177664974619,-19484
President,AL,Lowndes,45.8814923189466,3136,46.899340922708205,3131
President,AL,Macon,63.81978677060644,5567,66.79240969364426,5843
President,AL,Madison,-7.955146405705278,-15494,-16.7827782759464,-26764
President,AL,Marengo,1.3302752293577982,145,3.4983558640847643,383
President,AL,Marion,-77.80111537625842,-10742,-76.21592317224288,-9841
President,AL,Marshall,-68.71264657672425,-27248,-69.50950950950951,-24304
President,AL,Mobile,-11.884977397305148,-21769,-13.867688371779884,-22658
President,AL,Monroe,-15.860517435320585,-1692,-14.344624447717232,-1461
President,AL,Montgomery,31.489121334691696,31218,26.16102017510468,24741
President,AL,Morgan,-49.19772160381222,-26430,-52.36142505651017,-26176
President,AL,Perry,48.202676864244744,2521,46.051379638439585,2420
President,AL,Pickens,-16.259826230864707,-1572,-15.609858858226248,-1482
President,AL,Pike,-17.38313705657106,-2406,-20.284069097888676,-2642
President,AL,Randolph,-58.65091815077974,-6356,-53.37611056268509,-5407
President,AL,Russell,6.395048994326973,1364,1.917851170568562,367
President,AL,St. Clair,-63.954456470376456,-28422,-68.61111843319188,-26029
