"Geography","county","state","total_pop","proportion_white","proportion_black","proportion_indigenous","proportion_asian","proportion_pacific","proportion_other","proportion_multiracial","proportion_hispanic_latino","median_income","proportion_hs_degree_over_25","proportion_bachelors_degree_over_25"
"0500000US01001","Autauga","AL",58761,0.744,0.196,0.001,0.011,0,0.005,0.042,0.032,68315,0.904,0.296
"0500000US01003","Baldwin","AL",233420,0.84,0.083,0.004,0.009,0,0.019,0.046,0.048,71039,0.916,0.326
"0500000US01005","Barbour","AL",24877,0.455,0.469,0.003,0.005,0,0.044,0.024,0.048,39712,0.765,0.119
"0500000US01007","Bibb","AL",22251,0.758,0.207,0.001,0.003,0,0.005,0.026,0.029,50669,0.789,0.109
"0500000US01009","Blount","AL",59077,0.913,0.012,0.004,0.002,0.002,0.031,0.036,0.097,57440,0.818,0.147
"0500000US01011","Bullock","AL",10328,0.232,0.689,0,0.004,0,0.055,0.02,0.088,36136,0.734,0.094
"0500000US01013","Butler","AL",18981,0.515,0.446,0.004,0.013,0,0.003,0.02,0.017,44429,0.876,0.13
"0500000US01015","Calhoun","AL",116162,0.717,0.221,0.002,0.007,0.002,0.019,0.032,0.041,54339,0.851,0.192
"0500000US01017","Chambers","AL",34612,0.567,0.408,0.001,0.002,0,0.007,0.015,0.033,48805,0.835,0.127
"0500000US01019","Cherokee","AL",25069,0.913,0.04,0.005,0.001,0,0.008,0.033,0.019,46621,0.819,0.146
"0500000US01021","Chilton","AL",45140,0.813,0.094,0.014,0.005,0.003,0.033,0.037,0.081,62471,0.822,0.14
"0500000US01023","Choctaw","AL",12669,0.567,0.4,0.002,0.001,0,0.007,0.024,0.011,43299,0.824,0.13
"0500000US01025","Clarke","AL",23058,0.514,0.455,0.001,0.004,0,0.008,0.018,0.015,47549,0.814,0.138
"0500000US01027","Clay","AL",14209,0.815,0.126,0,0.003,0,0.009,0.047,0.031,48074,0.833,0.128
"0500000US01029","Cleburne","AL",15144,0.926,0.027,0.002,0.001,0,0.017,0.026,0.026,51553,0.825,0.165
"0500000US01031","Coffee","AL",53559,0.725,0.168,0.007,0.011,0,0.02,0.069,0.084,62199,0.866,0.216
"0500000US01033","Colbert","AL",57270,0.78,0.16,0.003,0.004,0.001,0.024,0.027,0.032,56149,0.864,0.18
"0500000US01035","Conecuh","AL",11576,0.497,0.485,0.003,0.003,0,0.002,0.01,0.007,39888,0.894,0.133
"0500000US01037","Coosa","AL",10329,0.664,0.302,0.001,0,0,0.007,0.026,0.027,52279,0.835,0.106
"0500000US01039","Covington","AL",37542,0.837,0.123,0.003,0.006,0,0.008,0.024,0.02,48772,0.858,0.163
"0500000US01041","Crenshaw","AL",13205,0.711,0.232,0.001,0.012,0,0.011,0.034,0.025,48557,0.821,0.172
"0500000US01043","Cullman","AL",88284,0.918,0.011,0.004,0.003,0,0.017,0.047,0.046,58119,0.846,0.183
"0500000US01045","Dale","AL",49455,0.704,0.211,0.01,0.012,0,0.024,0.039,0.07,52813,0.857,0.192
"0500000US01047","Dallas","AL",38326,0.277,0.691,0.005,0.006,0,0,0.02,0.011,37180,0.853,0.157
"0500000US01049","DeKalb","AL",71680,0.825,0.015,0.015,0.001,0.006,0.09,0.049,0.154,47920,0.777,0.141
"0500000US01051","Elmore","AL",87694,0.739,0.208,0.003,0.007,0,0.008,0.036,0.031,73258,0.885,0.242
"0500000US01053","Escambia","AL",36755,0.619,0.303,0.031,0.002,0,0.006,0.038,0.026,41153,0.823,0.126
"0500000US01055","Etowah","AL",103348,0.779,0.152,0.003,0.007,0,0.023,0.035,0.044,52177,0.861,0.177
"0500000US01057","Fayette","AL",16297,0.842,0.127,0.001,0.002,0.002,0.002,0.023,0.004,45650,0.837,0.13
"0500000US01059","Franklin","AL",32011,0.776,0.042,0.004,0.001,0,0.132,0.044,0.184,47359,0.801,0.148
"0500000US01061","Geneva","AL",26647,0.839,0.093,0.003,0.005,0,0.024,0.036,0.044,47608,0.834,0.139
"0500000US01063","Greene","AL",7706,0.173,0.818,0.001,0,0,0.002,0.006,0.003,32796,0.819,0.167
"0500000US01065","Hale","AL",14742,0.384,0.568,0.003,0.001,0,0.001,0.044,0.002,35851,0.806,0.164
"0500000US01067","Henry","AL",17282,0.706,0.253,0.003,0.006,0,0.004,0.027,0.027,58395,0.815,0.21
"0500000US01069","Houston","AL",107040,0.666,0.272,0.003,0.009,0,0.009,0.04,0.036,55064,0.876,0.225
"0500000US01071","Jackson","AL",52618,0.897,0.033,0.008,0.004,0,0.018,0.04,0.032,46748,0.82,0.162
"0500000US01073","Jefferson","AL",672265,0.503,0.427,0.002,0.017,0,0.02,0.03,0.042,63595,0.911,0.356
"0500000US01075","Lamar","AL",13885,0.858,0.11,0.004,0.002,0,0.007,0.02,0.005,49565,0.821,0.102
"0500000US01077","Lauderdale","AL",94329,0.844,0.099,0.003,0.006,0.001,0.007,0.04,0.03,56081,0.888,0.258
"0500000US01079","Lawrence","AL",33116,0.768,0.102,0.05,0.003,0.001,0.014,0.063,0.025,54786,0.827,0.158
"0500000US01081","Lee","AL",175126,0.687,0.225,0.002,0.043,0,0.011,0.032,0.039,59288,0.917,0.402
"0500000US01083","Limestone","AL",104199,0.768,0.132,0.008,0.018,0.001,0.025,0.048,0.063,80146,0.873,0.295
"0500000US01085","Lowndes","AL",10153,0.246,0.749,0,0,0,0,0.006,0.002,33125,0.833,0.163
"0500000US01087","Macon","AL",19198,0.163,0.789,0,0.004,0,0.003,0.041,0.024,41206,0.827,0.206
"0500000US01089","Madison","AL",389781,0.654,0.245,0.005,0.025,0.001,0.018,0.053,0.053,78058,0.922,0.451
"0500000US01091","Marengo","AL",19180,0.454,0.508,0.003,0.008,0,0.007,0.019,0.028,42975,0.891,0.22
"0500000US01093","Marion","AL",29203,0.913,0.038,0.003,0.003,0,0.016,0.026,0.027,49743,0.806,0.118
"0500000US01095","Marshall","AL",97923,0.858,0.028,0.009,0.006,0.001,0.043,0.055,0.151,58272,0.844,0.214
"0500000US01097","Mobile","AL",413878,0.567,0.363,0.004,0.02,0,0.012,0.034,0.03,55352,0.881,0.242
"0500000US01099","Monroe","AL",19816,0.537,0.423,0.013,0.002,0.001,0.002,0.022,0.002,39965,0.837,0.135
"0500000US01101","Montgomery","AL",228132,0.328,0.591,0.001,0.033,0,0.014,0.033,0.038,56707,0.88,0.337
"0500000US01103","Morgan","AL",123102,0.764,0.135,0.004,0.005,0,0.041,0.051,0.088,61588,0.852,0.238
"0500000US01105","Perry","AL",8479,0.284,0.708,0,0.001,0,0.001,0.006,0.01,32332,0.796,0.152
"0500000US01107","Pickens","AL",18925,0.575,0.397,0.002,0.001,0,0.007,0.019,0.052,45339,0.849,0.145
"0500000US01109","Pike","AL",32997,0.566,0.373,0.003,0.02,0,0.004,0.034,0.024,42616,0.879,0.277
"0500000US01111","Randolph","AL",22179,0.77,0.19,0.001,0.003,0,0.008,0.029,0.03,49879,0.82,0.188
"0500000US01113","Russell","AL",58849,0.469,0.449,0.002,0.008,0.001,0.02,0.051,0.059,47420,0.852,0.164
"0500000US01115","St. Clair","AL",91719,0.852,0.098,0.003,0.004,0.001,0.013,0.028,0.025,73218,0.873,0.193
"0500000US01117","Shelby","AL",223916,0.78,0.13,0.002,0.02,0,0.028,0.039,0.059,90618,0.938,0.456
"0500000US01119","Sumter","AL",12196,0.255,0.723,0.001,0.005,0,0.001,0.016,0.007,31726,0.888,0.218
"0500000US01121","Talladega","AL",81105,0.631,0.319,0.002,0.004,0.001,0.012,0.031,0.025,52457,0.832,0.166
"0500000US01123","Tallapoosa","AL",41251,0.691,0.266,0.001,0.005,0,0.009,0.028,0.024,53282,0.819,0.182
"0500000US01125","Tuscaloosa","AL",231558,0.621,0.321,0.002,0.016,0,0.009,0.031,0.04,61645,0.906,0.309
"0500000US01127","Walker","AL",64978,0.886,0.06,0.002,0.002,0,0.017,0.034,0.029,52987,0.827,0.153
"0500000US01129","Washington","AL",15434,0.667,0.234,0.068,0.004,0,0.001,0.026,0.017,51184,0.883,0.142
"0500000US01131","Wilcox","AL",10441,0.275,0.702,0.001,0,0,0,0.021,0.002,38208,0.777,0.116
"0500000US01133","Winston","AL",23655,0.932,0.011,0.005,0.004,0,0.016,0.031,0.032,49494,0.8,0.138
"0500000US02013","Aleutians East Borough","AK",3407,0.169,0.054,0.371,0.198,0.003,0.081,0.124,0.119,79961,0.81,0.169
"0500000US02016","Aleutians West Census Area","AK",5219,0.26,0.039,0.093,0.407,0.035,0.055,0.112,0.154,100662,0.895,0.154
"0500000US02020","Anchorage Municipality","AK",290674,0.592,0.053,0.074,0.098,0.029,0.027,0.127,0.097,95731,0.942,0.37
"0500000US02050","Bethel Census Area","AK",18538,0.091,0.012,0.834,0.014,0.002,0.005,0.043,0.022,64094,0.827,0.097
"0500000US02060","Bristol Bay Borough","AK",854,0.453,0.004,0.315,0.056,0.02,0.026,0.126,0.087,94167,0.95,0.263
