"state","total_population","proportion_white","proportion_black","proportion_indigenous","proportion_asian","proportion_pacific","proportion_other","proportion_multiracial","proportion_hispanic_latino","median_income","proportion_hs_degree_over_25","proportion_bachelors_degree_over_25"
"AK",734821,0.613203810179622,0.031757207537618,0.142853439136878,0.0645737451705926,0.0150809680180615,0.0199223851795199,0.112533361185921,0.0747009380515799,86435,0.9122,0.305387868610179
"AL",5028092,0.662041948516455,0.263855635696403,0.00422379860989019,0.0137684746022945,0.000393127054954444,0.0186712064934373,0.036937893936706,0.0462923924224139,58272,0.84510447761194,0.273508180439021
"AR",3018669,0.72659764651242,0.151374832086592,0.00547088932241329,0.0156929554051802,0.00364942496179608,0.0298360605286635,0.0674210504695944,0.0806958616529338,55169,0.86188,0.249178657547416
"AZ",7172282,0.666856163491619,0.0456150877781995,0.0416499920109109,0.033676782089717,0.00199648912298763,0.0767231676055124,0.13421084321559,0.32060143047917,80675,0.861,0.319201723802829
"CA",39356104,0.481277359669545,0.0560994521205656,0.0100029926742749,0.151118498060682,0.0036913459726603,0.162411539490799,0.135227383559104,0.396897958852838,84505,0.859051724137931,0.354213481293778
"CO",5770790,0.761247170491389,0.0405806520424413,0.00984571072591448,0.0322125097257048,0.0014203005134479,0.0491159106465493,0.10566215128258,0.220755202840512,86297,0.920234375,0.435736681112985
"CT",3611317,0.698151079232313,0.106954799038689,0.00261559342478104,0.0473625214845443,0.000288740645033377,0.0648608131050251,0.079821749516866,0.173830759803141,87971,0.916555555555556,0.414296924639958
"DE",993635,0.638128590478395,0.219648996865046,0.00327733423238916,0.0406756706436468,0,0.0326918053409954,0.0646362436910938,0.0993442219728572,85309,0.905,0.344985952588224
"FL",21634529,0.638177664094282,0.155117655716008,0.0025965073702321,0.0281994997441359,0.000652068690748941,0.0483745786654288,0.126684606584225,0.265277059602268,69368,0.868373134328358,0.324015862790449
"GA",10722325,0.542781639709671,0.314770228285377,0.00350486009330999,0.04339841620171,0.000654979027403105,0.0352028450918994,0.0595668521519353,0.100560030124064,76044,0.845056603773585,0.335894176029919
"HI",1450589,0.229642293578677,0.0196861268078001,0.00265140367119839,0.371954540534914,0.104317457253571,0.0165552020593014,0.255508835376526,0.10937948585023,99816,0.9252,0.347251530240475
"IA",3188836,0.868431251403333,0.0378028506326446,0.00310782147466975,0.0246639121610519,0.0014146883063287,0.0171871827212187,0.0471527516623621,0.065430606653964,72792,0.924363636363636,0.306896032282626
"ID",1854109,0.849304281463495,0.00699009389415617,0.0120108456406824,0.0135086006270397,0.00136742661839191,0.0451892175702723,0.071475239589474,0.130632510278522,69433,0.88825,0.301995957627087
"IL",12757634,0.657563047270364,0.139234175318088,0.00431287368802083,0.0579276963110871,0.000182251426871158,0.0659269685899439,0.0747957183910434,0.178457392648198,78304,0.906274509803922,0.367618591895645
"IN",6784403,0.799715972356005,0.0944574912486773,0.00186742208562787,0.0248558956477084,0.000247036916881264,0.0276660614058451,0.050933000589735,0.075321525269062,64210,0.893021739130435,0.284449315584584
"KS",2935922,0.797438087251637,0.0555423866846599,0.00747146007284935,0.0303119227963141,0.00089458950203718,0.0349881863346506,0.0734051762955555,0.1259435891008,65372,0.908114285714286,0.346835948298354
"KY",4502935,0.847571999817897,0.0800000708426837,0.00150289466758903,0.0153912481525938,0.000699669881976977,0.0124801386206996,0.0420916595509373,0.0400967762137362,64021,0.84545,0.266195746107816
"LA",4640546,0.594481754733171,0.31562015611956,0.00539292747017269,0.0173366627547707,0.000431031176072816,0.0182778675181757,0.0485250569652795,0.0550236325639267,62083,0.836609375,0.261499299004902
"MA",6984205,0.726740249749256,0.0713427568348867,0.00209576723478191,0.0697245778152274,0.000134499774849106,0.0498463515890499,0.0798418353985887,0.125863101383765,94378,0.922571428571429,0.458829836609893
"MD",6161707,0.511889689983636,0.29869959996475,0.00293183934257179,0.0648858806496317,0.000282363474926672,0.0577545120207761,0.0630278797742249,0.109309074092618,106417,0.910041666666667,0.422482164601465
"ME",1366949,0.922906194744647,0.0160071758346507,0.00493660553539305,0.0112010630974528,0,0.00593822081145676,0.0391108519776524,0.0190520853374925,64500,0.933,0.34094952628079
"MI",10057921,0.75732087366763,0.135546866494577,0.00451535411741651,0.0327105222838795,0.000158905404009437,0.0157805494793606,0.0541403048403343,0.0546142795315254,66887,0.917409638554217,0.313007713224234
"MN",5695292,0.796718605121564,0.0671340201696419,0.00904481596378202,0.0502079696703874,0.000242648313730007,0.0234646813543537,0.0532290955406676,0.0574660538915301,92595,0.93051724137931,0.381904210881549
"MO",6154422,0.793639572814474,0.112781929643434,0.00288230170111832,0.020630455955084,0.00134714047882969,0.0149982217663982,0.053796002126601,0.0455331707835439,65169,0.884026086956522,0.312583872051673
"MS",2958846,0.569429494809801,0.37237055899496,0.0043865469848718,0.00969627212771466,0.00038645438120132,0.014173136756695,0.0294520711791016,0.032842718749134,51190,0.832207317073171,0.24062220338605
"MT",1091840,0.864310719519344,0.00546050978165299,0.0582718218786635,0.00847937426729191,0.000531827923505276,0.0107813534950176,0.0522298789199883,0.0420262730803048,67424,0.928910714285714,0.3414543183983
"NC",10470214,0.64957340069649,0.209366039414285,0.0104496293963046,0.0311084570955283,0.000519175825823617,0.0402444480122374,0.0585465595068066,0.100352603012699,62880,0.87255,0.339980818634653
"ND",776874,0.844863423154849,0.0325839724331101,0.0466133311193321,0.0159628292361438,0.00196521314910783,0.0138120364434902,0.0440239910204229,0.0427268823515783,73249,0.916339622641509,0.31630932686639
"NE",1958939,0.818530251835305,0.0477350172721049,0.0094050452821655,0.024941709772484,0.000601010547035921,0.0354752833038701,0.0631739620274036,0.117919724912312,70387,0.921279569892473,0.336625914334239
