test_data,ddhq_id,year,office_type,state,county,district,fips,dem_name,rep_name,ind_name,green_name,percent_precincts_reporting,dem_votes,rep_votes,ind_votes,green_votes,dem_votes_percent,rep_votes_percent,ind_votes_percent,green_votes_percent,margin_votes,margin_percent,absentee_percent,absentee_margin
,,2018,Governor,AL,Autauga,0,01001,,,,,100,5734,13994,,,29.0,70.9,,,-8260,-41.9,,
,,2018,Governor,AL,Baldwin,0,01003,,,,,100,20464,57415,,,26.2,73.6,,,-36951,-47.4,,
,,2018,Governor,AL,Barbour,0,01005,,,,,100,4043,4336,,,48.2,51.7,,,-293,-3.5,,
,,2018,Governor,AL,Bibb,0,01007,,,,,100,1799,5082,,,26.1,73.7,,,-3283,-47.6,,
,,2018,Governor,AL,Blount,0,01009,,,,,100,2479,16984,,,12.7,87.1,,,-14505,-74.4,,
,,2018,Governor,AL,Bullock,0,01011,,,,,100,2729,949,,,74.1,25.8,,,1780,48.3,,
,,2018,Governor,AL,Butler,0,01013,,,,,100,3363,4812,,,41.1,58.8,,,-1449,-17.7,,
,,2018,Governor,AL,Calhoun,0,01015,,,,,100,12487,24460,,,33.7,66.0,,,-11973,-32.3,,
,,2018,Governor,AL,Chambers,0,01017,,,,,100,4625,6687,,,40.8,59.0,,,-2062,-18.2,,
,,2018,Governor,AL,Cherokee,0,01019,,,,,100,1552,6974,,,18.2,81.7,,,-5422,-63.5,,
,,2018,Governor,AL,Chilton,0,01021,,,,,100,2501,11291,,,18.1,81.8,,,-8790,-63.7,,
,,2018,Governor,AL,Choctaw,0,01023,,,,,100,2649,3475,,,43.2,56.7,,,-826,-13.5,,
,,2018,Governor,AL,Clarke,0,01025,,,,,100,4889,6344,,,43.5,56.4,,,-1455,-12.9,,
,,2018,Governor,AL,Clay,0,01027,,,,,100,1241,4164,,,22.9,76.9,,,-2923,-54.0,,
,,2018,Governor,AL,Cleburne,0,01029,,,,,100,508,3902,,,11.5,88.2,,,-3394,-76.7,,
,,2018,Governor,AL,Coffee,0,01031,,,,,100,3782,12117,,,23.7,75.9,,,-8335,-52.2,,
,,2018,Governor,AL,Colbert,0,01033,,,,,100,7692,13180,,,36.8,63.0,,,-5488,-26.2,,
,,2018,Governor,AL,Conecuh,0,01035,,,,,100,2444,2473,,,49.6,50.2,,,-29,-0.6,,
,,2018,Governor,AL,Coosa,0,01037,,,,,100,1522,2785,,,35.3,64.6,,,-1263,-29.3,,
,,2018,Governor,AL,Covington,0,01039,,,,,100,2168,9852,,,18.0,81.8,,,-7684,-63.8,,
,,2018,Governor,AL,Crenshaw,0,01041,,,,,100,1522,3873,,,28.2,71.7,,,-2351,-43.5,,
,,2018,Governor,AL,Cullman,0,01043,,,,,100,4309,24361,,,15.0,84.8,,,-20052,-69.8,,
,,2018,Governor,AL,Dale,0,01045,,,,,100,3731,10528,,,26.1,73.6,,,-6797,-47.5,,
,,2018,Governor,AL,Dallas,0,01047,,,,,100,10295,4917,,,67.6,32.3,,,5378,35.3,,
,,2018,Governor,AL,Dekalb,0,01049,,,,,100,4087,17316,,,19.0,80.6,,,-13229,-61.6,,
,,2018,Governor,AL,Elmore,0,01051,,,,,100,7722,21752,,,26.2,73.7,,,-14030,-47.5,,
,,2018,Governor,AL,Escambia,0,01053,,,,,100,4035,8098,,,33.2,66.6,,,-4063,-33.4,,
,,2018,Governor,AL,Etowah,0,01055,,,,,100,10513,24041,,,30.3,69.4,,,-13528,-39.1,,
,,2018,Governor,AL,Fayette,0,01057,,,,,100,2025,5455,,,27.0,72.8,,,-3430,-45.8,,
,,2018,Governor,AL,Franklin,0,01059,,,,,100,2336,6465,,,26.5,73.3,,,-4129,-46.8,,
,,2018,Governor,AL,Geneva,0,01061,,,,,100,1220,7784,,,13.5,86.3,,,-6564,-72.8,,
,,2018,Governor,AL,Greene,0,01063,,,,,100,3506,661,,,84.1,15.9,,,2845,68.2,,
,,2018,Governor,AL,Hale,0,01065,,,,,100,4206,2361,,,64.0,35.9,,,1845,28.1,,
,,2018,Governor,AL,Henry,0,01067,,,,,100,2045,4655,,,30.5,69.3,,,-2610,-38.8,,
,,2018,Governor,AL,Houston,0,01069,,,,,100,9062,23112,,,28.1,71.7,,,-14050,-43.6,,
,,2018,Governor,AL,Jackson,0,01071,,,,,100,3569,12074,,,22.8,77.0,,,-8505,-54.2,,
,,2018,Governor,AL,Jefferson,0,01073,,,,,100,152103,105661,,,58.9,40.9,,,46442,18.0,,
,,2018,Governor,AL,Lamar,0,01075,,,,,100,974,4399,,,18.1,81.8,,,-3425,-63.7,,
,,2018,Governor,AL,Lauderdale,0,01077,,,,,100,10222,20692,,,33.0,66.8,,,-10470,-33.8,,
,,2018,Governor,AL,Lawrence,0,01079,,,,,100,3796,8181,,,31.6,68.2,,,-4385,-36.6,,
,,2018,Governor,AL,Lee,0,01081,,,,,100,20021,29238,,,40.6,59.3,,,-9217,-18.7,,
,,2018,Governor,AL,Limestone,0,01083,,,,,100,10421,23213,,,30.9,68.9,,,-12792,-38.0,,
,,2018,Governor,AL,Lowndes,0,01085,,,,,100,3487,1555,,,69.1,30.8,,,1932,38.3,,
,,2018,Governor,AL,Macon,0,01087,,,,,100,5882,1376,,,81.0,19.0,,,4506,62.0,,
,,2018,Governor,AL,Madison,0,01089,,,,,100,65522,75874,,,46.3,53.6,,,-10352,-7.3,,
,,2018,Governor,AL,Marengo,0,01091,,,,,100,4735,4029,,,54.0,45.9,,,706,8.1,,
,,2018,Governor,AL,Marion,0,01093,,,,,100,1877,8021,,,18.9,80.9,,,-6144,-62.0,,
,,2018,Governor,AL,Marshall,0,01095,,,,,100,5193,22031,,,19.0,80.7,,,-16838,-61.7,,
,,2018,Governor,AL,Mobile,0,01097,,,,,100,63656,69671,,,47.7,52.2,,,-6015,-4.5,,
,,2018,Governor,AL,Monroe,0,01099,,,,,100,3881,5038,,,43.5,56.5,,,-1157,-13.0,,
