state,county,winner,margin,total_votes,democrat_votes,republican_votes,democrat_vote_share,republican_vote_share,fips
AK,Alaska,Republican,15.2,7151052,2697087,3781977,37.7,52.9,2013
AL,Autauga County,Republican,49.4,24661,5908,18110,24.0,73.4,1001
AL,Baldwin County,Republican,57.8,94090,18409,72780,19.6,77.4,1003
AL,Barbour County,Republican,5.6,10390,4848,5431,46.7,52.3,1005
AL,Bibb County,Republican,55.6,8748,1874,6733,21.4,77.0,1007
AL,Blount County,Republican,81.4,25384,2150,22808,8.5,89.9,1009
AL,Bullock County,Democrat,50.9,4701,3530,1139,75.1,24.2,1011
AL,Butler County,Republican,13.5,8685,3716,4891,42.8,56.3,1013
AL,Calhoun County,Republican,41.3,47376,13197,32803,27.9,69.2,1015
AL,Chambers County,Republican,14.8,13778,5763,7803,41.8,56.6,1017
AL,Cherokee County,Republican,69.4,10503,1524,8809,14.5,83.9,1019
AL,Chilton County,Republican,66.6,18255,2909,15068,15.9,82.5,1021
AL,Choctaw County,Republican,13.6,7268,3109,4102,42.8,56.4,1023
AL,Clarke County,Republican,10.8,12936,5712,7109,44.2,55.0,1025
AL,Clay County,Republican,60.8,6572,1234,5230,18.8,79.6,1027
AL,Cleburne County,Republican,77.3,6532,684,5738,10.5,87.8,1029
AL,Coffee County,Republican,56.7,20513,4194,15825,20.4,77.1,1031
AL,Colbert County,Republican,38.3,24626,7296,16718,29.6,67.9,1033
AL,Conecuh County,Republican,5.3,6543,3069,3413,46.9,52.2,1035
AL,Coosa County,Republican,30.5,5223,1780,3376,34.1,64.6,1037
AL,Covington County,Republican,68.6,15818,2379,13222,15.0,83.6,1039
AL,Crenshaw County,Republican,45.6,6252,1663,4511,26.6,72.2,1041
AL,Cullman County,Republican,77.8,37278,3730,32734,10.0,87.8,1043
AL,Dale County,Republican,50.4,18617,4408,13798,23.7,74.1,1045
AL,Dallas County,Democrat,37.6,18730,12826,5784,68.5,30.9,1047
AL,DeKalb County,Republican,69.4,26086,3682,21779,14.1,83.5,1049
AL,Elmore County,Republican,51.9,36905,8436,27619,22.9,74.8,1051
AL,Escambia County,Republican,36.7,15213,4698,10282,30.9,67.6,1053
AL,Etowah County,Republican,50.1,43474,10350,32132,23.8,73.9,1055
AL,Fayette County,Republican,65.2,8196,1358,6705,16.6,81.8,1057
AL,Franklin County,Republican,60.8,11955,2197,9466,18.4,79.2,1059
AL,Geneva County,Republican,72.4,11659,1522,9967,13.1,85.5,1061
AL,Greene County,Democrat,65.2,4862,4006,838,82.4,17.2,1063
AL,Hale County,Democrat,20.0,8010,4772,3172,59.6,39.6,1065
AL,Henry County,Republican,41.6,8017,2286,5623,28.5,70.1,1067
AL,Houston County,Republican,47.6,42030,10547,30567,25.1,72.7,1069
AL,Jackson County,Republican,62.5,20785,3663,16643,17.6,80.1,1071
AL,Jefferson County,Democrat,7.2,290111,151581,130614,52.2,45.0,1073
AL,Lamar County,Republican,69.1,6931,1035,5819,14.9,84.0,1075
AL,Lauderdale County,Republican,46.1,38813,9877,27735,25.4,71.5,1077
AL,Lawrence County,Republican,48.7,14623,3611,10732,24.7,73.4,1079
AL,Lee County,Republican,23.1,57668,20987,34321,36.4,59.5,1081
AL,Limestone County,Republican,49.5,39400,9340,28824,23.7,73.2,1083
AL,Lowndes County,Democrat,46.9,6676,4882,1751,73.1,26.2,1085
AL,Macon County,Democrat,66.8,8748,7237,1394,82.7,15.9,1087
AL,Madison County,Republican,16.7,159473,62435,89199,39.2,55.9,1089
AL,Marengo County,Democrat,3.5,10948,5607,5224,51.2,47.7,1091
AL,Marion County,Republican,76.2,12912,1432,11273,11.1,87.3,1093
AL,Marshall County,Republican,69.5,34965,4913,29217,14.1,83.6,1095
AL,Mobile County,Republican,13.8,163387,68429,91087,41.9,55.7,1097
AL,Monroe County,Republican,14.4,10185,4310,5771,42.3,56.7,1099
AL,Montgomery County,Democrat,26.1,94572,58669,33928,62.0,35.9,1101
AL,Morgan County,Republican,52.4,49991,11216,37392,22.4,74.8,1103
AL,Perry County,Democrat,46.0,5255,3823,1403,72.7,26.7,1105
AL,Pickens County,Republican,15.6,9494,3972,5454,41.8,57.4,1107
AL,Pike County,Republican,20.3,13025,5039,7681,38.7,59.0,1109
AL,Randolph County,Republican,53.4,10130,2290,7697,22.6,76.0,1111
AL,Russell County,Democrat,1.9,19136,9577,9210,50.0,48.1,1113
AL,Shelby County,Republican,50.3,99208,22927,72846,23.1,73.4,1117
AL,St. Clair County,Republican,68.6,37937,5550,31579,14.6,83.2,1115
AL,Sumter County,Democrat,49.5,6391,4739,1581,74.2,24.7,1119
AL,Talladega County,Republican,25.5,33218,12108,20596,36.5,62.0,1121
AL,Tallapoosa County,Republican,41.6,18504,5271,12967,28.5,70.1,1123
AL,Tuscaloosa County,Republican,19.5,81708,31746,47701,38.9,58.4,1125
AL,Walker County,Republican,67.5,29243,4486,24208,15.3,82.8,1127
AL,Washington County,Republican,43.1,8492,2366,6031,27.9,71.0,1129
AL,Wilcox County,Democrat,42.5,6095,4329,1737,71.0,28.5,1131
AL,Winston County,Republican,81.5,10255,871,9225,8.5,90.0,1133
AR,Arkansas County,Republican,30.6,6167,1939,3825,31.4,62.0,5001
AR,Ashley County,Republican,36.5,8027,2408,5338,30.0,66.5,5003
AR,Baxter County,Republican,53.6,19572,4163,14655,21.3,74.9,5005
AR,Benton County,Republican,34.8,94262,27894,60751,29.6,64.4,5007
AR,Boone County,Republican,58.4,15912,2925,12225,18.4,76.8,5009
AR,Bradley County,Republican,23.4,3617,1317,2163,36.4,59.8,5011
AR,Calhoun County,Republican,40.8,2250,636,1554,28.3,69.1,5013
AR,Carroll County,Republican,32.3,10656,3334,6773,31.3,63.6,5015
AR,Chicot County,Democrat,15.2,4149,2350,1716,56.6,41.4,5017
AR,Clark County,Republican,9.5,8365,3606,4398,43.1,52.6,5019
AR,Clay County,Republican,29.8,5978,1999,3779,33.4,63.2,5021
AR,Cleburne County,Republican,61.4,11968,2101,9454,17.6,79.0,5023
AR,Cleveland County,Republican,52.7,3299,723,2460,21.9,74.6,5025
AR,Columbia County,Republican,26.2,8837,3140,5456,35.5,61.7,5027
AR,Conway County,Republican,27.9,7837,2655,4844,33.9,61.8,5029
AR,Craighead County,Republican,35.2,34968,10474,22798,30.0,65.2,5031
AR,Crawford County,Republican,55.0,22155,4476,16655,20.2,75.2,5033
AR,Crittenden County,Democrat,9.0,15798,8368,6953,53.0,44.0,5035
AR,Cross County,Republican,37.8,6831,1995,4577,29.2,67.0,5037
AR,Dallas County,Republican,12.5,2741,1165,1507,42.5,55.0,5039
AR,Desha County,Democrat,7.4,4226,2227,1915,52.7,45.3,5041
AR,Drew County,Republican,24.4,6552,2364,3967,36.1,60.5,5043
AR,Faulkner County,Republican,31.6,46364,14525,29170,31.3,62.9,5045
AR,Franklin County,Republican,54.7,6698,1376,5034,20.5,75.2,5047
AR,Fulton County,Republican,50.6,4744,1067,3470,22.5,73.1,5049
AR,Garland County,Republican,34.1,40337,12283,26053,30.5,64.6,5051
AR,Grant County,Republican,54.8,6855,1407,5160,20.5,75.3,5053
AR,Greene County,Republican,53.0,14422,3056,10698,21.2,74.2,5055
AR,Hempstead County,Republican,29.0,6984,2371,4391,33.9,62.9,5057
AR,Hot Spring County,Republican,42.4,11815,3137,8153,26.6,69.0,5059
AR,Howard County,Republican,39.0,4634,1350,3155,29.1,68.1,5061
AR,Independence County,Republican,52.4,13443,2878,9925,21.4,73.8,5063
AR,Izard County,Republican,54.3,5396,1111,4042,20.6,74.9,5065
AR,Jackson County,Republican,32.9,5093,1583,3262,31.1,64.0,5067
AR,Jefferson County,Democrat,25.3,25683,15721,9231,61.2,35.9,5069
AR,Johnson County,Republican,40.6,8997,2421,6072,26.9,67.5,5071
AR,Lafayette County,Republican,25.4,2835,1028,1750,36.3,61.7,5073
AR,Lawrence County,Republican,49.8,5629,1263,4064,22.4,72.2,5075
AR,Lee County,Democrat,16.9,3004,1735,1229,57.8,40.9,5077
AR,Lincoln County,Republican,31.6,3814,1252,2455,32.8,64.4,5079
AR,Little River County,Republican,42.5,5192,1397,3604,26.9,69.4,5081
AR,Logan County,Republican,51.4,7839,1712,5737,21.8,73.2,5083
AR,Lonoke County,Republican,53.3,26766,5638,19902,21.1,74.4,5085
AR,Madison County,Republican,49.1,6782,1587,4917,23.4,72.5,5087
AR,Marion County,Republican,55.1,6718,1377,5077,20.5,75.6,5089
AR,Miller County,Republican,43.8,16015,4273,11293,26.7,70.5,5091
AR,Mississippi County,Republican,10.5,12995,5621,6988,43.3,53.8,5093
AR,Monroe County,Republican,3.7,2766,1298,1400,46.9,50.6,5095
AR,Montgomery County,Republican,53.4,3445,735,2573,21.3,74.7,5097
AR,Nevada County,Republican,26.1,3233,1156,2001,35.8,61.9,5099
AR,Newton County,Republican,58.4,3731,699,2875,18.7,77.1,5101
AR,Ouachita County,Republican,10.4,9881,4320,5347,43.7,54.1,5103
AR,Perry County,Republican,46.1,4213,1035,2979,24.6,70.7,5105
AR,Phillips County,Democrat,26.9,6894,4292,2443,62.3,35.4,5107
AR,Pike County,Republican,62.3,3956,684,3150,17.3,79.6,5109
AR,Poinsett County,Republican,24.1,5283,1878,3149,35.5,59.6,5111
AR,Polk County,Republican,66.4,8121,1210,6606,14.9,81.3,5113
AR,Pope County,Republican,50.4,21545,4818,15694,22.4,72.8,5115
AR,Prairie County,Republican,49.6,3404,812,2503,23.9,73.5,5117
AR,Pulaski County,Democrat,17.9,157728,89377,61182,56.7,38.8,5119
