test_data,ddhq_id,year,office_type,state,county,district,fips,dem_name,rep_name,ind_name,green_name,percent_precincts_reporting,dem_votes,rep_votes,ind_votes,green_votes,dem_votes_percent,rep_votes_percent,ind_votes_percent,green_votes_percent,margin_votes,margin_percent,absentee_percent,absentee_margin
,,2012,Senate,WV,Barbour County,0,54001,,,,,100,3345,2186,,,58.9,38.5,,,1159,20.4,,
,,2012,Senate,WV,Berkeley County,0,54003,,,,,100,19124,15886,,,53.3,44.3,,,3238,9.0,,
,,2012,Senate,WV,Boone County,0,54005,,,,,100,5913,2300,,,70.0,27.2,,,3613,42.8,,
,,2012,Senate,WV,Braxton County,0,54007,,,,,100,3130,1281,,,69.1,28.3,,,1849,40.8,,
,,2012,Senate,WV,Brooke County,0,54009,,,,,100,6395,2454,,,71.0,27.3,,,3941,43.7,,
,,2012,Senate,WV,Cabell County,0,54011,,,,,100,21723,9030,,,68.7,28.6,,,12693,40.1,,
,,2012,Senate,WV,Calhoun County,0,54013,,,,,100,1323,685,,,62.4,32.3,,,638,30.1,,
,,2012,Senate,WV,Clay County,0,54015,,,,,100,1878,988,,,62.6,33.0,,,890,29.6,,
,,2012,Senate,WV,Doddridge County,0,54017,,,,,100,1132,1476,,,41.9,54.7,,,-344,-12.8,,
,,2012,Senate,WV,Fayette County,0,54019,,,,,100,8693,4502,,,63.0,32.6,,,4191,30.4,,
,,2012,Senate,WV,Gilmer County,0,54021,,,,,100,1390,874,,,55.6,35.0,,,516,20.6,,
,,2012,Senate,WV,Grant County,0,54023,,,,,100,1467,2947,,,32.7,65.6,,,-1480,-32.9,,
,,2012,Senate,WV,Greenbrier County,0,54025,,,,,100,7906,4079,,,63.0,32.5,,,3827,30.5,,
,,2012,Senate,WV,Hampshire County,0,54027,,,,,100,3950,3754,,,50.0,47.5,,,196,2.5,,
,,2012,Senate,WV,Hancock County,0,54029,,,,,100,7842,3585,,,67.5,30.9,,,4257,36.6,,
,,2012,Senate,WV,Hardy County,0,54031,,,,,100,2752,2162,,,54.6,42.9,,,590,11.7,,
,,2012,Senate,WV,Harrison County,0,54033,,,,,100,14898,10372,,,57.3,39.9,,,4526,17.4,,
,,2012,Senate,WV,Jackson County,0,54035,,,,,100,6989,4066,,,61.9,36.0,,,2923,25.9,,
,,2012,Senate,WV,Jefferson County,0,54037,,,,,100,12146,8480,,,56.6,39.5,,,3666,17.1,,
,,2012,Senate,WV,Kanawha County,0,54039,,,,,100,45850,24653,,,62.3,33.5,,,21197,28.8,,
,,2012,Senate,WV,Lewis County,0,54041,,,,,100,3430,2656,,,54.3,42.0,,,774,12.3,,
,,2012,Senate,WV,Lincoln County,0,54043,,,,,100,4454,2036,,,66.9,30.6,,,2418,36.3,,
,,2012,Senate,WV,Logan County,0,54045,,,,,100,8614,2754,,,74.7,23.9,,,5860,50.8,,
,,2012,Senate,WV,Marion County,0,54049,,,,,100,13532,7054,,,63.9,33.3,,,6478,30.6,,
,,2012,Senate,WV,Marshall County,0,54051,,,,,100,6383,3119,,,65.8,32.1,,,3264,33.7,,
,,2012,Senate,WV,Mason County,0,54053,,,,,100,6711,2657,,,70.3,27.8,,,4054,42.5,,
,,2012,Senate,WV,McDowell County,0,54047,,,,,100,4343,1541,,,72.2,25.6,,,2802,46.6,,
,,2012,Senate,WV,Mercer County,0,54055,,,,,100,12210,7878,,,59.6,38.4,,,4332,21.2,,
,,2012,Senate,WV,Mineral County,0,54057,,,,,100,5523,5055,,,51.3,47.0,,,468,4.3,,
,,2012,Senate,WV,Mingo County,0,54059,,,,,100,6312,2206,,,72.8,25.5,,,4106,47.3,,
,,2012,Senate,WV,Monongalia County,0,54061,,,,,100,15724,13422,,,51.5,43.9,,,2302,7.6,,
,,2012,Senate,WV,Monroe County,0,54063,,,,,100,2967,1938,,,58.8,38.4,,,1029,20.4,,
,,2012,Senate,WV,Morgan County,0,54065,,,,,100,3415,3068,,,51.0,45.8,,,347,5.2,,
,,2012,Senate,WV,Nicholas County,0,54067,,,,,100,5367,3004,,,61.4,34.4,,,2363,27.0,,
,,2012,Senate,WV,Ohio County,0,54069,,,,,100,10962,5874,,,63.6,34.1,,,5088,29.5,,
,,2012,Senate,WV,Pendleton County,0,54071,,,,,100,1661,1495,,,51.3,46.2,,,166,5.1,,
,,2012,Senate,WV,Pleasants County,0,54073,,,,,100,1755,953,,,63.5,34.5,,,802,29.0,,
,,2012,Senate,WV,Pocahontas County,0,54075,,,,,100,2079,1133,,,60.2,32.8,,,946,27.4,,
,,2012,Senate,WV,Preston County,0,54077,,,,,100,4137,6289,,,38.2,58.1,,,-2152,-19.9,,
,,2012,Senate,WV,Putnam County,0,54079,,,,,100,13407,9323,,,57.5,40.0,,,4084,17.5,,
,,2012,Senate,WV,Raleigh County,0,54081,,,,,100,16539,10690,,,59.4,38.4,,,5849,21.0,,
,,2012,Senate,WV,Randolph County,0,54083,,,,,100,5958,3308,,,62.1,34.5,,,2650,27.6,,
,,2012,Senate,WV,Ritchie County,0,54085,,,,,100,1953,1676,,,52.4,45.0,,,277,7.4,,
,,2012,Senate,WV,Roane County,0,54087,,,,,100,3187,1592,,,64.2,32.0,,,1595,32.2,,
,,2012,Senate,WV,Summers County,0,54089,,,,,100,3011,1447,,,65.2,31.3,,,1564,33.9,,
,,2012,Senate,WV,Taylor County,0,54091,,,,,100,3342,2412,,,56.7,40.9,,,930,15.8,,
,,2012,Senate,WV,Tucker County,0,54093,,,,,100,1768,1295,,,56.2,41.2,,,473,15.0,,
,,2012,Senate,WV,Tyler County,0,54095,,,,,100,1788,1327,,,56.1,41.6,,,461,14.5,,
,,2012,Senate,WV,Upshur County,0,54097,,,,,100,4361,3496,,,53.9,43.2,,,865,10.7,,
,,2012,Senate,WV,Wayne County,0,54099,,,,,100,9561,4027,,,69.2,29.1,,,5534,40.1,,
,,2012,Senate,WV,Webster County,0,54101,,,,,100,1741,887,,,62.6,31.9,,,854,30.7,,
,,2012,Senate,WV,Wetzel County,0,54103,,,,,100,3831,1776,,,66.7,30.9,,,2055,35.8,,
,,2012,Senate,WV,Wirt County,0,54105,,,,,100,1399,677,,,65.5,31.7,,,722,33.8,,
,,2012,Senate,WV,Wood County,0,54107,,,,,100,20635,11489,,,63.0,35.1,,,9146,27.9,,
,,2012,Senate,WV,Wyoming County,0,54109,,,,,100,4626,2511,,,63.0,34.2,,,2115,28.8,,
,,2012,Senate,MT,Beaverhead County,0,30001,,,,,100,1501,2849,,,31.6,60.0,,,-1348,-28.4,,
,,2012,Senate,MT,Big Horn County,0,30003,,,,,100,3088,1298,,,67.2,28.3,,,1790,38.9,,
,,2012,Senate,MT,Blaine County,0,30005,,,,,100,1814,891,,,63.8,31.3,,,923,32.5,,
,,2012,Senate,MT,Broadwater County,0,30007,,,,,100,992,1730,,,33.0,57.5,,,-738,-24.5,,
,,2012,Senate,MT,Carbon County,0,30009,,,,,100,2666,2772,,,45.8,47.6,,,-106,-1.8,,
,,2012,Senate,MT,Carter County,0,30011,,,,,100,125,536,,,17.5,75.1,,,-411,-57.6,,
,,2012,Senate,MT,Cascade County,0,30013,,,,,100,17922,14351,,,52.5,42.0,,,3571,10.5,,
,,2012,Senate,MT,Chouteau County,0,30015,,,,,100,1363,1317,,,48.1,46.5,,,46,1.6,,
,,2012,Senate,MT,Custer County,0,30017,,,,,100,2271,2647,,,42.3,49.3,,,-376,-7.0,,
,,2012,Senate,MT,Daniels County,0,30019,,,,,100,325,604,,,32.6,60.6,,,-279,-28.0,,
,,2012,Senate,MT,Dawson County,0,30021,,,,,100,1569,2501,,,35.5,56.5,,,-932,-21.0,,
,,2012,Senate,MT,Deer Lodge County,0,30023,,,,,100,3094,1036,,,69.7,23.3,,,2058,46.4,,
