state,county,total_winner,total_margin,total_votes,democrat_votes,republican_votes,democrat_vote_share,republican_vote_share,absentee_votes,absentee_vote_share,absentee_winner,absentee_margin,republican_absentee_votes,democrat_absentee_votes,republican_absentee_vote_share,democrat_absentee_vote_share
Alabama,Autauga County,REPUBLICAN,44.4,37000,9847,26288,26.6,71.0,1902,5.1,REPUBLICAN,56.7,1466,388,77.1,20.4
Alabama,Baldwin County,REPUBLICAN,58.2,146925,28742,114309,19.6,77.8,7119,4.8,REPUBLICAN,58.8,5554,1368,78.0,19.2
Alabama,Barbour County,DEMOCRAT,9.0,16512,8931,7437,54.1,45.0,1128,6.8,DEMOCRAT,17.3,463,658,41.0,58.3
Alabama,Bibb County,REPUBLICAN,49.6,13889,3397,10285,24.5,74.1,382,2.8,REPUBLICAN,57.6,300,80,78.5,20.9
Alabama,Blount County,REPUBLICAN,81.1,38788,3376,34840,8.7,89.8,1174,3.0,REPUBLICAN,73.9,1014,147,86.4,12.5
Alabama,Bullock County,DEMOCRAT,63.7,7903,6448,1415,81.6,17.9,560,7.1,DEMOCRAT,76.4,63,491,11.2,87.7
Alabama,Butler County,REPUBLICAN,0.8,13415,6598,6712,49.2,50.0,440,3.3,DEMOCRAT,50.0,109,329,24.8,74.8
Alabama,Calhoun County,REPUBLICAN,37.6,73438,22033,49648,30.0,67.6,2222,3.0,REPUBLICAN,37.1,1495,670,67.3,30.2
Alabama,Chambers County,REPUBLICAN,4.5,22244,10489,11482,47.2,51.6,815,3.7,REPUBLICAN,19.3,483,326,59.3,40.0
Alabama,Cherokee County,REPUBLICAN,66.4,14981,2403,12345,16.0,82.4,641,4.3,REPUBLICAN,58.2,500,127,78.0,19.8
Alabama,Chilton County,REPUBLICAN,64.7,26071,4418,21276,16.9,81.6,1278,4.9,REPUBLICAN,8.2,683,578,53.4,45.2
Alabama,Choctaw County,DEMOCRAT,1.1,11270,5661,5532,50.2,49.1,586,5.2,REPUBLICAN,7.8,315,269,53.8,45.9
Alabama,Clarke County,REPUBLICAN,0.6,21133,10427,10564,49.3,50.0,1014,4.8,REPUBLICAN,6.2,530,467,52.3,46.1
Alabama,Clay County,REPUBLICAN,54.2,9151,2024,6985,22.1,76.3,497,5.4,REPUBLICAN,41.9,345,137,69.4,27.6
Alabama,Cleburne County,REPUBLICAN,77.1,9805,1050,8610,10.7,87.8,385,3.9,REPUBLICAN,75.6,337,46,87.5,11.9
Alabama,Coffee County,REPUBLICAN,50.0,29753,7103,21979,23.9,73.9,1217,4.1,REPUBLICAN,48.1,881,296,72.4,24.3
Alabama,Colbert County,REPUBLICAN,29.0,37170,12769,23544,34.4,63.3,1401,3.8,REPUBLICAN,26.2,869,502,62.0,35.8
Alabama,Conecuh County,DEMOCRAT,10.5,10554,5788,4681,54.8,44.4,538,5.1,DEMOCRAT,43.7,150,385,27.9,71.6
Alabama,Coosa County,REPUBLICAN,24.2,8217,3071,5057,37.4,61.5,260,3.2,REPUBLICAN,42.7,183,72,70.4,27.7
Alabama,Covington County,REPUBLICAN,63.5,23238,4094,18858,17.6,81.2,1160,5.0,REPUBLICAN,75.9,1013,133,87.3,11.5
Alabama,Crenshaw County,REPUBLICAN,33.9,9184,2991,6103,32.6,66.5,299,3.3,REPUBLICAN,52.8,227,69,75.9,23.1
Alabama,Cullman County,REPUBLICAN,77.1,56716,5937,49693,10.5,87.6,2029,3.6,REPUBLICAN,63.4,1630,344,80.3,17.0
Alabama,Dale County,REPUBLICAN,43.2,27217,7471,19218,27.4,70.6,1240,4.6,REPUBLICAN,51.0,920,287,74.2,23.1
Alabama,Dallas County,DEMOCRAT,49.5,31343,23351,7825,74.5,25.0,1385,4.4,DEMOCRAT,41.8,402,981,29.0,70.8
Alabama,DeKalb County,REPUBLICAN,67.1,38283,5884,31582,15.4,82.5,1403,3.7,REPUBLICAN,53.5,1065,315,75.9,22.5
Alabama,Elmore County,REPUBLICAN,47.8,52464,13091,38190,25.0,72.8,2100,4.0,REPUBLICAN,26.8,1308,746,62.3,35.5
Alabama,Escambia County,REPUBLICAN,26.1,23144,8394,14433,36.3,62.4,1431,6.2,REPUBLICAN,50.0,1061,345,74.1,24.1
Alabama,Etowah County,REPUBLICAN,44.4,67245,17993,47883,26.8,71.2,2450,3.6,REPUBLICAN,39.7,1690,717,69.0,29.3
Alabama,Fayette County,REPUBLICAN,61.1,12120,2268,9677,18.7,79.8,362,3.0,REPUBLICAN,46.1,261,94,72.1,26.0
Alabama,Franklin County,REPUBLICAN,54.8,15977,3420,12180,21.4,76.2,659,4.1,REPUBLICAN,55.7,503,136,76.3,20.6
Alabama,Geneva County,REPUBLICAN,67.3,16195,2530,13426,15.6,82.9,579,3.6,REPUBLICAN,68.0,481,87,83.1,15.0
Alabama,Greene County,DEMOCRAT,72.2,8793,7555,1209,85.9,13.7,434,4.9,DEMOCRAT,86.2,29,403,6.7,92.9
Alabama,Hale County,DEMOCRAT,32.5,13631,8983,4556,65.9,33.4,641,4.7,DEMOCRAT,55.5,139,495,21.7,77.2
Alabama,Henry County,REPUBLICAN,30.1,11838,4065,7625,34.3,64.4,643,5.4,REPUBLICAN,19.4,378,253,58.8,39.3
Alabama,Houston County,REPUBLICAN,38.2,60711,18125,41339,29.9,68.1,2950,4.9,REPUBLICAN,48.4,2158,729,73.2,24.7
Alabama,Jackson County,REPUBLICAN,59.0,29477,5723,23121,19.4,78.4,1113,3.8,REPUBLICAN,50.0,818,261,73.5,23.5
Alabama,Jefferson County,DEMOCRAT,11.1,500686,271925,216282,54.3,43.2,17086,3.4,DEMOCRAT,20.3,6618,10095,38.7,59.1
Alabama,Lamar County,REPUBLICAN,64.7,10321,1768,8446,17.1,81.8,491,4.8,REPUBLICAN,66.2,403,78,82.1,15.9
Alabama,Lauderdale County,REPUBLICAN,41.9,56242,15509,39059,27.6,69.4,2936,5.2,REPUBLICAN,37.4,1975,877,67.3,29.9
Alabama,Lawrence County,REPUBLICAN,42.8,21991,6107,15516,27.8,70.6,645,2.9,REPUBLICAN,42.2,450,178,69.8,27.6
Alabama,Lee County,REPUBLICAN,20.1,93057,35482,54231,38.1,58.3,4926,5.3,REPUBLICAN,25.8,3028,1758,61.5,35.7
Alabama,Limestone County,REPUBLICAN,46.1,57176,14541,40876,25.4,71.5,2948,5.2,REPUBLICAN,48.7,2141,706,72.6,23.9
Alabama,Lowndes County,DEMOCRAT,55.8,11264,8748,2466,77.7,21.9,407,3.6,DEMOCRAT,55.5,89,315,21.9,77.4
Alabama,Macon County,DEMOCRAT,73.7,15628,13501,1984,86.4,12.7,688,4.4,DEMOCRAT,80.7,66,621,9.6,90.3
Alabama,Madison County,REPUBLICAN,13.6,243654,99748,132859,40.9,54.5,14279,5.9,REPUBLICAN,16.2,8022,5708,56.2,40.0
Alabama,Marengo County,DEMOCRAT,16.8,17143,9935,7062,58.0,41.2,1181,6.9,DEMOCRAT,29.2,413,758,35.0,64.2
Alabama,Marion County,REPUBLICAN,74.2,18660,2271,16111,12.2,86.3,614,3.3,REPUBLICAN,70.8,519,84,84.5,13.7
Alabama,Marshall County,REPUBLICAN,68.6,51774,7548,43060,14.6,83.2,1763,3.4,REPUBLICAN,61.5,1408,323,79.9,18.3
Alabama,Mobile County,REPUBLICAN,9.1,279896,125215,150672,44.7,53.8,9326,3.3,REPUBLICAN,4.4,4801,4387,51.5,47.0
Alabama,Monroe County,REPUBLICAN,3.0,16675,8018,8513,48.1,51.1,601,3.6,DEMOCRAT,16.1,249,346,41.4,57.6
Alabama,Montgomery County,DEMOCRAT,34.6,153545,101891,48695,66.4,31.7,6230,4.1,DEMOCRAT,13.1,2646,3464,42.5,55.6
Alabama,Morgan County,REPUBLICAN,49.2,76993,18608,56481,24.2,73.4,2957,3.8,REPUBLICAN,49.1,2159,707,73.0,23.9
Alabama,Perry County,DEMOCRAT,56.8,9283,7256,1980,78.2,21.3,533,5.7,DEMOCRAT,69.8,79,451,14.8,84.6
Alabama,Pickens County,DEMOCRAT,1.7,14465,7296,7055,50.4,48.8,486,3.4,REPUBLICAN,11.9,271,213,55.8,43.8
Alabama,Pike County,REPUBLICAN,8.6,19618,8752,10447,44.6,53.3,627,3.2,REPUBLICAN,18.3,366,251,58.4,40.0
Alabama,Randolph County,REPUBLICAN,45.7,14999,3974,10834,26.5,72.2,725,4.8,REPUBLICAN,63.9,588,125,81.1,17.2
Alabama,Russell County,DEMOCRAT,9.9,31804,17236,14103,54.2,44.3,1495,4.7,REPUBLICAN,7.2,790,682,52.8,45.6
Alabama,Shelby County,REPUBLICAN,51.2,155185,35213,114727,22.7,73.9,5836,3.8,REPUBLICAN,52.8,4347,1264,74.5,21.7
Alabama,St. Clair County,REPUBLICAN,67.9,59619,9005,49462,15.1,83.0,2182,3.7,REPUBLICAN,60.1,1728,417,79.2,19.1
Alabama,Sumter County,DEMOCRAT,60.5,11328,9051,2193,79.9,19.4,732,6.5,DEMOCRAT,66.5,121,608,16.5,83.1
Alabama,Talladega County,REPUBLICAN,17.7,54684,22174,31838,40.5,58.2,1650,3.0,REPUBLICAN,32.6,1083,545,65.6,33.0
Alabama,Tallapoosa County,REPUBLICAN,32.4,29724,9860,19491,33.2,65.6,1286,4.3,REPUBLICAN,37.9,874,387,68.0,30.1
Alabama,Tuscaloosa County,REPUBLICAN,15.2,129329,53228,72886,41.2,56.4,4390,3.4,REPUBLICAN,18.2,2535,1735,57.7,39.5
Alabama,Walker County,REPUBLICAN,64.4,42811,7154,34732,16.7,81.1,1104,2.6,REPUBLICAN,54.5,844,242,76.4,21.9
Alabama,Washington County,REPUBLICAN,28.6,12371,4355,7899,35.2,63.9,464,3.8,REPUBLICAN,50.4,346,112,74.6,24.1
Alabama,Wilcox County,DEMOCRAT,53.0,10277,7842,2393,76.3,23.3,682,6.6,DEMOCRAT,65.2,117,562,17.2,82.4
Alabama,Winston County,REPUBLICAN,81.9,15688,1315,14160,8.4,90.3,562,3.6,REPUBLICAN,76.0,490,63,87.2,11.2
Alaska,,REPUBLICAN,,0,0,0,,,0,,REPUBLICAN,,0,0,,
Arizona,Apache County,DEMOCRAT,32.0,27661,17083,8240,61.8,29.8,13853,50.1,DEMOCRAT,19.1,5029,7670,36.3,55.4
Arizona,Cochise County,REPUBLICAN,21.3,49997,17448,28080,34.9,56.2,35259,70.5,REPUBLICAN,14.3,18632,13601,52.8,38.6
Arizona,Coconino County,DEMOCRAT,18.9,59784,32404,21108,54.2,35.3,59784,100.0,DEMOCRAT,18.9,21108,32404,35.3,54.2
Arizona,Gila County,REPUBLICAN,31.9,22515,7003,14182,31.1,63.0,17469,77.6,REPUBLICAN,34.3,11211,5215,64.2,29.9
Arizona,Graham County,REPUBLICAN,38.5,12281,3301,8025,26.9,65.3,7768,63.3,REPUBLICAN,42.7,5229,1911,67.3,24.6
Arizona,Greenlee County,REPUBLICAN,24.2,3300,1092,1892,33.1,57.3,2400,72.7,REPUBLICAN,19.5,1327,858,55.3,35.8
Arizona,La Paz County,REPUBLICAN,40.8,5951,1575,4003,26.5,67.3,5951,100.0,REPUBLICAN,40.8,4003,1575,67.3,26.5
Arizona,Maricopa County,REPUBLICAN,2.8,1567834,702907,747361,44.8,47.7,1567834,100.0,REPUBLICAN,2.8,747361,702907,47.7,44.8
Arizona,Mohave County,REPUBLICAN,51.1,79943,17455,58282,21.8,72.9,53978,67.5,REPUBLICAN,47.7,38475,12709,71.3,23.5
Arizona,Navajo County,REPUBLICAN,10.2,40294,16459,20577,40.8,51.1,22588,56.1,REPUBLICAN,22.4,12955,7894,57.4,34.9
Arizona,Pima County,DEMOCRAT,13.6,421640,224661,167428,53.3,39.7,337838,80.1,DEMOCRAT,16.9,128501,185691,38.0,55.0
Arizona,Pinal County,REPUBLICAN,19.2,129546,47892,72819,37.0,56.2,96045,74.1,REPUBLICAN,17.4,53039,36343,55.2,37.8
Arizona,Santa Cruz County,DEMOCRAT,47.4,16433,11690,3897,71.1,23.7,11696,71.2,DEMOCRAT,47.2,2785,8305,23.8,71.0
Arizona,Yavapai County,REPUBLICAN,31.2,114450,35590,71330,31.1,62.3,114450,100.0,REPUBLICAN,31.2,71330,35590,62.3,31.1
Arizona,Yuma County,REPUBLICAN,1.1,53010,24605,25165,46.4,47.5,41413,78.1,REPUBLICAN,3.3,20136,18755,48.6,45.3
Arkansas,Arkansas County,REPUBLICAN,17.5,10766,1939,3826,18.0,35.5,7297,67.8,REPUBLICAN,17.3,2617,1351,35.9,18.5
Arkansas,Ashley County,REPUBLICAN,20.2,14520,2408,5338,16.6,36.8,7630,52.5,REPUBLICAN,22.8,2906,1167,38.1,15.3
Arkansas,Baxter County,REPUBLICAN,53.2,19766,4169,14682,21.1,74.3,11327,57.3,REPUBLICAN,51.9,8362,2486,73.8,21.9
Arkansas,Benton County,REPUBLICAN,19.2,171098,28005,60871,16.4,35.6,119811,70.0,REPUBLICAN,19.0,42848,20119,35.8,16.8
Arkansas,Boone County,REPUBLICAN,35.2,26438,2926,12235,11.1,46.3,17943,67.9,REPUBLICAN,34.1,8229,2112,45.9,11.8
Arkansas,Bradley County,REPUBLICAN,12.5,6754,1317,2164,19.5,32.0,3540,52.4,REPUBLICAN,11.2,1111,714,31.4,20.2
Arkansas,Calhoun County,REPUBLICAN,40.4,2269,639,1556,28.2,68.6,924,40.7,REPUBLICAN,35.5,609,281,65.9,30.4
Arkansas,Carroll County,REPUBLICAN,18.9,18258,3342,6786,18.3,37.2,10451,57.2,REPUBLICAN,14.2,3713,2224,35.5,21.3
