state,county,winner,margin,total_votes,democrat_votes,republican_votes,democrat_vote_share,republican_vote_share
Alabama,Autauga County,Republican,44.4,27770,7503,19838,27.0,71.4
Alabama,Baldwin County,Republican,53.8,109679,24578,83544,22.4,76.2
Alabama,Barbour County,Republican,7.7,10518,4816,5622,45.8,53.5
Alabama,Bibb County,Republican,57.7,9595,1986,7525,20.7,78.4
Alabama,Blount County,Republican,80.0,27588,2640,24711,9.6,89.6
Alabama,Bullock County,Democrat,49.9,4613,3446,1146,74.7,24.8
Alabama,Butler County,Republican,15.7,9488,3965,5458,41.8,57.5
Alabama,Calhoun County,Republican,39.0,50983,15216,35101,29.8,68.8
Alabama,Chambers County,Republican,15.7,15284,6365,8753,41.6,57.3
Alabama,Cherokee County,Republican,72.8,12301,1624,10583,13.2,86.0
Alabama,Chilton County,Republican,67.4,19310,3073,16085,15.9,83.3
Alabama,Choctaw County,Republican,15.7,7464,3127,4296,41.9,57.6
Alabama,Clarke County,Republican,12.0,13135,5755,7324,43.8,55.8
Alabama,Clay County,Republican,62.5,6930,1267,5601,18.3,80.8
Alabama,Cleburne County,Republican,80.4,7227,675,6484,9.3,89.7
Alabama,Coffee County,Republican,53.1,22275,5076,16899,22.8,75.9
Alabama,Colbert County,Republican,39.0,27886,8343,19203,29.9,68.9
Alabama,Conecuh County,Republican,7.4,6441,2966,3442,46.0,53.4
Alabama,Coosa County,Republican,33.5,5479,1796,3631,32.8,66.3
Alabama,Covington County,Republican,68.1,17430,2721,14586,15.6,83.7
Alabama,Crenshaw County,Republican,47.8,6617,1700,4864,25.7,73.5
Alabama,Cullman County,Republican,77.4,41851,4478,36880,10.7,88.1
Alabama,Dale County,Republican,46.3,19738,5170,14303,26.2,72.5
Alabama,Dallas County,Democrat,37.6,17864,12230,5524,68.5,30.9
Alabama,DeKalb County,Republican,69.8,29356,4281,24767,14.6,84.4
Alabama,Elmore County,Republican,48.2,41030,10367,30164,25.3,73.5
Alabama,Escambia County,Republican,37.4,15910,4918,10869,30.9,68.3
Alabama,Etowah County,Republican,50.2,47728,11567,35528,24.2,74.4
Alabama,Fayette County,Republican,67.4,8766,1395,7300,15.9,83.3
Alabama,Franklin County,Republican,65.9,12578,2086,10376,16.6,82.5
Alabama,Geneva County,Republican,73.8,12545,1595,10848,12.7,86.5
Alabama,Greene County,Democrat,63.0,4775,3884,875,81.3,18.3
Alabama,Hale County,Democrat,18.9,7922,4687,3190,59.2,40.3
Alabama,Henry County,Republican,43.1,9298,2606,6607,28.0,71.1
Alabama,Houston County,Republican,42.6,46173,12917,32618,28.0,70.6
Alabama,Jackson County,Republican,67.5,23636,3717,19670,15.7,83.2
Alabama,Jefferson County,Democrat,13.2,325848,181688,138843,55.8,42.6
Alabama,Lamar County,Republican,72.2,7193,978,6174,13.6,85.8
Alabama,Lauderdale County,Republican,44.6,44339,11915,31721,26.9,71.5
