state,fips,county,margin_votes_1,margin_pct_1,absentee_pct_1,absentee_margin_pct_1
AK,901,ED 1,-34,-0.46195652173913043,50.108695652173914,19.685466377440346
AK,910,ED 10,-5354,-47.565742714996446,50.888415067519546,-30.272346368715084
AK,911,ED 11,-3966,-37.113980909601345,55.93299644394535,-20.8465785511126
AK,912,ED 12,-4936,-43.758865248226954,50.85992907801418,-22.938818197664286
AK,913,ED 13,-1986,-25.57630392788152,57.39858338699292,-7.65088624635405
AK,914,ED 14,-2453,-21.267556788624933,62.86630830587827,-3.7098331264653153
AK,915,ED 15,-49,-0.8760951188986232,57.26801358841409,13.487355604121136
AK,916,ED 16,758,9.277845777233782,57.12362301101591,31.433469037925864
AK,917,ED 17,1326,18.23683124742126,61.42208774583964,37.39364084191671
AK,918,ED 18,1921,24.758345147570562,66.40030931821111,40.04270186335404
AK,919,ED 19,1143,21.41251405020607,54.73960284750843,42.71047227926078
AK,902,ED 2,-1570,-25.482876156468105,44.002596981009575,-1.2910365178900776
AK,920,ED 20,2498,33.11240721102863,69.30010604453871,46.84391736801836
AK,921,ED 21,1724,18.181818181818183,61.44273360050622,39.375214555441126
AK,922,ED 22,-131,-1.3650098989267478,55.66322809211212,23.7177087233246
AK,923,ED 23,155,1.9881990764494613,54.22011287839918,24.698367636621718
AK,924,ED 24,-642,-6.123616940099199,58.97558183899275,17.677502830341258
AK,925,ED 25,193,2.0599850571032126,57.209947699861246,28.28358208955224
AK,926,ED 26,-685,-6.728219231902564,59.75837344072291,14.23405654174885
AK,927,ED 27,520,5.455880809988459,58.82908404154863,28.87462100945247
AK,928,ED 28,102,0.7949497311199439,60.93835242771413,22.023276633840645
AK,929,ED 29,-4479,-41.53375370919881,44.75148367952522,-15.810194778284293
AK,903,ED 3,-4173,-49.55468471677948,37.0739817123857,-19.762972453555413
AK,930,ED 30,-4542,-44.41619401525523,50.38138079405437,-24.126552795031056
AK,931,ED 31,-1934,-15.495553240926208,54.09021713003766,13.46467190045919
AK,932,ED 32,-934,-11.170912570266715,48.78603037914125,9.879872517773965
AK,933,ED 33,4476,40.631808278867105,71.08750907770515,55.07598007917252
AK,934,ED 34,1220,11.302575504910136,74.53214748934593,24.673710379117463
AK,935,ED 35,242,2.3844713764902945,57.582027785988764,20.362765229295004
AK,936,ED 36,-1318,-14.124959811381418,39.8671096345515,9.516129032258064
AK,937,ED 37,202,3.9086687306501546,34.46207430340557,14.486243683323975
AK,938,ED 38,1465,27.45502248875562,24.32533733133433,45.45454545454545
AK,939,ED 39,1641,27.672849915682967,18.97133220910624,30.933333333333334
AK,904,ED 4,655,6.186832908283744,53.17842637196562,33.801065719360565
AK,940,ED 40,324,7.00086430423509,24.524632670700086,27.312775330396477
AK,905,ED 5,127,1.4587640707558005,52.07902595910866,29.973533303925894
AK,906,ED 6,-2498,-26.24500945576802,38.758142466904815,-5.502846299810247
AK,907,ED 7,-4812,-49.79304635761589,58.36092715231788,-37.783687943262414
AK,908,ED 8,-5665,-56.8946469820227,44.7926082153259,-37.399103139013455
AK,909,ED 9,-5018,-45.42409703992034,44.86285869466823,-25.040355125100888
AL,001,Autauga,-12335,-44.418437162405475,0,NA
AL,003,Baldwin,-58966,-53.76234283682382,0,NA
AL,005,Barbour,-806,-7.663053812511884,0,NA
AL,007,Bibb,-5539,-57.72798332464826,5.951016154247004,-23.992994746059544
AL,009,Blount,-22071,-80.00217485863419,0,NA
AL,011,Bullock,2300,49.859093865163665,0,NA
AL,013,Butler,-1493,-15.73566610455312,11.09822934232715,17.758784425451093
AL,015,Calhoun,-19885,-39.003197144146085,0,NA
AL,017,Chambers,-2388,-15.6241821512693,0,NA
AL,019,Cherokee,-8959,-72.83147711568165,0,NA
AL,021,Chilton,-13012,-67.38477472812015,0,NA
AL,023,Choctaw,-1169,-15.661843515541264,0,NA
AL,025,Clarke,-1569,-11.945184621240958,0,NA
AL,027,Clay,-4334,-62.53968253968254,8.037518037518037,-35.727109515260324
AL,029,Cleburne,-5809,-80.37913380379133,0,NA
AL,031,Coffee,-11823,-53.07744107744108,0,NA
AL,033,Colbert,-10860,-38.94427311195582,5.414903535824428,17.28476821192053
AL,035,Conecuh,-476,-7.390156807949076,0,NA
AL,037,Coosa,-1835,-33.49151304982661,6.64354809271765,-10.43956043956044
AL,039,Covington,-11865,-68.07228915662651,8.726333907056798,-33.85930309007232
AL,041,Crenshaw,-3164,-47.81623092035666,0,NA
AL,043,Cullman,-32402,-77.42228381639626,0,NA
AL,045,Dale,-9133,-46.27115209241058,0,NA
AL,047,Dallas,6706,37.539184952978054,0,NA
AL,049,DeKalb,-20486,-69.78471181359858,0,NA
AL,051,Elmore,-19797,-48.25006093102608,0,NA
AL,053,Escambia,-5951,-37.40414833438089,0,NA
AL,055,Etowah,-23961,-50.203234998323836,0,NA
AL,057,Fayette,-5905,-67.36253707506275,5.441478439425051,-19.91614255765199
AL,059,Franklin,-8290,-65.90872952774686,0,NA
AL,061,Geneva,-9253,-73.75846950976485,0,NA
AL,063,Greene,3009,63.01570680628272,32.69109947643979,87.70019218449711
AL,065,Hale,1471,18.620253164556964,18.658227848101266,75.91587516960651
AL,067,Henry,-4001,-43.03075930307593,0,NA
AL,069,Houston,-19701,-42.66779286596063,0,NA
AL,071,Jackson,-15953,-67.49449991538332,0,NA
AL,073,Jefferson,42845,13.14876875107412,0,NA
AL,075,Lamar,-5196,-72.23689698317808,6.589740025024329,-48.10126582278481
AL,077,Lauderdale,-19806,-44.66947833735538,0,NA
AL,079,Lawrence,-8760,-54.64412700392989,5.402033559977544,-2.0785219399538106
AL,081,Lee,-14361,-20.099651499671094,0,NA
AL,083,Limestone,-20968,-42.58759012897329,0,NA
AL,085,Lowndes,3136,45.8814923189466,0,NA
AL,087,Macon,5567,63.81978677060644,0,NA
AL,089,Madison,-15494,-7.955146405705278,0,NA
AL,091,Marengo,145,1.3302752293577982,0,NA
AL,093,Marion,-10742,-77.80111537625842,0,NA
AL,095,Marshall,-27248,-68.71264657672425,0,NA
AL,097,Mobile,-21769,-11.884977397305148,0,NA
AL,099,Monroe,-1692,-15.860517435320585,11.77352830896138,41.40127388535032
AL,101,Montgomery,31218,31.489121334691696,0,NA
AL,103,Morgan,-26430,-49.19772160381222,0,NA
AL,105,Perry,2521,48.202676864244744,22.982791586998086,76.12312811980033
AL,107,Pickens,-1572,-16.259826230864707,0,NA
AL,109,Pike,-2406,-17.38313705657106,8.214724369626472,23.482849604221634
AL,111,Randolph,-6356,-58.65091815077974,0,NA
AL,113,Russell,1364,6.395048994326973,0,NA
AL,117,Shelby,-46432,-40.39321444106133,0,NA
AL,115,St. Clair,-28422,-63.954456470376456,0,NA
AL,119,Sumter,3050,48.48195835320299,0,NA
AL,121,Talladega,-9097,-25.508229818018673,33.88385721896643,2.118503806686528
AL,123,Tallapoosa,-9104,-43.37096851031394,0,NA
AL,125,Tuscaloosa,-13352,-14.807257241715831,0,NA
AL,127,Walker,-21168,-67.91145332050048,0,NA
AL,129,Washington,-4306,-48.512843623253715,0,NA
AL,131,Wilcox,2215,37.52329324072505,0,NA
AL,133,Winston,-9221,-81.71747607231478,0,NA
AR,001,Arkansas,-2486,-39.51048951048951,87.90527654164018,-39.992768034713436
AR,003,Ashley,-3423,-43.18697956093868,99.8107494322483,-43.243584881810136
AR,005,Baxter,-11201,-53.32032179749607,85.15256819155519,-50.92799642218247
