state,county,total_votes,dem_votes,gop_votes,winner,margin,dem_vote_share,gop_vote_share,absentee_votes,absentee_vote_share,dem_absentee_votes,gop_absentee_votes,absentee_winner,dem_absentee_vote_share,gop_absentee_vote_share
Montana,Carbon,6067,2680,3209,Republican,8.7,44.2,52.9,0,0.0,0,0,Republican,0,0
Montana,Big Horn,4676,3027,1558,Democrat,31.4,64.7,33.3,0,0.0,0,0,Republican,0,0
Montana,Powell,2760,1026,1641,Republican,22.3,37.2,59.5,0,0.0,0,0,Republican,0,0
Montana,Cascade,34009,17435,15566,Democrat,5.5,51.3,45.8,0,0.0,0,0,Republican,0,0
Montana,Pondera,2685,1176,1413,Republican,8.8,43.8,52.6,0,0.0,0,0,Republican,0,0
Montana,Silver Bow,16312,11672,4246,Democrat,45.6,71.6,26.0,0,0.0,0,0,Republican,0,0
Montana,Prairie,653,177,450,Republican,41.8,27.1,68.9,0,0.0,0,0,Republican,0,0
Montana,Custer,4883,1942,2762,Republican,16.8,39.8,56.6,0,0.0,0,0,Republican,0,0
Montana,Garfield,682,81,571,Republican,71.8,11.9,83.7,0,0.0,0,0,Republican,0,0
Montana,Beaverhead,4897,1876,2866,Republican,20.2,38.3,58.5,0,0.0,0,0,Republican,0,0
Montana,Flathead,47760,19652,26759,Republican,14.9,41.1,56.0,0,0.0,0,0,Republican,0,0
Montana,Teton,3157,1290,1784,Republican,15.6,40.9,56.5,0,0.0,0,0,Republican,0,0
Montana,Yellowstone,69258,32225,34682,Republican,3.6,46.5,50.1,0,0.0,0,0,Republican,0,0
Montana,Sweet Grass,2098,652,1372,Republican,34.3,31.1,65.4,0,0.0,0,0,Republican,0,0
Montana,Hill,6390,3729,2434,Democrat,20.3,58.4,38.1,0,0.0,0,0,Republican,0,0
Montana,Sanders,6154,2071,3856,Republican,29.0,33.7,62.7,0,0.0,0,0,Republican,0,0
Montana,Lewis And Clark,35539,20506,14106,Democrat,18.0,57.7,39.7,0,0.0,0,0,Republican,0,0
Montana,Rosebud,3367,1511,1765,Republican,7.5,44.9,52.4,0,0.0,0,0,Republican,0,0
