test_data,ddhq_id,year,office_type,state,county,district,fips,dem_name,rep_name,ind_name,green_name,percent_precincts_reporting,dem_votes,rep_votes,ind_votes,green_votes,dem_votes_percent,rep_votes_percent,ind_votes_percent,green_votes_percent,margin_votes,margin_percent,absentee_percent,absentee_margin
,,2020,Senate,IA,Fremont,0,19071,,,,,100,1099,2563,146,,28.9,67.3,3.8,,-1464,-38.4,53.3,-0.6
,,2020,Senate,IA,Grundy,0,19075,,,,,100,2120,4900,197,,29.4,67.9,2.7,,-2780,-38.5,46.1,-0.6
,,2020,Senate,IA,Marion,0,19125,,,,,100,6269,12211,582,,32.9,64.1,3.1,,-5942,-31.2,53.0,-0.5
,,2020,Senate,IA,Clinton,0,19045,,,,,100,10942,12559,850,,44.9,51.6,3.5,,-1617,-6.7,64.7,-0.4
,,2020,Senate,IA,Wayne,0,19185,,,,,100,784,2186,85,,25.7,71.6,2.8,,-1402,-45.9,51.8,-0.6
,,2020,Senate,IA,Muscatine,0,19139,,,,,100,9381,10278,782,,45.9,50.3,3.8,,-897,-4.4,58.4,-0.4
,,2020,Senate,IA,Appanoose,0,19007,,,,,100,1956,4189,241,,30.6,65.6,3.8,,-2233,-35.0,49.3,-0.5
,,2020,Senate,IA,Hancock,0,19081,,,,,100,1881,4004,195,,30.9,65.9,3.2,,-2123,-35.0,47.0,-0.6
,,2020,Senate,IA,Warren,0,19181,,,,,100,12478,17276,949,,40.6,56.3,3.1,,-4798,-15.7,56.6,-0.4
,,2020,Senate,IA,Jasper,0,19099,,,,,100,7905,11405,716,,39.5,57.0,3.6,,-3500,-17.5,54.0,-0.4
,,2020,Senate,IA,Howard,0,19089,,,,,100,2014,2716,176,,41.1,55.4,3.6,,-702,-14.3,51.1,-0.4
,,2020,Senate,IA,Jackson,0,19097,,,,,100,4249,6175,489,,38.9,56.6,4.5,,-1926,-17.7,56.1,-0.5
,,2020,Senate,IA,Plymouth,0,19149,,,,,100,3587,10145,307,,25.6,72.3,2.2,,-6558,-46.7,53.8,-0.7
,,2020,Senate,IA,Hardin,0,19083,,,,,100,2920,5639,280,,33.0,63.8,3.2,,-2719,-30.8,54.2,-0.5
,,2020,Senate,IA,Sioux,0,19167,,,,,100,2828,15785,282,,15.0,83.5,1.5,,-12957,-68.5,43.9,-0.8
,,2020,Senate,IA,Clay,0,19041,,,,,100,2861,5716,291,,32.3,64.5,3.3,,-2855,-32.2,63.2,-0.6
,,2020,Senate,IA,Harrison,0,19085,,,,,100,2574,5059,385,,32.1,63.1,4.8,,-2485,-31.0,48.9,-0.5
,,2020,Senate,IA,Story,0,19169,,,,,100,28216,20750,1547,,55.9,41.1,3.1,,7466,14.8,59.6,-0.3
,,2020,Senate,IA,Guthrie,0,19077,,,,,100,2000,4103,223,,31.6,64.9,3.5,,-2103,-33.3,52.3,-0.5
,,2020,Senate,IA,Emmet,0,19063,,,,,100,1637,2965,195,,34.1,61.8,4.1,,-1328,-27.7,53.8,-0.5
,,2020,Senate,IA,Shelby,0,19165,,,,,100,1989,4489,216,,29.7,67.1,3.2,,-2500,-37.4,62.9,-0.6
,,2020,Senate,IA,Butler,0,19023,,,,,100,2474,5291,244,,30.9,66.1,3.0,,-2817,-35.2,51.7,-0.6
,,2020,Senate,IA,Winnebago,0,19189,,,,,100,2361,3336,229,,39.8,56.3,3.9,,-975,-16.5,49.5,-0.4
,,2020,Senate,IA,Crawford,0,19047,,,,,100,2336,4424,249,,33.3,63.1,3.6,,-2088,-29.8,58.0,-0.6
,,2020,Senate,IA,Wright,0,19197,,,,,100,2063,3889,236,,33.3,62.8,3.8,,-1826,-29.5,53.6,-0.6
,,2020,Senate,IA,Fayette,0,19065,,,,,100,3912,5865,325,,38.7,58.1,3.2,,-1953,-19.4,53.2,-0.5
,,2020,Senate,IA,Clarke,0,19039,,,,,100,1520,2906,183,,33.0,63.1,4.0,,-1386,-30.1,54.8,-0.5
,,2020,Senate,IA,Lyon,0,19119,,,,,100,1073,5522,156,,15.9,81.8,2.3,,-4449,-65.9,48.7,-0.8
,,2020,Senate,IA,Boone,0,19015,,,,,100,6316,8315,559,,41.6,54.7,3.7,,-1999,-13.1,61.9,-0.4
,,2020,Senate,IA,Dubuque,0,19061,,,,,100,25433,26034,1613,,47.9,49.0,3.0,,-601,-1.1,63.8,-0.4
,,2020,Senate,IA,Greene,0,19073,,,,,100,1784,3063,145,,35.7,61.4,2.9,,-1279,-25.7,62.4,-0.5
,,2020,Senate,IA,Tama,0,19171,,,,,100,3588,5090,292,,40.0,56.7,3.3,,-1502,-16.7,43.8,-0.5
,,2020,Senate,IA,Polk,0,19153,,,,,100,142328,106443,7486,,55.5,41.5,2.9,,35885,14.0,54.6,-0.3
,,2020,Senate,IA,Webster,0,19187,,,,,100,6845,10195,595,,38.8,57.8,3.4,,-3350,-19.0,56.7,-0.5
,,2020,Senate,IA,Clayton,0,19043,,,,,100,3434,5845,245,,36.1,61.4,2.6,,-2411,-25.3,49.3,-0.5
