test_data,ddhq_id,year,office_type,state,county,district,fips,x_name,percent_precincts_reporting,x_votes,x_votes_percent,margin_votes,margin_percent,absentee_percent,absentee_margin
,,2022,Senate,UT,Daggett,0,49009,[],100,"[0, 377]","[0.0, 75.7]",-377,-75.7,100.0,-0.8
,,2022,Senate,UT,Tooele,0,49045,[],100,"[0, 13371]","[0.0, 60.6]",-13371,-60.6,100.0,-0.6
,,2022,Senate,UT,Morgan,0,49029,[],100,"[0, 3665]","[0.0, 71.1]",-3665,-71.1,100.0,-0.7
,,2022,Senate,UT,Emery,0,49015,[],100,"[0, 3269]","[0.0, 79.6]",-3269,-79.6,100.0,-0.8
,,2022,Senate,UT,Rich,0,49033,[],100,"[0, 844]","[0.0, 78.7]",-844,-78.7,100.0,-0.8
,,2022,Senate,UT,Iron,0,49021,[],100,"[0, 12923]","[0.0, 74.7]",-12923,-74.7,100.0,-0.7
,,2022,Senate,UT,Uintah,0,49047,[],100,"[0, 8905]","[0.0, 82.2]",-8905,-82.2,100.0,-0.8
,,2022,Senate,UT,Cache,0,49005,[],100,"[0, 24588]","[0.0, 58.6]",-24588,-58.6,100.0,-0.6
,,2022,Senate,UT,Millard,0,49027,[],100,"[0, 4279]","[0.0, 83.4]",-4279,-83.4,100.0,-0.8
,,2022,Senate,UT,Beaver,0,49001,[],100,"[0, 1971]","[0.0, 80.5]",-1971,-80.5,100.0,-0.8
,,2022,Senate,UT,San Juan,0,49037,[],100,"[0, 3118]","[0.0, 56.1]",-3118,-56.1,100.0,-0.6
,,2022,Senate,UT,Box Elder,0,49003,[],100,"[0, 14434]","[0.0, 72.5]",-14434,-72.5,100.0,-0.7
,,2022,Senate,UT,Summit,0,49043,[],100,"[0, 7305]","[0.0, 35.9]",-7305,-35.9,100.0,-0.4
,,2022,Senate,UT,Sevier,0,49041,[],100,"[0, 6411]","[0.0, 82.5]",-6411,-82.5,100.0,-0.8
,,2022,Senate,UT,Juab,0,49023,[],100,"[0, 3886]","[0.0, 82.1]",-3886,-82.1,100.0,-0.8
,,2022,Senate,UT,Grand,0,49019,[],100,"[0, 1901]","[0.0, 40.9]",-1901,-40.9,100.0,-0.4
,,2022,Senate,UT,Wasatch,0,49051,[],100,"[0, 7528]","[0.0, 55.9]",-7528,-55.9,100.0,-0.6
,,2022,Senate,UT,Garfield,0,49017,[],100,"[0, 1795]","[0.0, 75.3]",-1795,-75.3,100.0,-0.8
,,2022,Senate,UT,Wayne,0,49055,[],100,"[0, 1056]","[0.0, 69.7]",-1056,-69.7,100.0,-0.7
,,2022,Senate,UT,Sanpete,0,49039,[],100,"[0, 7829]","[0.0, 78.3]",-7829,-78.3,100.0,-0.8
,,2022,Senate,UT,Piute,0,49031,[],100,"[0, 692]","[0.0, 88.4]",-692,-88.4,100.0,-0.9
,,2022,Senate,UT,Duchesne,0,49013,[],100,"[0, 5170]","[0.0, 82.3]",-5170,-82.3,100.0,-0.8
,,2022,Senate,UT,Washington,0,49053,[],100,"[0, 49420]","[0.0, 71.1]",-49420,-71.1,100.0,-0.7
,,2022,Senate,UT,Utah,0,49049,[],100,"[0, 127096]","[0.0, 61.7]",-127096,-61.7,100.0,-0.6
,,2022,Senate,UT,Weber,0,49057,[],100,"[0, 42007]","[0.0, 54.5]",-42007,-54.5,100.0,-0.5
,,2022,Senate,UT,Carbon,0,49007,[],100,"[0, 4265]","[0.0, 63.4]",-4265,-63.4,100.0,-0.6
,,2022,Senate,UT,Kane,0,49025,[],100,"[0, 2553]","[0.0, 69.8]",-2553,-69.8,100.0,-0.7
,,2022,Senate,UT,Davis,0,49011,[],100,"[0, 66385]","[0.0, 53.6]",-66385,-53.6,100.0,-0.5
,,2022,Senate,UT,Salt Lake,0,49035,[],100,"[0, 144931]","[0.0, 38.0]",-144931,-38.0,100.0,-0.4
,,2022,Senate,VT,,0,,[],100,"[196575, 80468]","[68.4, 28.0]",116107,40.4,100.0,-0.3
,,2022,Senate,MD,Frederick,0,24021,[],100,"[0, 47406]","[0.0, 44.6]",-47406,-44.6,100.0,-0.4
,,2022,Senate,MD,Howard,0,24027,[],100,"[0, 37617]","[0.0, 28.9]",-37617,-28.9,100.0,-0.3
,,2022,Senate,MD,Harford,0,24025,[],100,"[0, 57713]","[0.0, 56.0]",-57713,-56.0,100.0,-0.6
,,2022,Senate,MD,Worcester,0,24047,[],100,"[0, 14481]","[0.0, 60.8]",-14481,-60.8,100.0,-0.6
,,2022,Senate,MD,Montgomery,0,24031,[],100,"[0, 65956]","[0.0, 19.2]",-65956,-19.2,100.0,-0.2
,,2022,Senate,MD,Queen Anne'S,0,24035,[],100,"[0, 14064]","[0.0, 61.7]",-14064,-61.7,100.0,-0.6
,,2022,Senate,MD,Washington,0,24043,[],100,"[0, 29072]","[0.0, 59.9]",-29072,-59.9,100.0,-0.6
,,2022,Senate,MD,Charles,0,24017,[],100,"[0, 16207]","[0.0, 29.7]",-16207,-29.7,100.0,-0.3
,,2022,Senate,MD,Talbot,0,24041,[],100,"[0, 8548]","[0.0, 48.6]",-8548,-48.6,100.0,-0.5
,,2022,Senate,MD,Somerset,0,24039,[],100,"[0, 4146]","[0.0, 60.9]",-4146,-60.9,100.0,-0.6
,,2022,Senate,MD,Calvert,0,24009,[],100,"[0, 20382]","[0.0, 54.5]",-20382,-54.5,100.0,-0.5
,,2022,Senate,MD,Baltimore,0,24005,[],100,"[0, 97307]","[0.0, 35.6]",-97307,-35.6,100.0,-0.4
,,2022,Senate,MD,Cecil,0,24015,[],100,"[0, 20725]","[0.0, 63.0]",-20725,-63.0,100.0,-0.6
,,2022,Senate,MD,Carroll,0,24013,[],100,"[0, 43761]","[0.0, 61.1]",-43761,-61.1,100.0,-0.6
,,2022,Senate,MD,Caroline,0,24011,[],100,"[0, 7054]","[0.0, 66.2]",-7054,-66.2,100.0,-0.7
,,2022,Senate,MD,Dorchester,0,24019,[],100,"[0, 6511]","[0.0, 56.8]",-6511,-56.8,100.0,-0.6
,,2022,Senate,MD,Prince George'S,0,24033,[],100,"[0, 21127]","[0.0, 8.8]",-21127,-8.8,100.0,-0.1
,,2022,Senate,MD,Kent,0,24029,[],100,"[0, 3950]","[0.0, 46.9]",-3950,-46.9,100.0,-0.5
,,2022,Senate,MD,St. Mary'S,0,24037,[],100,"[0, 21869]","[0.0, 58.2]",-21869,-58.2,100.0,-0.6
,,2022,Senate,MD,Allegany,0,24001,[],100,"[0, 14326]","[0.0, 66.4]",-14326,-66.4,100.0,-0.7
,,2022,Senate,MD,Garrett,0,24023,[],100,"[0, 8647]","[0.0, 76.8]",-8647,-76.8,100.0,-0.8
,,2022,Senate,MD,Anne Arundel,0,24003,[],100,"[0, 91471]","[0.0, 42.4]",-91471,-42.4,100.0,-0.4
,,2022,Senate,MD,Baltimore City,0,24510,[],100,"[0, 13849]","[0.0, 9.7]",-13849,-9.7,100.0,-0.1
,,2022,Senate,MD,Wicomico,0,24045,[],100,"[0, 16104]","[0.0, 52.9]",-16104,-52.9,100.0,-0.5
,,2022,Senate,WI,Dodge,0,55027,[],100,"[12830, 25914]","[33.1, 66.9]",-13084,-33.8,100.0,-0.7
,,2022,Senate,WI,Dane,0,55025,[],100,"[231818, 68228]","[77.1, 22.7]",163590,54.4,100.0,-0.2
,,2022,Senate,WI,Green Lake,0,55047,[],100,"[2626, 6061]","[30.2, 69.7]",-3435,-39.5,100.0,-0.7
,,2022,Senate,WI,Brown,0,55009,[],100,"[51421, 62221]","[45.2, 54.6]",-10800,-9.4,100.0,-0.5
,,2022,Senate,WI,Lafayette,0,55065,[],100,"[2787, 3779]","[42.4, 57.6]",-992,-15.2,100.0,-0.6
,,2022,Senate,WI,Shawano,0,55115,[],100,"[5495, 12415]","[30.7, 69.3]",-6920,-38.6,100.0,-0.7
,,2022,Senate,WI,Manitowoc,0,55071,[],100,"[13288, 22561]","[37.0, 62.8]",-9273,-25.8,100.0,-0.6
,,2022,Senate,WI,Langlade,0,55067,[],100,"[2818, 6190]","[31.3, 68.7]",-3372,-37.4,100.0,-0.7
,,2022,Senate,WI,Green,0,55045,[],100,"[9097, 8350]","[52.0, 47.8]",747,4.2,100.0,-0.5
,,2022,Senate,WI,Door,0,55029,[],100,"[8611, 8685]","[49.7, 50.1]",-74,-0.4,100.0,-0.5
,,2022,Senate,WI,Taylor,0,55119,[],100,"[2130, 6527]","[24.6, 75.4]",-4397,-50.8,100.0,-0.8
,,2022,Senate,WI,Kenosha,0,55059,[],100,"[31371, 34393]","[47.6, 52.2]",-3022,-4.6,100.0,-0.5
,,2022,Senate,WI,Monroe,0,55081,[],100,"[6461, 10801]","[37.3, 62.4]",-4340,-25.1,100.0,-0.6
,,2022,Senate,WI,Trempealeau,0,55121,[],100,"[4920, 7322]","[40.1, 59.7]",-2402,-19.6,100.0,-0.6
,,2022,Senate,WI,Grant,0,55043,[],100,"[8671, 11397]","[43.1, 56.7]",-2726,-13.6,100.0,-0.6
