state,President,Senate,Governor
US,https://embed.polymarket.com/market.html?market=will-kamala-harris-win-the-2024-us-presidential-election&features=volume&theme=light,https://embed.polymarket.com/market.html?market=which-party-will-control-the-us-senate-after-the-2024-election&features=volume&theme=light,nan
AL,https://embed.polymarket.com/market.html?market=will-a-republican-win-alabama-in-the-2024-us-presidential-election&features=volume&theme=light,nan,nan
AK,https://embed.polymarket.com/market.html?market=will-a-republican-win-alaska-in-the-2024-us-presidential-election&features=volume&theme=light,nan,nan
AZ,https://embed.polymarket.com/market.html?market=will-a-republican-win-arizona-presidential-election&features=volume&theme=light,https://embed.polymarket.com/market.html?market=will-a-democrat-win-arizona-us-senate-election&features=volume&theme=light,nan
AR,https://embed.polymarket.com/market.html?market=will-a-republican-win-arkansas-in-the-2024-us-presidential-election&features=volume&theme=light,nan,nan
CA,https://embed.polymarket.com/market.html?market=will-a-democrat-win-california-in-the-2024-us-presidential-election&features=volume&theme=light,https://embed.polymarket.com/market.html?market=will-a-democrat-win-california-us-senate-election&features=volume&theme=light,nan
CO,https://embed.polymarket.com/market.html?market=will-a-democrat-win-colorado-in-the-2024-us-presidential-election&features=volume&theme=light,nan,nan
CT,https://embed.polymarket.com/market.html?market=will-a-democrat-win-connecticut-in-the-2024-us-presidential-election&features=volume&theme=light,https://embed.polymarket.com/market.html?market=will-a-democrat-win-connecticut-us-senate-election&features=volume&theme=light,nan
DE,https://embed.polymarket.com/market.html?market=will-a-democrat-win-delaware-presidential-election&features=volume&theme=light,https://embed.polymarket.com/market.html?market=will-a-democrat-win-delaware-us-senate-election&features=volume&theme=light,https://embed.polymarket.com/market.html?market=will-a-democrat-win-delaware-governor-election&features=volume&theme=light
FL,https://embed.polymarket.com/market.html?market=will-a-republican-win-florida-in-the-2024-us-presidential-election&features=volume&theme=light,https://embed.polymarket.com/market.html?market=will-a-republican-win-florida-us-senate-election&features=volume&theme=light,nan
GA,https://embed.polymarket.com/market.html?market=will-a-republican-win-georgia-presidential-election&features=volume&theme=light,nan,nan
HI,https://embed.polymarket.com/market.html?market=will-a-democrat-win-hawaii-in-the-2024-us-presidential-election&features=volume&theme=light,https://embed.polymarket.com/market.html?market=will-a-democrat-win-hawaii-us-senate-election&features=volume&theme=light,nan
ID,https://embed.polymarket.com/market.html?market=will-a-republican-win-idaho-in-the-2024-us-presidential-election&features=volume&theme=light,nan,nan
IL,https://embed.polymarket.com/market.html?market=will-a-democrat-win-illinois-in-the-2024-us-presidential-election&features=volume&theme=light,nan,nan
IN,https://embed.polymarket.com/market.html?market=will-a-republican-win-indiana-in-the-2024-us-presidential-election&features=volume&theme=light,https://embed.polymarket.com/market.html?market=will-a-republican-win-indiana-us-senate-election&features=volume&theme=light,https://embed.polymarket.com/market.html?market=will-a-republican-win-indiana-governor-election&features=volume&theme=light
IA,https://embed.polymarket.com/market.html?market=will-a-republican-win-iowa-in-the-2024-us-presidential-election&features=volume&theme=light,nan,nan
KS,https://embed.polymarket.com/market.html?market=will-a-republican-win-kansas-in-the-2024-us-presidential-election&features=volume&theme=light,nan,nan
KY,https://embed.polymarket.com/market.html?market=will-a-republican-win-kentucky-in-the-2024-us-presidential-election&features=volume&theme=light,nan,nan
LA,https://embed.polymarket.com/market.html?market=will-a-republican-win-louisiana-in-the-2024-us-presidential-election&features=volume&theme=light,nan,nan
ME,https://embed.polymarket.com/market.html?market=will-a-democrat-win-maine-in-the-2024-us-presidential-election&features=volume&theme=light,nan,nan
MD,https://embed.polymarket.com/market.html?market=will-a-democrat-win-maryland-in-the-2024-us-presidential-election&features=volume&theme=light,https://embed.polymarket.com/market.html?market=will-a-democrat-win-maryland-us-senate-election&features=volume&theme=light,nan
MA,https://embed.polymarket.com/market.html?market=will-a-democrat-win-massachusetts-in-the-2024-us-presidential-election&features=volume&theme=light,https://embed.polymarket.com/market.html?market=will-a-democrat-win-massachusetts-us-senate-election&features=volume&theme=light,nan
MI,https://embed.polymarket.com/market.html?market=will-a-democrat-win-michigan-presidential-election&features=volume&theme=light,https://embed.polymarket.com/market.html?market=will-a-democrat-win-michigan-us-senate-election&features=volume&theme=light,nan
