office_type,district,state,county,fips,margin_pct_1,margin_votes_1,margin_pct_2,margin_votes_2
President,0,AL,Autauga,001,-44.418437162405475,-12335,-49.47893434978306,-12202
President,0,AL,Baldwin,003,-53.76234283682382,-58966,-57.78616218514188,-54371
President,0,AL,Barbour,005,-7.663053812511884,-806,-5.6111645813282,-583
President,0,AL,Bibb,007,-57.72798332464826,-5539,-55.544124371284866,-4859
President,0,AL,Blount,009,-80.00217485863419,-22071,-81.38197289631263,-20658
President,0,AL,Bullock,011,49.859093865163665,2300,50.86151882578175,2391
President,0,AL,Butler,013,-15.73566610455312,-1493,-13.529073114565342,-1175
President,0,AL,Calhoun,015,-39.003197144146085,-19885,-41.3838230327592,-19606
President,0,AL,Chambers,017,-15.6241821512693,-2388,-14.806212803019307,-2040
President,0,AL,Cherokee,019,-72.83147711568165,-8959,-69.36113491383415,-7285
President,0,AL,Chilton,021,-67.38477472812015,-13012,-66.60640920295809,-12159
President,0,AL,Choctaw,023,-15.661843515541264,-1169,-13.662630709961475,-993
President,0,AL,Clarke,025,-11.945184621240958,-1569,-10.799319727891156,-1397
President,0,AL,Clay,027,-62.53968253968254,-4334,-60.80340839926963,-3996
President,0,AL,Cleburne,029,-80.37913380379133,-5809,-77.37293325168402,-5054
President,0,AL,Coffee,031,-53.07744107744108,-11823,-56.70062886949739,-11631
President,0,AL,Colbert,033,-38.94427311195582,-10860,-38.26037521318931,-9422
President,0,AL,Conecuh,035,-7.390156807949076,-476,-5.2575271282286415,-344
President,0,AL,Coosa,037,-33.49151304982661,-1835,-30.557151062607698,-1596
President,0,AL,Covington,039,-68.07228915662651,-11865,-68.54848906309267,-10843
President,0,AL,Crenshaw,041,-47.81623092035666,-3164,-45.553422904670505,-2848
President,0,AL,Cullman,043,-77.42228381639626,-32402,-77.80460325124739,-29004
President,0,AL,Dale,045,-46.27115209241058,-9133,-50.437771928882206,-9390
President,0,AL,Dallas,047,37.539184952978054,6706,37.597437266417515,7042
President,0,AL,DeKalb,049,-69.78471181359858,-20486,-69.37437706049222,-18097
President,0,AL,Elmore,051,-48.25006093102608,-19797,-51.97940658447365,-19183
President,0,AL,Escambia,053,-37.40414833438089,-5951,-36.70544928679419,-5584
President,0,AL,Etowah,055,-50.203234998323836,-23961,-50.103510143994114,-21782
President,0,AL,Fayette,057,-67.36253707506275,-5905,-65.23914104441191,-5347
