"fips_code","county","state","total_pop_2020","percent_one_race","percent_white_alone","percent_black_alone","percent_indigenous_alone","percent_asian_alone","percent_pacific_alone","percent_other_alone","percent_multiracial","pop_hispanic_latino","median_household_income","hs_degree_over_25","bachelors_degree_over_25","county_pop_rank"
"01001","Autauga","Alabama",58805,"94.63%","71.69%","19.46%","0.37%","1.50%","0.06%","1.55%","5.37%","3.60%",57982,"88.70%","28.30%",24
"01003","Baldwin","Alabama",231767,"93.52%","81.72%","7.86%","0.68%","0.89%","0.06%","2.30%","6.48%","5.47%",61756,"90.50%","31.90%",4
"01005","Barbour","Alabama",25223,"97.22%","44.87%","47.31%","0.46%","0.46%","0.00%","4.12%","2.78%","5.99%",34990,"74.70%","11.60%",40
"01007","Bibb","Alabama",22293,"96.60%","74.26%","19.80%","0.27%","0.14%","0.04%","2.09%","3.40%","3.32%",51721,"80.90%","11.30%",44
"01009","Blount","Alabama",59134,"93.82%","85.67%","1.43%","0.57%","0.30%","0.04%","5.80%","6.18%","9.76%",48922,"82.80%","13.30%",23
"01011","Bullock","Alabama",10357,"97.61%","22.40%","71.41%","0.70%","0.09%","0.10%","2.92%","2.39%","4.86%",33866,"74.90%","10.30%",64
"01013","Butler","Alabama",19051,"96.92%","51.19%","44.25%","0.15%","0.75%","0.03%","0.55%","3.08%","1.36%",44850,"86.40%","16.00%",50
"01015","Calhoun","Alabama",116441,"94.82%","69.21%","21.95%","0.42%","1.02%","0.10%","2.12%","5.18%","4.30%",50128,"85.10%","18.90%",10
"01017","Chambers","Alabama",34772,"96.52%","54.21%","38.86%","0.30%","1.15%","0.04%","1.96%","3.48%","3.56%",43875,"82.60%","14.40%",34
"01019","Cherokee","Alabama",24971,"96.32%","90.93%","3.95%","0.44%","0.22%","0.00%","0.76%","3.68%","1.60%",42509,"82.80%","12.90%",41
"01021","Chilton","Alabama",45014,"95.55%","78.92%","9.03%","0.75%","0.40%","0.01%","6.42%","4.45%","9.81%",52141,"81.80%","13.60%",29
"01023","Choctaw","Alabama",12665,"97.95%","55.85%","41.31%","0.24%","0.17%","0.00%","0.37%","2.05%","0.89%",36634,"82.70%","13.50%",59
"01025","Clarke","Alabama",23087,"97.61%","52.10%","44.42%","0.32%","0.41%","0.00%","0.36%","2.39%","0.89%",37345,"82.60%","13.80%",43
"01027","Clay","Alabama",14236,"95.82%","79.90%","13.79%","0.39%","0.34%","0.03%","1.37%","4.18%","3.15%",42678,"81.30%","11.80%",56
"01029","Cleburne","Alabama",15056,"96.24%","91.78%","3.10%","0.35%","0.14%","0.01%","0.86%","3.76%","1.89%",46320,"82.20%","16.00%",54
"01031","Coffee","Alabama",53465,"92.32%","69.35%","16.38%","1.20%","1.70%","0.11%","3.57%","7.68%","9.14%",56799,"85.60%","21.70%",26
"01033","Colbert","Alabama",57227,"95.29%","76.24%","16.23%","0.47%","0.75%","0.02%","1.58%","4.71%","3.03%",47962,"85.70%","17.40%",25
"01035","Conecuh","Alabama",11597,"96.82%","50.98%","44.01%","0.62%","0.34%","0.01%","0.85%","3.18%","2.21%",35444,"85.00%","13.80%",61
"01037","Coosa","Alabama",10387,"96.59%","65.70%","28.96%","0.30%","0.08%","0.00%","1.56%","3.41%","1.94%",43571,"83.20%","11.60%",63
"01039","Covington","Alabama",37570,"96.16%","82.19%","12.26%","0.39%","0.64%","0.00%","0.68%","3.84%","1.74%",42566,"85.30%","15.60%",32
"01041","Crenshaw","Alabama",13194,"96.37%","71.15%","23.52%","0.47%","0.63%","0.02%","0.58%","3.63%","1.42%",42611,"78.80%","18.50%",58
"01043","Cullman","Alabama",87866,"94.70%","90.07%","1.07%","0.46%","0.59%","0.07%","2.43%","5.30%","4.72%",48388,"82.30%","15.40%",18
"01045","Dale","Alabama",49326,"93.07%","67.77%","20.76%","0.55%","1.36%","0.11%","2.52%","6.93%","6.60%",45644,"85.30%","18.20%",28
"01047","Dallas","Alabama",38462,"97.90%","27.06%","69.94%","0.17%","0.38%","0.04%","0.31%","2.10%","0.77%",33317,"83.90%","16.60%",31
"01049","DeKalb","Alabama",71608,"93.43%","78.79%","1.46%","2.78%","0.35%","0.03%","10.01%","6.57%","16.40%",42267,"78.00%","14.00%",20
"01051","Elmore","Alabama",87977,"95.18%","71.77%","20.70%","0.38%","0.77%","0.04%","1.53%","4.82%","3.17%",62324,"87.30%","25.80%",17
"01053","Escambia","Alabama",36757,"95.62%","60.40%","29.90%","4.19%","0.31%","0.06%","0.76%","4.38%","2.04%",35558,"80.40%","12.50%",33
"01055","Etowah","Alabama",103436,"94.92%","75.97%","14.64%","0.71%","0.90%","0.05%","2.64%","5.08%","4.73%",44934,"85.30%","17.70%",13
"01057","Fayette","Alabama",16321,"96.04%","83.73%","10.64%","0.44%","0.31%","0.04%","0.88%","3.96%","2.43%",41469,"84.20%","12.30%",52
"01059","Franklin","Alabama",32113,"95.04%","75.77%","3.63%","2.03%","0.21%","0.03%","13.37%","4.96%","19.49%",41174,"78.70%","15.00%",37
"01061","Geneva","Alabama",26659,"94.30%","82.82%","8.41%","0.68%","0.33%","0.03%","2.04%","5.70%","4.86%",41569,"81.80%","13.10%",39
"01063","Greene","Alabama",7730,"98.21%","16.83%","80.80%","0.06%","0.09%","0.00%","0.43%","1.79%","0.79%",26688,"80.90%","10.10%",67
"01065","Hale","Alabama",14785,"97.94%","40.57%","56.39%","0.26%","0.17%","0.10%","0.45%","2.06%","1.01%",30793,"80.70%","15.60%",55
"01067","Henry","Alabama",17146,"96.02%","69.33%","24.78%","0.29%","0.43%","0.02%","1.17%","3.98%","1.95%",51715,"80.50%","18.90%",51
"01069","Houston","Alabama",107202,"94.78%","64.61%","26.50%","0.46%","1.20%","0.06%","1.96%","5.22%","4.18%",49069,"86.90%","22.10%",11
"01071","Jackson","Alabama",52579,"93.24%","86.50%","3.11%","1.46%","0.41%","0.01%","1.75%","6.76%","3.20%",42578,"83.50%","16.20%",27
"01073","Jefferson","Alabama",674721,"95.71%","48.85%","41.70%","0.34%","1.94%","0.05%","2.83%","4.29%","5.17%",55088,"90.50%","34.10%",1
"01075","Lamar","Alabama",13972,"96.84%","85.61%","10.20%","0.25%","0.04%","0.04%","0.69%","3.16%","1.49%",42688,"83.00%","11.30%",57
"01077","Lauderdale","Alabama",93564,"95.24%","82.45%","9.88%","0.39%","0.82%","0.03%","1.66%","4.76%","3.29%",48428,"88.60%","25.10%",15
"01079","Lawrence","Alabama",33073,"91.31%","75.33%","9.99%","4.38%","0.26%","0.02%","1.32%","8.69%","2.71%",47125,"80.80%","15.80%",35
"01081","Lee","Alabama",174241,"94.71%","64.08%","22.71%","0.41%","4.92%","0.07%","2.52%","5.29%","5.24%",52930,"90.40%","36.40%",8
"01083","Limestone","Alabama",103570,"93.55%","74.41%","12.85%","0.68%","1.80%","0.07%","3.73%","6.45%","7.00%",64270,"85.30%","24.90%",12
"01085","Lowndes","Alabama",10311,"97.82%","27.33%","69.75%","0.16%","0.15%","0.05%","0.38%","2.18%","1.36%",33634,"82.20%","14.70%",65
"01087","Macon","Alabama",19532,"97.44%","16.65%","79.05%","0.25%","0.38%","0.02%","1.09%","2.56%","1.85%",35450,"83.60%","20.50%",47
"01089","Madison","Alabama",388153,"92.43%","62.48%","23.72%","0.77%","2.65%","0.12%","2.69%","7.57%","6.42%",66887,"91.70%","43.80%",3
"01091","Marengo","Alabama",19323,"97.81%","43.62%","52.72%","0.05%","0.28%","0.02%","1.13%","2.19%","1.90%",33029,"85.40%","17.10%",48
"01093","Marion","Alabama",29341,"95.53%","89.68%","3.77%","0.36%","0.26%","0.05%","1.41%","4.47%","2.94%",40978,"81.10%","13.30%",38
"01095","Marshall","Alabama",97612,"93.31%","78.81%","2.49%","1.43%","0.62%","0.14%","9.82%","6.69%","16.04%",50216,"83.30%","20.70%",14
"01097","Mobile","Alabama",414809,"95.15%","55.34%","35.26%","0.98%","2.07%","0.06%","1.45%","4.85%","3.24%",49625,"87.30%","24.40%",2
"01099","Monroe","Alabama",19772,"96.85%","52.55%","41.97%","1.46%","0.45%","0.02%","0.40%","3.15%","1.05%",31969,"83.50%","13.50%",46
"01101","Montgomery","Alabama",228954,"96.42%","32.79%","56.98%","0.35%","3.49%","0.06%","2.74%","3.58%","4.67%",51963,"87.30%","33.70%",5
"01103","Morgan","Alabama",123421,"93.32%","72.81%","12.52%","0.77%","0.69%","0.07%","6.46%","6.68%","10.03%",52923,"84.00%","21.30%",9
"01105","Perry","Alabama",8511,"97.93%","27.72%","69.75%","0.19%","0.12%","0.04%","0.13%","2.07%","1.05%",23875,"78.40%","17.80%",66
"01107","Pickens","Alabama",19123,"97.39%","56.16%","39.16%","0.14%","0.41%","0.00%","1.52%","2.61%","5.51%",40362,"82.90%","14.40%",49
"01109","Pike","Alabama",33009,"95.89%","55.36%","36.77%","0.58%","1.78%","0.06%","1.33%","4.11%","2.74%",39218,"87.40%","29.60%",36
"01111","Randolph","Alabama",21967,"96.16%","76.35%","17.37%","0.35%","0.40%","0.01%","1.68%","3.84%","2.75%",45141,"81.90%","17.10%",45
"01113","Russell","Alabama",59183,"94.24%","46.52%","44.34%","0.39%","0.71%","0.24%","2.05%","5.76%","5.40%",42208,"85.30%","17.50%",22
"01115","St. Clair","Alabama",91103,"94.89%","83.12%","9.50%","0.36%","0.73%","0.02%","1.17%","5.11%","2.83%",62531,"85.80%","18.10%",16
"01117","Shelby","Alabama",223024,"93.91%","74.08%","12.98%","0.51%","2.31%","0.05%","3.99%","6.09%","7.38%",78889,"93.20%","44.20%",7
"01119","Sumter","Alabama",12345,"98.27%","24.09%","72.88%","0.21%","0.83%","0.04%","0.22%","1.73%","1.06%",26150,"85.30%","18.40%",60
"01121","Talladega","Alabama",82149,"96.46%","62.34%","32.18%","0.25%","0.48%","0.03%","1.16%","3.54%","2.17%",43969,"81.80%","15.30%",19
"01123","Tallapoosa","Alabama",41311,"96.61%","68.93%","25.20%","0.31%","0.54%","0.00%","1.64%","3.39%","2.77%",48160,"81.20%","18.80%",30
"01125","Tuscaloosa","Alabama",227036,"95.27%","60.16%","30.43%","0.42%","1.43%","0.05%","2.78%","4.73%","5.42%",54283,"89.50%","31.10%",6
"01127","Walker","Alabama",65342,"95.82%","87.25%","6.01%","0.49%","0.45%","0.01%","1.60%","4.18%","3.29%",45833,"81.70%","13.40%",21
"01129","Washington","Alabama",15388,"96.28%","66.99%","21.56%","7.24%","0.09%","0.05%","0.35%","3.72%","0.90%",42331,"85.90%","14.40%",53
"01131","Wilcox","Alabama",10600,"98.32%","27.17%","70.59%","0.10%","0.07%","0.06%","0.33%","1.68%","1.06%",35063,"79.30%","11.70%",62
"01133","Winston","Alabama",23540,"95.47%","92.44%","0.60%","0.48%","0.26%","0.04%","1.65%","4.53%","3.46%",40991,"78.40%","13.30%",42
"02013","Aleutians East Borough","Alaska",3420,"93.92%","20.00%","8.68%","23.45%","22.54%","0.94%","18.30%","6.08%","19.71%",75833,"86.60%","16.60%",20
"02016","Aleutians West Census Area","Alaska",5232,"92.85%","31.86%","4.95%","13.91%","28.92%","4.57%","8.64%","7.15%","12.77%",87443,"91.80%","17.00%",18
"02020","Anchorage Municipality","Alaska",291247,"85.99%","56.46%","5.00%","8.12%","9.49%","3.43%","3.47%","14.01%","9.08%",84813,"94.00%","36.60%",1
"02050","Bethel Census Area","Alaska",18666,"94.56%","8.92%","0.46%","83.75%","1.08%","0.01%","0.34%","5.44%","1.11%",54400,"83.50%","11.30%",6
"02060","Bristol Bay Borough","Alaska",844,"83.06%","43.84%","0.71%","36.14%","0.59%","0.36%","1.42%","16.94%","5.33%",79808,"93.80%","25.80%",29
"02063","Chugach Census Area","Alaska",7102,"89.30%","69.09%","0.69%","9.42%","7.45%","0.87%","1.77%","10.70%","5.59%",90776,"95.60%","29.10%",14
"02066","Copper River Census Area","Alaska",2617,"89.22%","61.56%","0.31%","25.33%","0.65%","0.38%","0.99%","10.78%","3.21%",64745,"95.40%","31.50%",22
"02068","Denali Borough","Alaska",1619,"91.41%","85.36%","0.68%","3.77%","0.80%","0.31%","0.49%","8.59%","1.98%",76364,"97.70%","39.10%",26
"02070","Dillingham Census Area","Alaska",4857,"89.79%","16.45%","0.51%","71.09%","0.99%","0.19%","0.56%","10.21%","3.01%",57436,"86.50%","19.40%",19
"02090","Fairbanks North Star Borough","Alaska",95655,"87.28%","68.97%","4.20%","7.90%","3.24%","0.63%","2.34%","12.72%","7.65%",76464,"94.50%","32.30%",3
"02100","Haines Borough","Alaska",2080,"88.37%","76.39%","0.10%","10.29%","0.67%","0.10%","0.82%","11.63%","3.22%",65014,"98.00%","27.70%",25
"02105","Hoonah-Angoon Census Area","Alaska",2365,"87.99%","48.50%","0.25%","37.12%","0.68%","0.21%","1.23%","12.01%","5.07%",59926,"94.00%","19.60%",23
"02110","Juneau City and Borough","Alaska",32255,"84.69%","62.39%","1.09%","11.20%","6.51%","1.48%","2.02%","15.31%","6.44%",88077,"96.20%","38.80%",5
"02122","Kenai Peninsula Borough","Alaska",58799,"89.82%","78.88%","0.66%","7.19%","1.38%","0.31%","1.40%","10.18%","3.96%",69245,"93.00%","25.80%",4
"02130","Ketchikan Gateway Borough","Alaska",13948,"87.80%","60.44%","0.74%","16.73%","8.09%","0.19%","1.61%","12.20%","4.66%",74678,"93.90%","25.50%",7
"02150","Kodiak Island Borough","Alaska",13101,"90.02%","50.15%","0.69%","13.94%","21.40%","0.89%","2.96%","9.98%","7.82%",79173,"89.60%","29.80%",8
"02158","Kusilvak Census Area","Alaska",8368,"97.71%","2.07%","0.19%","94.96%","0.27%","0.00%","0.22%","2.29%","0.17%",37358,"78.60%","3.30%",12
"02164","Lake and Peninsula Borough","Alaska",1476,"88.69%","20.53%","0.14%","67.34%","0.61%","0.07%","0.00%","11.31%","2.30%",48750,"88.20%","23.10%",27
"02170","Matanuska-Susitna Borough","Alaska",107081,"88.51%","77.54%","1.05%","6.39%","1.46%","0.47%","1.60%","11.49%","4.90%",76118,"93.60%","21.90%",2
"02180","Nome Census Area","Alaska",10046,"91.63%","14.15%","0.55%","75.21%","1.10%","0.05%","0.56%","8.37%","1.85%",62843,"86.00%","17.00%",10
"02185","North Slope Borough","Alaska",11031,"91.31%","27.94%","1.47%","52.11%","5.81%","2.91%","1.07%","8.69%","4.97%",79083,"88.70%","15.10%",9
"02188","Northwest Arctic Borough","Alaska",7793,"94.07%","8.98%","0.92%","83.01%","0.71%","0.15%","0.30%","5.93%","1.31%",63750,"84.50%","15.00%",13
"02195","Petersburg Borough","Alaska",3398,"87.17%","72.69%","1.44%","7.27%","3.62%","0.35%","1.80%","12.83%","4.83%",68667,"89.20%","25.50%",21
"02198","Prince of Wales-Hyder Census Area","Alaska",5753,"88.56%","41.77%","0.38%","44.92%","0.47%","0.52%","0.50%","11.44%","2.78%",54018,"91.30%","17.20%",16
"02220","Sitka City and Borough","Alaska",8458,"85.85%","61.17%","0.44%","14.76%","6.77%","0.17%","2.54%","14.15%","5.92%",81708,"95.20%","34.20%",11
"02230","Skagway Municipality","Alaska",1240,"93.55%","86.29%","0.81%","2.58%","3.15%","0.00%","0.73%","6.45%","3.31%",71875,"88.50%","24.20%",28
"02240","Southeast Fairbanks Census Area","Alaska",6808,"91.30%","74.69%","1.09%","12.00%","1.28%","0.24%","2.01%","8.70%","5.52%",66941,"91.10%","21.20%",15
"02275","Wrangell City and Borough","Alaska",2127,"84.11%","63.56%","0.00%","17.87%","1.18%","0.09%","1.41%","15.89%","3.57%",58438,"88.30%","16.90%",24
"02282","Yakutat City and Borough","Alaska",662,"82.18%","37.61%","0.60%","38.52%","4.83%","0.15%","0.45%","17.82%","4.38%",59517,"94.40%","18.00%",30
"02290","Yukon-Koyukuk Census Area","Alaska",5343,"93.73%","21.15%","0.13%","71.72%","0.15%","0.06%","0.52%","6.27%","1.35%",41728,"88.00%","13.20%",17
"04001","Apache","Arizona",66021,"96.38%","22.53%","0.28%","71.21%","0.47%","0.03%","1.86%","3.62%","5.85%",33967,"81.50%","12.50%",10
"04003","Cochise","Arizona",125447,"82.83%","65.15%","3.81%","1.20%","2.16%","0.39%","10.11%","17.17%","33.97%",51505,"88.70%","25.60%",8
"04005","Coconino","Arizona",145101,"91.07%","57.45%","1.35%","24.97%","1.84%","0.18%","5.28%","8.93%","14.97%",59000,"91.00%","37.60%",7
"04007","Gila","Arizona",53272,"91.38%","67.40%","0.53%","16.76%","0.84%","0.09%","5.77%","8.62%","17.43%",46907,"87.30%","19.20%",11
"04009","Graham","Arizona",38533,"89.29%","64.99%","1.39%","13.99%","0.50%","0.05%","8.37%","10.71%","29.66%",55693,"85.30%","14.80%",13
"04011","Greenlee","Arizona",9563,"83.65%","68.85%","0.91%","3.71%","0.78%","0.05%","9.34%","16.35%","45.76%",66368,"85.20%","16.80%",15
"04012","La Paz","Arizona",16557,"87.55%","59.02%","0.69%","17.11%","0.69%","0.30%","9.74%","12.45%","25.35%",34956,"80.50%","11.80%",14
"04013","Maricopa","Arizona",4420568,"86.41%","59.85%","5.89%","2.28%","4.61%","0.25%","13.54%","13.59%","30.57%",67799,"88.40%","33.40%",1
"04015","Mohave","Arizona",213267,"90.48%","79.59%","1.04%","2.43%","1.28%","0.19%","5.94%","9.52%","16.00%",47686,"86.40%","13.40%",5
"04017","Navajo","Arizona",106717,"94.11%","45.38%","0.71%","44.46%","0.53%","0.08%","2.95%","5.89%","10.20%",43140,"83.80%","16.10%",9
"04019","Pima","Arizona",1043433,"83.30%","60.70%","3.83%","3.32%","3.01%","0.21%","12.23%","16.70%","35.73%",55023,"89.00%","33.60%",2
"04021","Pinal","Arizona",425264,"87.07%","63.32%","5.17%","4.97%","1.58%","0.29%","11.76%","12.93%","28.58%",60968,"87.10%","20.90%",3
"04023","Santa Cruz","Arizona",47669,"64.31%","33.42%","0.39%","0.96%","0.64%","0.04%","28.87%","35.69%","83.14%",41424,"77.90%","20.90%",12
"04025","Yavapai","Arizona",236209,"90.59%","81.50%","0.65%","1.81%","1.24%","0.12%","5.25%","9.41%","14.56%",53329,"91.80%","26.30%",4
"04027","Yuma","Arizona",203881,"74.58%","44.30%","2.01%","1.73%","1.27%","0.14%","25.13%","25.42%","63.76%",48790,"74.60%","15.40%",6
"05001","Arkansas","Arkansas",17149,"95.67%","68.21%","24.23%","0.26%","0.55%","0.05%","2.36%","4.33%","3.71%",51000,"86.00%","16.40%",41
"05003","Ashley","Arkansas",19062,"96.29%","67.98%","24.49%","0.29%","0.22%","0.03%","3.28%","3.71%","5.84%",43601,"85.20%","12.20%",36
"05005","Baxter","Arkansas",41627,"94.66%","92.46%","0.22%","0.61%","0.56%","0.02%","0.79%","5.34%","2.54%",43504,"88.80%","17.80%",17
"05007","Benton","Arkansas",284333,"88.95%","70.76%","1.66%","1.79%","4.83%","0.92%","8.99%","11.05%","17.77%",71556,"89.60%","34.60%",2
"05009","Boone","Arkansas",37373,"93.77%","91.32%","0.29%","0.74%","0.66%","0.07%","0.69%","6.23%","2.60%",46392,"88.20%","17.80%",21
"05011","Bradley","Arkansas",10545,"95.83%","55.86%","27.85%","0.87%","0.28%","0.00%","10.96%","4.17%","14.94%",41808,"83.30%","13.80%",59
"05013","Calhoun","Arkansas",4739,"95.61%","74.68%","19.27%","0.21%","0.13%","0.19%","1.14%","4.39%","2.68%",50441,"84.00%","10.70%",75
"05015","Carroll","Arkansas",28260,"91.66%","77.68%","0.34%","1.31%","2.01%","1.57%","8.76%","8.34%","15.24%",48249,"86.30%","21.20%",23
"05017","Chicot","Arkansas",10208,"96.66%","38.72%","53.07%","0.35%","0.37%","0.09%","4.06%","3.34%","5.69%",33523,"78.20%","14.60%",60
"05019","Clark","Arkansas",21446,"94.81%","66.75%","23.91%","0.45%","0.71%","0.08%","2.90%","5.19%","5.09%",39500,"88.90%","25.20%",30
"05021","Clay","Arkansas",14552,"95.77%","94.36%","0.29%","0.30%","0.10%","0.05%","0.67%","4.23%","2.25%",37933,"83.50%","13.60%",51
"05023","Cleburne","Arkansas",24711,"95.10%","92.89%","0.28%","0.54%","0.41%","0.04%","0.94%","4.90%","2.56%",45563,"86.60%","16.70%",25
"05025","Cleveland","Arkansas",7550,"96.45%","85.64%","9.09%","0.46%","0.09%","0.01%","1.15%","3.55%","2.41%",46349,"89.50%","15.90%",69
"05027","Columbia","Arkansas",22801,"96.31%","58.64%","34.50%","0.32%","0.74%","0.00%","2.11%","3.69%","3.39%",37609,"86.80%","20.50%",28
"05029","Conway","Arkansas",20715,"93.04%","79.01%","10.66%","0.81%","0.43%","0.04%","2.09%","6.96%","4.28%",44456,"86.60%","17.70%",32
"05031","Craighead","Arkansas",111231,"94.10%","72.50%","16.61%","0.32%","1.52%","0.05%","3.10%","5.90%","6.05%",49730,"89.40%","27.10%",7
