"Geography","district","state","total_pop","proportion_white","proportion_black","proportion_indigenous","proportion_asian","proportion_pacific","proportion_other","proportion_multiracial","proportion_hispanic_latino","median_income","proportion_hs_degree_over_25","proportion_bachelors_degree_over_25"
"5001800US0101","1","AL",735510,0.649,0.262,0.006,0.016,0.001,0.013,0.052,0.04,61856,0.905,0.277
"5001800US0102","2","AL",724401,0.602,0.304,0.003,0.014,0,0.018,0.059,0.052,60423,0.882,0.257
"5001800US0103","3","AL",730373,0.682,0.233,0.006,0.016,0,0.013,0.049,0.042,59741,0.887,0.258
"5001800US0104","4","AL",722049,0.821,0.063,0.006,0.008,0.001,0.046,0.056,0.081,56948,0.851,0.205
"5001800US0105","5","AL",758622,0.698,0.176,0.008,0.02,0,0.027,0.071,0.07,79304,0.909,0.382
"5001800US0106","6","AL",722381,0.7,0.196,0.003,0.018,0.001,0.024,0.058,0.069,76300,0.927,0.392
"5001800US0107","7","AL",715132,0.369,0.553,0.002,0.013,0,0.018,0.044,0.045,47972,0.876,0.243
"5001800US0200","1","AK",733406,0.596,0.029,0.135,0.059,0.015,0.026,0.141,0.075,86631,0.932,0.322
"5001800US0401","1","AZ",804256,0.714,0.04,0.018,0.051,0.001,0.056,0.121,0.169,92840,0.947,0.524
"5001800US0402","2","AZ",833298,0.584,0.03,0.183,0.016,0.003,0.048,0.137,0.181,63735,0.898,0.265
"5001800US0403","3","AZ",814391,0.281,0.116,0.031,0.023,0.002,0.177,0.37,0.626,68989,0.755,0.206
"5001800US0404","4","AZ",814381,0.599,0.054,0.024,0.06,0.005,0.073,0.186,0.292,83258,0.91,0.401
"5001800US0405","5","AZ",857744,0.695,0.032,0.015,0.064,0.001,0.054,0.139,0.196,104498,0.95,0.41
"5001800US0406","6","AZ",813933,0.671,0.037,0.016,0.029,0.004,0.065,0.178,0.263,73464,0.929,0.389
"5001800US0407","7","AZ",811832,0.381,0.038,0.034,0.019,0.001,0.149,0.378,0.603,61136,0.805,0.223
"5001800US0408","8","AZ",800203,0.689,0.04,0.019,0.044,0.003,0.07,0.135,0.211,79122,0.919,0.33
"5001800US0409","9","AZ",881306,0.624,0.047,0.016,0.021,0.002,0.135,0.156,0.308,75959,0.899,0.24
"5001800US0501","1","AR",752628,0.747,0.159,0.004,0.007,0.001,0.015,0.067,0.043,52119,0.874,0.188
"5001800US0502","2","AR",774027,0.682,0.21,0.003,0.017,0,0.019,0.069,0.064,64738,0.922,0.329
"5001800US0503","3","AR",797092,0.621,0.025,0.01,0.035,0.013,0.051,0.245,0.175,72890,0.887,0.328
"5001800US0504","4","AR",743985,0.709,0.187,0.006,0.007,0.003,0.015,0.072,0.078,49018,0.887,0.201
"5001800US0601","1","CA",755464,0.643,0.018,0.018,0.061,0.002,0.12,0.138,0.242,69212,0.868,0.232
"5001800US0602","2","CA",743918,0.669,0.017,0.02,0.043,0.002,0.089,0.161,0.214,92213,0.908,0.437
"5001800US0603","3","CA",788130,0.696,0.018,0.008,0.091,0.002,0.047,0.138,0.152,101591,0.952,0.43
"5001800US0604","4","CA",761543,0.553,0.033,0.013,0.094,0.002,0.155,0.149,0.329,95236,0.875,0.355
"5001800US0605","5","CA",782849,0.606,0.027,0.016,0.061,0.004,0.102,0.184,0.293,91010,0.906,0.313
"5001800US0606","6","CA",747786,0.483,0.093,0.009,0.119,0.008,0.126,0.162,0.243,85648,0.886,0.315
"5001800US0607","7","CA",762568,0.344,0.099,0.017,0.238,0.018,0.135,0.148,0.272,91918,0.864,0.366
"5001800US0608","8","CA",752009,0.26,0.135,0.013,0.191,0.01,0.206,0.186,0.378,95265,0.863,0.306
"5001800US0609","9","CA",770568,0.325,0.073,0.018,0.181,0.006,0.222,0.176,0.425,87352,0.807,0.235
"5001800US0610","10","CA",746449,0.49,0.049,0.008,0.23,0.002,0.075,0.147,0.176,150078,0.945,0.57
"5001800US0611","11","CA",701735,0.429,0.048,0.008,0.326,0.003,0.066,0.12,0.152,129584,0.906,0.64
"5001800US0612","12","CA",734171,0.342,0.148,0.011,0.208,0.004,0.145,0.142,0.248,100789,0.874,0.53
"5001800US0613","13","CA",784322,0.262,0.025,0.018,0.072,0.008,0.358,0.256,0.661,65557,0.696,0.145
