state,name,fips,reporting,precincts,time,trumpd,bidenj,margin2020
Indiana,Greene,18055,0,32,2020-11-03T23:12:16Z,5460,2371,38.67535
Indiana,DeKalb,18033,0,39,2020-11-03T23:17:15Z,8665,3792,38.39426
Kentucky,Anderson,21005,0,14,2020-11-03T23:29:22Z,978,1463,-19.33812
Kentucky,Casey,21045,12,15,2020-11-03T23:29:22Z,5233,810,72.5082
Kentucky,Elliott,21063,3,7,2020-11-03T23:29:22Z,1067,528,33.37461
Kentucky,Greenup,21089,0,29,2020-11-03T23:29:22Z,8888,4076,36.72441
Kentucky,Jessamine,21113,23,36,2020-11-03T23:29:22Z,10866,6975,21.42385
Kentucky,Knox,21121,0,30,2020-11-03T23:29:22Z,1378,1039,13.71914
Kentucky,LaRue,21123,0,12,2020-11-03T23:29:22Z,3878,710,68.04124
Kentucky,Leslie,21131,9,17,2020-11-03T23:29:22Z,2651,347,75.96439
Kentucky,Lewis,21135,0,14,2020-11-03T23:29:22Z,2763,628,62.00988
Kentucky,Lincoln,21137,12,17,2020-11-03T23:29:22Z,6407,1964,52.25829
Kentucky,Nicholas,21181,0,5,2020-11-03T23:29:22Z,1749,884,32.56777
Kentucky,Robertson,21201,5,5,2020-11-03T23:29:22Z,883,252,55.15734
Indiana,Dubois,18037,0,40,2020-11-03T23:34:02Z,11030,5146,35.74509
Indiana,Jay,18075,0,18,2020-11-03T23:34:02Z,3479,1412,41.51436
Indiana,Steuben,18151,0,23,2020-11-03T23:34:02Z,5019,3088,23.38055
Indiana,Wabash,18169,0,26,2020-11-03T23:34:02Z,7357,2891,42.71232
Indiana,Whitley,18183,0,34,2020-11-03T23:34:02Z,5971,2884,34.06533
Kentucky,Bath,21011,11,12,2020-11-03T23:39:26Z,3359,1463,38.89231
Kentucky,Fayette,21067,0,286,2020-11-03T23:39:26Z,20622,61260,-48.75351
Kentucky,Kenton,21117,30,106,2020-11-03T23:39:26Z,8034,15873,-32.17716
Kentucky,Lincoln,21137,14,17,2020-11-03T23:39:26Z,7066,2100,53.31759
Kentucky,Taylor,21217,14,20,2020-11-03T23:39:26Z,7173,2476,48.16448
Kentucky,Boone,21015,0,63,2020-11-03T23:51:48Z,24136,14760,23.77041
Kentucky,Boyle,21021,0,25,2020-11-03T23:51:48Z,6185,4228,18.48843
Kentucky,Lincoln,21137,14,17,2020-11-03T23:51:48Z,7534,2155,54.65353
Kentucky,Mercer,21167,4,17,2020-11-03T23:51:48Z,1168,1546,-13.72051
Kentucky,Montgomery,21173,3,18,2020-11-03T23:51:48Z,913,1671,-28.77752
Kentucky,Pendleton,21191,0,12,2020-11-03T23:51:48Z,3374,1042,52.1817
Kentucky,Rowan,21205,5,18,2020-11-03T23:51:48Z,946,2064,-36.40508
Kentucky,Floyd,21071,26,42,2020-11-03T23:55:45Z,8824,3332,44.56707
Kentucky,Jackson,21109,8,14,2020-11-03T23:55:45Z,3216,349,79.83849
Kentucky,Mercer,21167,9,17,2020-11-03T23:55:45Z,4189,2275,29.16349
Kentucky,Wolfe,21237,0,8,2020-11-03T23:55:45Z,1248,682,28.89229
Florida,Brevard,12009,127,174,2020-11-04T00:02:42Z,154233,127112,9.54484
Florida,Lake,12069,81,107,2020-11-04T00:02:42Z,87980,69997,11.29181
Florida,Lee,12071,8,127,2020-11-04T00:02:42Z,185866,138590,14.45161
Florida,Pasco,12101,87,111,2020-11-04T00:02:42Z,130278,101252,12.42349
Virginia,Buchanan,51027,1,18,2020-11-04T00:14:02Z,367,37,81.48148
Virginia,Mecklenburg,51117,1,24,2020-11-04T00:14:02Z,399,170,39.61938
Virginia,Portsmouth,51740,1,32,2020-11-04T00:14:02Z,26,306,-84.33735
Virginia,Richmond,51159,3,6,2020-11-04T00:14:02Z,1253,1083,7.23712
Florida,Bradford,12007,11,14,2020-11-04T00:17:59Z,8435,2712,50.82593
Florida,Brevard,12009,131,174,2020-11-04T00:17:59Z,160764,129394,10.70228
Florida,Clay,12019,33,47,2020-11-04T00:17:59Z,61945,30409,33.78942
Florida,Duval,12031,150,199,2020-11-04T00:17:59Z,179132,216040,-9.21431
Florida,Flagler,12035,22,25,2020-11-04T00:17:59Z,37366,25902,17.98387
Florida,Hendry,12051,0,10,2020-11-04T00:17:59Z,5980,3856,21.41993
Florida,Hernando,12053,0,32,2020-11-04T00:17:59Z,50470,31603,22.77523
Florida,Hillsborough,12057,319,390,2020-11-04T00:17:59Z,261740,331656,-11.6339
Florida,Manatee,12081,55,70,2020-11-04T00:17:59Z,94027,77122,9.81092
Florida,Miami-Dade,12086,720,859,2020-11-04T00:17:59Z,457655,548287,-8.96626
Florida,Monroe,12087,23,33,2020-11-04T00:17:59Z,18525,18513,0.03215
Florida,Pasco,12101,96,111,2020-11-04T00:17:59Z,147898,106962,15.9073
Florida,Pinellas,12103,235,301,2020-11-04T00:17:59Z,219155,248620,-6.22431
North Carolina,Richmond,37153,1,16,2020-11-04T00:24:22Z,14,1,86.66667
Virginia,Alleghany,51005,1,13,2020-11-04T00:24:25Z,212,27,76.76349
Virginia,Appomattox,51011,1,10,2020-11-04T00:24:25Z,337,48,74.48454
Virginia,Bedford,51019,1,33,2020-11-04T00:24:25Z,468,48,80.30593
Virginia,Bristol,51520,1,5,2020-11-04T00:24:25Z,300,106,47.20195
Virginia,Brunswick,51025,7,14,2020-11-04T00:24:25Z,1808,3101,-26.24315
Virginia,Buchanan,51027,1,18,2020-11-04T00:24:25Z,764,97,77.37819
Virginia,Carroll,51035,2,18,2020-11-04T00:24:25Z,1724,253,73.80833
Virginia,Chesterfield,51041,5,81,2020-11-04T00:24:25Z,9090,5848,21.2034
Virginia,Dickenson,51051,1,11,2020-11-04T00:24:25Z,731,71,81.98758
Virginia,Dinwiddie,51053,1,14,2020-11-04T00:24:25Z,208,184,6.03015
Virginia,Essex,51057,1,5,2020-11-04T00:24:25Z,369,183,33.45324
Virginia,Fauquier,51061,2,21,2020-11-04T00:24:25Z,3437,940,55.71174
Virginia,Franklin City,51620,1,7,2020-11-04T00:24:25Z,37,158,-61.42132
Virginia,Fredericksburg,51630,1,6,2020-11-04T00:24:25Z,189,287,-20.24793
Virginia,Henrico,51087,4,92,2020-11-04T00:24:25Z,5589,3629,20.86438
Virginia,Henry,51089,1,25,2020-11-04T00:24:25Z,524,120,61.39818
Virginia,Lee,51105,2,17,2020-11-04T00:24:25Z,1202,151,76.77137
Virginia,Loudoun,51107,11,99,2020-11-04T00:24:25Z,14716,9526,20.88111
Virginia,Louisa,51109,1,16,2020-11-04T00:24:25Z,2029,428,64.32302
Virginia,Mathews,51115,1,4,2020-11-04T00:24:25Z,959,197,64.57627
Virginia,Northumberland,51133,1,6,2020-11-04T00:24:25Z,820,264,50.82267
Virginia,Nottoway,51135,1,10,2020-11-04T00:24:25Z,560,256,36.71498
Virginia,Pittsylvania,51143,1,30,2020-11-04T00:24:25Z,241,62,57.74194
Virginia,Prince Edward,51147,1,11,2020-11-04T00:24:25Z,782,521,19.59459
Virginia,Richmond,51159,3,6,2020-11-04T00:24:25Z,1404,1225,6.76493
Virginia,Rockbridge,51163,1,18,2020-11-04T00:24:25Z,456,75,70.81784
Virginia,Scott,51169,1,18,2020-11-04T00:24:25Z,754,114,72.81001
Virginia,Surry,51181,1,8,2020-11-04T00:24:25Z,159,161,-0.6192
Virginia,Virginia Beach,51810,1,101,2020-11-04T00:24:25Z,536,334,22.41953
