year,office_type,state,party_winner,electoral_votes,district
2016,President,AK,R,3,0
2016,President,AL,R,9,0
2016,President,AR,R,6,0
2016,President,AZ,R,11,0
2016,President,CA,D,55,0
2016,President,CO,D,9,0
2016,President,CT,D,7,0
2016,President,DC,D,3,0
2016,President,DE,D,3,0
2016,President,FL,R,29,0
2016,President,GA,R,16,0
2016,President,HI,D,4,0
2016,President,IA,R,6,0
2016,President,ID,R,4,0
2016,President,IL,D,20,0
2016,President,IN,R,11,0
2016,President,KS,R,6,0
2016,President,KY,R,8,0
2016,President,LA,R,8,0
2016,President,MA,D,11,0
2016,President,MD,D,10,0
2016,President,ME,D,2,0
2016,President,ME,D,1,1
2016,President,ME,R,1,2
2016,President,MI,R,16,0
2016,President,MN,D,10,0
2016,President,MO,R,10,0
2016,President,MS,R,6,0
2016,President,MT,R,3,0
2016,President,NC,R,15,0
2016,President,ND,R,3,0
2016,President,NE,R,2,0
2016,President,NE,R,1,1
2016,President,NE,R,1,2
2016,President,NE,R,1,3
2016,President,NH,D,4,0
2016,President,NJ,D,14,0
2016,President,NM,D,5,0
2016,President,NV,D,6,0
2016,President,NY,D,29,0
2016,President,OH,R,18,0
2016,President,OK,R,7,0
2016,President,OR,D,7,0
2016,President,PA,R,20,0
2016,President,RI,D,4,0
2016,President,SC,R,9,0
2016,President,SD,R,3,0
2016,President,TN,R,11,0
2016,President,TX,R,38,0
2016,President,UT,R,6,0
2016,President,VA,D,13,0
2016,President,VT,D,3,0
2016,President,WA,D,12,0
2016,President,WI,R,10,0
2016,President,WV,R,5,0
2016,President,WY,R,3,0
