"","year","state","office_type","question","answer","demographic_pct","answer_pct","lastName"
"1",2020,"AL","President","Age","18-29",15,54,"Biden"
"2",2020,"AL","President","Age","18-29",15,44,"Trump"
"3",2020,"AL","President","Age","30-44",23,40,"Biden"
"4",2020,"AL","President","Age","30-44",23,57,"Trump"
"5",2020,"AL","President","Age","45-64",37,37,"Biden"
"6",2020,"AL","President","Age","45-64",37,62,"Trump"
"7",2020,"AL","President","Age","65 or older",25,23,"Biden"
"8",2020,"AL","President","Age","65 or older",25,77,"Trump"
"9",2020,"AL","President","Gender","Male",45,35,"Biden"
"10",2020,"AL","President","Gender","Male",45,63,"Trump"
"11",2020,"AL","President","Gender","Female",55,39,"Biden"
"12",2020,"AL","President","Gender","Female",55,61,"Trump"
"13",2020,"AL","President","Area type","Urban",25,58,"Biden"
"14",2020,"AL","President","Area type","Urban",25,39,"Trump"
"15",2020,"AL","President","Area type","Suburban",56,27,"Biden"
"16",2020,"AL","President","Area type","Suburban",56,72,"Trump"
"17",2020,"AL","President","Area type","Rural",20,37,"Biden"
"18",2020,"AL","President","Area type","Rural",20,61,"Trump"
"19",2020,"AL","President","Income","Less than $50,000",37,35,"Biden"
"20",2020,"AL","President","Income","Less than $50,000",37,65,"Trump"
"21",2020,"AL","President","Income","$50,000 to $99,999",31,38,"Biden"
"22",2020,"AL","President","Income","$50,000 to $99,999",31,60,"Trump"
"23",2020,"AL","President","Income","$100,000 or more",32,33,"Biden"
"24",2020,"AL","President","Income","$100,000 or more",32,67,"Trump"
"25",2020,"AL","President","Education by race","White voters, college degree",28,32,"Biden"
"26",2020,"AL","President","Education by race","White voters, college degree",28,65,"Trump"
"27",2020,"AL","President","Education by race","White voters, no degree",45,14,"Biden"
"28",2020,"AL","President","Education by race","White voters, no degree",45,85,"Trump"
"29",2020,"AL","President","Education by race","Voters of color, college degree",9,83,"Biden"
"30",2020,"AL","President","Education by race","Voters of color, college degree",9,16,"Trump"
"31",2020,"AL","President","Education by race","Voters of color, no degree",17,80,"Biden"
"32",2020,"AL","President","Education by race","Voters of color, no degree",17,19,"Trump"
"33",2020,"AL","President","Race","White voters",74,21,"Biden"
"34",2020,"AL","President","Race","White voters",74,77,"Trump"
"35",2020,"AL","President","Race","Voters of color",26,81,"Biden"
"36",2020,"AL","President","Race","Voters of color",26,18,"Trump"
"37",2020,"AL","President","Education","Never attended college",20,26,"Biden"
"38",2020,"AL","President","Education","Never attended college",20,73,"Trump"
"39",2020,"AL","President","Education","Some college",25,40,"Biden"
"40",2020,"AL","President","Education","Some college",25,60,"Trump"
"41",2020,"AL","President","Education","Associate's degree",17,29,"Biden"
"42",2020,"AL","President","Education","Associate's degree",17,70,"Trump"
"43",2020,"AL","President","Education","Bachelor's degree",23,40,"Biden"
"44",2020,"AL","President","Education","Bachelor's degree",23,57,"Trump"
"45",2020,"AL","President","Education","Advanced degree",14,52,"Biden"
"46",2020,"AL","President","Education","Advanced degree",14,47,"Trump"
"47",2020,"AL","Senate","Age","18-29",15,59,"Jones"
"48",2020,"AL","Senate","Age","18-29",15,41,"Tuberville"
"49",2020,"AL","Senate","Age","30-44",23,42,"Jones"
"50",2020,"AL","Senate","Age","30-44",23,58,"Tuberville"
"51",2020,"AL","Senate","Age","45-64",37,40,"Jones"
"52",2020,"AL","Senate","Age","45-64",37,60,"Tuberville"
"53",2020,"AL","Senate","Age","65 or older",25,25,"Jones"
"54",2020,"AL","Senate","Age","65 or older",25,74,"Tuberville"
"55",2020,"AL","Senate","Gender","Male",45,39,"Jones"
"56",2020,"AL","Senate","Gender","Male",45,61,"Tuberville"
"57",2020,"AL","Senate","Gender","Female",55,41,"Jones"
"58",2020,"AL","Senate","Gender","Female",55,59,"Tuberville"
"59",2020,"AL","Senate","Area type","Urban",25,63,"Jones"
"60",2020,"AL","Senate","Area type","Urban",25,37,"Tuberville"
"61",2020,"AL","Senate","Area type","Suburban",56,29,"Jones"
"62",2020,"AL","Senate","Area type","Suburban",56,70,"Tuberville"
"63",2020,"AL","Senate","Area type","Rural",20,40,"Jones"
"64",2020,"AL","Senate","Area type","Rural",20,60,"Tuberville"
"65",2020,"AL","Senate","Income","Less than $50,000",37,39,"Jones"
"66",2020,"AL","Senate","Income","Less than $50,000",37,61,"Tuberville"
"67",2020,"AL","Senate","Income","$50,000 to $99,999",31,40,"Jones"
"68",2020,"AL","Senate","Income","$50,000 to $99,999",31,60,"Tuberville"
"69",2020,"AL","Senate","Income","$100,000 or more",32,35,"Jones"
"70",2020,"AL","Senate","Income","$100,000 or more",32,64,"Tuberville"
"71",2020,"AL","Senate","Education by race","White voters, college degree",28,37,"Jones"
"72",2020,"AL","Senate","Education by race","White voters, college degree",28,62,"Tuberville"
"73",2020,"AL","Senate","Education by race","White voters, no degree",45,15,"Jones"
"74",2020,"AL","Senate","Education by race","White voters, no degree",45,84,"Tuberville"
"75",2020,"AL","Senate","Education by race","Voters of color, college degree",9,84,"Jones"
"76",2020,"AL","Senate","Education by race","Voters of color, college degree",9,15,"Tuberville"
"77",2020,"AL","Senate","Education by race","Voters of color, no degree",17,83,"Jones"
"78",2020,"AL","Senate","Education by race","Voters of color, no degree",17,17,"Tuberville"
"79",2020,"AL","Senate","Race","White voters",73,24,"Jones"
"80",2020,"AL","Senate","Race","White voters",73,76,"Tuberville"
"81",2020,"AL","Senate","Race","Voters of color",27,83,"Jones"
"82",2020,"AL","Senate","Race","Voters of color",27,17,"Tuberville"
"83",2020,"AL","Senate","Education","Never attended college",20,28,"Jones"
"84",2020,"AL","Senate","Education","Never attended college",20,72,"Tuberville"
"85",2020,"AL","Senate","Education","Some college",25,41,"Jones"
"86",2020,"AL","Senate","Education","Some college",25,59,"Tuberville"
"87",2020,"AL","Senate","Education","Associate's degree",18,32,"Jones"
"88",2020,"AL","Senate","Education","Associate's degree",18,68,"Tuberville"
"89",2020,"AL","Senate","Education","Bachelor's degree",23,43,"Jones"
"90",2020,"AL","Senate","Education","Bachelor's degree",23,56,"Tuberville"
"91",2020,"AL","Senate","Education","Advanced degree",14,57,"Jones"
"92",2020,"AL","Senate","Education","Advanced degree",14,42,"Tuberville"
"93",2020,"AZ","President","Age","18-29",16,63,"Biden"
"94",2020,"AZ","President","Age","18-29",16,32,"Trump"
"95",2020,"AZ","President","Age","30-44",20,47,"Biden"
"96",2020,"AZ","President","Age","30-44",20,51,"Trump"
"97",2020,"AZ","President","Age","45-64",32,44,"Biden"
"98",2020,"AZ","President","Age","45-64",32,55,"Trump"
"99",2020,"AZ","President","Age","65 or older",31,49,"Biden"
"100",2020,"AZ","President","Age","65 or older",31,50,"Trump"
"101",2020,"AZ","President","Gender","Male",48,48,"Biden"
"102",2020,"AZ","President","Gender","Male",48,50,"Trump"
"103",2020,"AZ","President","Gender","Female",52,51,"Biden"
"104",2020,"AZ","President","Gender","Female",52,48,"Trump"
"105",2020,"AZ","President","Area type","Urban",46,56,"Biden"
"106",2020,"AZ","President","Area type","Urban",46,42,"Trump"
"107",2020,"AZ","President","Area type","Suburban",46,45,"Biden"
"108",2020,"AZ","President","Area type","Suburban",46,55,"Trump"
"109",2020,"AZ","President","Area type","Rural",9,41,"Biden"
"110",2020,"AZ","President","Area type","Rural",9,55,"Trump"
"111",2020,"AZ","President","Education by race","White voters, college degree",33,53,"Biden"
"112",2020,"AZ","President","Education by race","White voters, college degree",33,46,"Trump"
"113",2020,"AZ","President","Education by race","White voters, no degree",41,41,"Biden"
"114",2020,"AZ","President","Education by race","White voters, no degree",41,57,"Trump"
"115",2020,"AZ","President","Education by race","Voters of color, college degree",8,58,"Biden"
"116",2020,"AZ","President","Education by race","Voters of color, college degree",8,41,"Trump"
"117",2020,"AZ","President","Education by race","Voters of color, no degree",18,60,"Biden"
"118",2020,"AZ","President","Education by race","Voters of color, no degree",18,38,"Trump"
"119",2020,"AZ","President","Race","White voters",74,46,"Biden"
"120",2020,"AZ","President","Race","White voters",74,52,"Trump"
"121",2020,"AZ","President","Race","Voters of color",26,59,"Biden"
