year,state,office_type,rep_name,dem_name,dist
2018,Arizona,senate,Martha McSally,Kyrsten Sinema,0
2018,California,senate,none,Dianne Feinstein,0
2018,Connecticut,senate,Matthew Corey,Chris Murphy,0
2018,Delaware,senate,Robert Arlett,Tom Carper,0
2018,Florida,senate,Rick Scott,Bill Nelson,0
2018,Hawaii,senate,Ron Curtis,Mazie Hirono,0
2018,Indiana,senate,Mike Braun,Joe Donnelly,0
2018,Maine,senate,Eric Brakey,Angus King,0
2018,Maryland,senate,Tony Campbell,Ben Cardin,0
2018,Massachusetts,senate,Geoff Diehl,Elizabeth Warren,0
2018,Michigan,senate,John James,Debbie Stabenow,0
2018,Minnesota,senate,Amy Klobuchar,Jim Newberger,0
2018,Mississippi,senate,Roger Wicker,David Baria,0
2018,Missouri,senate,Josh Hawley,Claire McCaskill,0
2018,Montana,senate,Matt Rosendale,Jon Tester,0
2018,Nebraska,senate,Deb Fischer,Jane Raybould,0
2018,Nevada,senate,Dean Heller,Jacky Rosen,0
2018,New Jersey,senate,Bob Hugin,Bob Menendez,0
2018,New Mexico,senate,Mick Rich,Martin Heinrich,0
2018,New York,senate,Chele Chiavacci Farley,Kirsten Gillibrand,0
2018,North Dakota,senate,Kevin Cramer,Heidi Heitkamp,0
2018,Ohio,senate,Jim Renacci,Sherrod Brown,0
2018,Pennsylvania,senate,Lou Barletta,Bob Casey Jr.,0
2018,Rhode Island,senate,Robert Flanders,Sheldon Whitehouse,0
2018,Tennessee,senate,Marsha Blackburn,Phil Bredesen,0
2018,Texas,senate,Ted Cruz,Beto O'Rourke,0
2018,Utah,senate,Mitt Romney,Jenny Wilson,0
2018,Vermont,senate,Lawrence Zupan,Bernie Sanders,0
2018,Virginia,senate,Corey Stewart,Tim Kaine,0
2018,Washington,senate,Susan Hutchison,Maria Cantwell,0
2018,West Virginia,senate, Joe Manchin,Patrick Morrisey,0
2018,Wisconsin,senate,Leah Vukmir,Tammy Baldwin,0
2018,Wyoming,senate,John Barrasso,Gary Trauner,0
2012,Arizona,senate,Jeff Flake,Richard Carmona,0
2012,California,senate,Elizabeth Emken,Dianne Feinstein,0
2012,Connecticut,senate,Linda McMahon,Chris Murphy,0
2012,Delaware,senate,Kevin Wade,Tom Carper,0
2012,Florida,senate,Connie Mack IV,Bill Nelson,0
2012,Hawaii,senate,Linda Lingle,Mazie Hirono,0
2012,Indiana,senate,Richard Mourdock,Joe Donnelly,0
2012,Maine,senate,Charlie Summers,Angus King,0
2012,Maryland,senate,Dan Bongino,Ben Cardin,0
2012,Massachusetts,senate,Scott Brown,Elizabeth Warren,0
2012,Michigan,senate,Pete Hoekstra,Debbie Stabenow,0
2012,Minnesota,senate,Kurt Bills,Amy Klobuchar,0
